HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure air,SD,Vapour Pressure surface,SD,Atmospheric Pressure,SD,Ts
1,0,0,220.48,20.846,291.96,12.035,-71.472,23.441,27.301,18.637,-14.627,16.316,1.078,2.7702,44.638,20.814,2.6876,1.1329,284.47,108.27,419.58,76.45,62083,187.18,-5.3183
2,0,0,218.84,21.763,290.59,11.533,-71.747,23.269,28.695,16.544,-15.777,12.398,1.1889,2.7262,39.159,18.275,2.7074,0.89048,252.22,96.524,409.27,72.147,62065,186.61,-5.6292
3,0,0,216.48,22.366,288.83,11.891,-72.353,20.99,32.919,18.183,-18.516,13.813,1.1508,2.8053,36.523,18.589,2.8673,1.0696,233.52,96.906,397.31,73.532,62037,187.81,-6.0373
4,0,0,215.59,21.961,287.66,11.78,-72.068,20.643,35.251,18.909,-19.521,15.642,0.93393,2.7699,36.316,17.98,2.9518,1.0845,230.05,94.981,389.13,72.196,62004,191.42,-6.3084
5,0,0,214.39,22.236,286.63,11.696,-72.247,21.029,37.876,18.317,-20.349,14.18,0.86276,2.7806,35.868,18.218,3.0654,0.9789,225.33,95.284,382.07,70.69,61977,191.52,-6.5464
6,0,0,215.25,23.501,285.78,11.027,-70.534,22.311,37.247,18.619,-20.412,15.12,0.82575,2.729,33.7,17.165,3.0146,0.96941,211.57,90.169,375.75,66.397,61958,194.5,-6.7393
7,0.0021889,0.020766,214.45,24.298,284.5,11.256,-70.049,22.664,37.344,17.106,-19.614,13.683,0.63073,2.6734,33.62,17.695,2.9862,0.93045,207.85,89.704,367.44,66.281,61956,193.44,-7.0417
8,0.9114,3.405,213.07,23.49,283.64,11.223,-70.568,21.878,37.378,17.603,-19.324,13.177,0.45319,2.6915,33.637,18.001,2.9333,0.96327,204.38,88.156,361.82,65.541,61973,194.26,-7.2427
9,12.233,15.735,214.77,25.511,284.1,11.409,-69.328,23.313,39.117,17.964,-21.434,13.816,0.60284,2.6693,31.93,17.76,3.0369,0.96944,195.66,84.655,365.02,67.606,61993,193.53,-7.1353
10,133.74,139.93,218.02,24.797,291.29,15.6,-73.268,26.098,33.85,18.725,-26.586,17.915,1.2505,2.866,30.91,16.333,3.0951,1.0817,199.15,82.754,419.25,104.27,62014,196.05,-5.5012
11,307.31,231.96,221.94,23.921,298.19,17.22,-76.254,26.535,26.457,19.303,-26.372,22.323,2.1774,2.9013,31.211,17.368,2.859,1.0936,213.62,87.627,473.72,124.07,62031,198.27,-3.9408
12,574.97,219.76,230.29,21.332,312.93,6.6514,-82.637,23.232,13.972,11.518,-31.956,23.133,3.4137,2.8495,30.253,15.61,2.8262,1.2147,226.7,85.684,587.93,57.71,62049,199.41,-0.59947
13,678.4,263.81,236.83,21.319,315.25,6.413,-78.422,23.785,14.043,10.963,-32.325,23.035,4.0629,2.826,30.597,15.777,2.883,1.1241,238.55,86.495,609.69,56.975,62067,198.62,-0.094137
14,742.46,305.75,242.33,21.461,315.98,6.6735,-73.656,23.996,17.451,11.071,-38.245,21.087,4.4897,2.9941,30.051,14.69,3.2222,0.99278,240.65,74.971,616.91,59.833,62068,198.84,0.063426
15,723.21,341.92,249.73,21.491,317.27,5.4326,-67.549,24.128,15.348,11.291,-33.348,22.765,4.7878,3.0042,32.25,14.89,3.0912,1.0702,262.97,76.323,628.67,50.473,62067,194.31,0.3461
16,667.92,344.74,254.62,21.501,317.11,6.1928,-62.498,24.92,15.365,10.635,-29.897,20.307,4.8756,3.1838,35.516,16.081,3.1158,0.99638,290.35,86.148,627.56,56.535,62063,192.48,0.30925
17,595.93,340.21,256.71,20.912,316.52,6.1934,-59.803,24.497,15.564,11.391,-26.671,18.055,4.7215,3.3184,39.682,16.613,3.0905,1.0275,321.81,82.496,621.73,56.512,62056,191.15,0.17995
18,451.26,299.67,258.32,21.093,314.16,8.7186,-55.835,25.097,15.983,10.479,-21.747,16.503,4.4725,3.3886,42.728,16.573,2.8921,0.98638,342.59,79.383,601.1,75.769,62050,189.44,-0.34086
19,271.58,264.86,256.39,21.279,312.78,8.4818,-56.383,25.335,15.227,10.9,-19.197,16.195,4.0319,3.4355,46.328,17.337,2.9008,1.0351,361.52,81.441,587.94,73.045,62047,187.97,-0.64007
20,171.32,176.39,252.33,21.926,310.09,7.9361,-57.765,25.227,15.319,10.428,-16.717,15.358,3.3028,3.2324,49.288,18.195,2.7607,0.93947,368.35,95.047,562.93,67.347,62048,185.87,-1.224
21,17.934,17.2,242.45,21.477,303.58,11.929,-61.129,24.01,18.546,12.958,-12.427,11.033,2.28,2.7722,52.667,16.17,2.6719,0.91197,372.23,91.156,509.98,85.164,62060,183.62,-2.6882
22,0.0057889,0.040412,235.23,20.816,299.97,11.02,-64.739,23.54,20.027,14.4,-11.717,12.298,1.5659,2.7959,54.359,17.757,2.633,1.054,363.99,89.292,479.51,76.578,62080,180.38,-3.4908
23,0,0,228.71,20.576,297.23,10.962,-68.519,22.85,21.708,15.585,-11.837,13.146,1.2801,2.6928,52.629,18.66,2.6318,1.081,345.66,97.109,457.99,75.003,62096,181.87,-4.1075
24,0,0,223.9,21.212,293.97,12.264,-70.079,23.476,23.777,17.592,-11.493,13.122,1.0109,2.6485,50.459,19.839,2.508,1.0868,323.17,102.25,434.59,78.987,62102,180.69,-4.858
