HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure air,SD,Vapour Pressure surface,SD,Atmospheric Pressure,SD,Ts
1,0.4696,0.95152,300.67,28.292,307.25,7.962,-6.5786,23.272,50.274,71.084,31.465,46.172,6.8499,3.3836,89.974,10.259,2.58,2.4579,900.68,185.98,537.84,71.543,99327,571.57,-1.8498
2,0.59228,1.0096,299.65,29.83,306.59,8.2532,-6.9359,25.043,52.378,76.46,33.468,51.31,6.3518,3.4551,91.411,10.122,2.714,2.6377,884.58,184.87,532.35,74.815,99323,578.66,-1.9975
3,0.54426,0.95073,298.52,28.429,306.09,8.2566,-7.5694,23.642,53.799,79.414,34.885,54.38,6.0781,3.5043,92.944,9.0334,2.7321,2.729,883.86,183.14,528.08,73.852,99322,589.57,-2.107
4,0.54102,0.92041,299.95,28.899,305.85,8.5161,-5.8981,23.549,52.888,76.992,34.666,51.575,5.9334,3.5932,93.677,8.8838,2.639,2.6483,883.4,190.65,526.26,76.148,99308,596.85,-2.1611
5,0.56283,0.932,301.8,30.013,305.67,8.894,-3.8694,24.277,49.661,74.641,32.931,50.261,5.6709,3.5744,94.625,8.8886,2.5415,2.6126,876.35,191.38,525.04,80.515,99294,602.12,-2.2037
6,0.63872,1.0346,302.74,28.373,305.74,9.8072,-2.9936,22.701,46.721,78.149,31.279,53,5.5872,3.7295,94.919,9.4717,2.441,2.6776,874.45,197.53,526.56,91.1,99284,606.33,-2.1929
7,0.71409,1.0546,302.62,27.514,305.33,9.5267,-2.7111,21.925,53.206,86.991,35.337,59.354,5.4016,3.7759,95.267,8.959,2.525,2.8217,866.79,194.55,522.76,86.674,99282,602.64,-2.2822
8,5.8123,9.1016,303.12,26,304.86,8.5579,-1.7477,21.439,48.508,76.585,31.598,50.597,5.2104,3.6879,95.565,9.1344,2.4534,2.6005,856.63,186.55,517.87,76.1,99300,610.21,-2.3809
9,24.765,28.516,304.36,24.767,305.05,7.6773,-0.6888,21.062,45.402,71.564,30.16,49.897,5.2484,3.72,95.267,9.7888,2.3251,2.518,856.26,190.84,518.71,68.398,99327,614.35,-2.3356
10,67.359,54.222,304.37,24.147,306.09,7.2977,-1.7124,20.996,53.63,79.528,34.396,53.627,5.5758,3.6691,93.331,10.228,2.6235,2.7538,857.02,186.44,527.25,64.507,99334,619.56,-2.1044
11,159.15,100.19,306.82,23.492,307.88,6.4601,-1.0535,21.602,61.189,90.988,38.297,60.841,6.1274,3.614,90.758,11.495,2.8567,3.0157,862.22,179.22,542.2,58.11,99343,623.34,-1.7054
12,260.01,152.41,309.52,23.107,310.05,6.4439,-0.52773,21.445,58.106,83.99,35.28,55.792,6.7605,3.5353,87.818,11.298,2.983,2.6081,873.08,188.2,561.51,60.436,99327,617.68,-1.2277
13,365.83,200.13,310.2,23.929,312.05,6.1607,-1.8446,22.661,65.637,92.431,37.143,56.843,7.4345,3.4466,85.038,11.012,3.2871,2.7041,884.72,184.89,579.51,58.899,99321,607.91,-0.7898
14,417.14,221.32,312.09,24.431,313.62,5.6386,-1.5254,22.794,72.386,95.717,39.464,58.057,8.1127,3.3802,82.613,11.024,3.5968,2.6949,897.79,175.98,593.78,53.921,99307,598.84,-0.44593
15,399.18,259.39,314.46,22.911,314.74,6.2988,-0.28002,22.027,69.876,88.628,35.661,51.563,8.7851,3.4261,79.454,12.218,3.5166,2.4714,902.1,183.49,604.84,61.063,99281,583.65,-0.20385
16,423.92,277.63,316.62,22.507,315.79,6.8388,0.83321,21.786,86.583,99.522,43.09,56.512,9.3767,3.4739,78.011,13.574,4.0328,2.6909,919.32,193.04,615.22,67.252,99248,571.85,0.020426
17,393.2,282.33,317.05,20.983,316.65,7.2354,0.39702,20.499,77.927,94.325,39.564,54.239,9.8496,3.3081,76.408,14.067,3.8106,2.5542,928.81,197.15,623.93,72.102,99228,567.48,0.20651
18,382.44,254.29,317.05,20.742,316.89,7.3449,0.16106,20.002,90.253,99.312,46.946,58.581,10.353,3.4339,75.501,14.857,4.1743,2.567,946.77,203.34,626.35,73.577,99196,559.91,0.25768
19,307.23,229.49,317.48,21.265,316.13,6.7229,1.3463,20.209,92.329,99.147,49.831,60.136,10.362,3.2333,75.508,14.162,4.1232,2.6186,952.25,215.21,618.45,66.501,99193,560.86,0.095143
20,174.87,155.89,315.41,21.629,314.84,6.2846,0.56494,20.682,96.573,99.763,52.314,64.262,10.169,3.1556,76.219,14.742,4.1827,2.7755,949.2,221.52,605.77,61.133,99199,551.3,-0.18226
21,40.662,28.419,310.98,23.854,312.45,6.0757,-1.4657,21.866,81.342,93.866,48.091,64.264,9.5274,3.0663,80.198,13.486,3.6603,2.7731,956.35,203.03,583.16,56.811,99212,559.06,-0.70161
22,8.9619,9.1147,306.54,25.541,310.28,6.4668,-3.7318,22.368,75.592,89.773,43.243,55.796,8.5742,3.2401,82.947,12.353,3.4712,2.742,931.07,200.35,563.53,58.762,99228,567.37,-1.1784
23,0.56764,1.0248,305.82,26.224,309.14,6.6758,-3.324,22.564,66.569,79.413,40.888,52.647,8.093,3.2535,86.075,12.19,3.2504,2.5692,935.1,195.1,553.53,59.692,99270,582.41,-1.4275
24,0.50992,0.90412,302.99,27.759,308.02,6.9195,-5.0277,23.767,56.747,75.674,33.911,46.178,7.4228,3.2892,88.167,10.698,2.8892,2.4829,917.07,187.16,543.77,61.368,99296,603.53,-1.6753
