HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour_Pressure_air,SD,Vapour_Pressure_surface,SD,Atmospheric_Pressure,SD,Ts
1,0,0,NaN,NaN,NaN,NaN,-52.969,37.293,58.419,65.614,-20.409,54.96,5.561,4.3451,64.35,29.637,6.3589,3.399,553.18,199.88,NaN,NaN,79367,NaN,NaN
2,0,0,NaN,NaN,NaN,NaN,-54.32,37.439,58.513,62.191,-15.024,50.869,5.4971,4.3318,64.151,29.77,6.2188,2.8446,547.5,200.44,NaN,NaN,79367,NaN,NaN
3,0,0,NaN,NaN,NaN,NaN,-51.636,38.092,57.55,62.502,-12.935,47.36,5.4917,4.3367,64.014,29.332,6.2329,3.0382,544.67,189.25,NaN,NaN,79367,NaN,NaN
4,0,0,NaN,NaN,NaN,NaN,-50.207,38.273,55.52,63.029,-10.495,52.151,5.299,4.3821,66.076,28.833,6.1138,3.1885,557.56,185.48,NaN,NaN,79367,NaN,NaN
5,0,0,NaN,NaN,NaN,NaN,-48.529,38.784,57.245,65.509,-12.053,52.567,5.2921,4.5702,65.936,29.461,6.2051,3.2196,553.04,186.66,NaN,NaN,79367,NaN,NaN
6,0,0,NaN,NaN,NaN,NaN,-50.892,38.062,57.741,69.653,-10.761,58.222,5.2895,4.6431,65.71,29.324,6.3114,3.3261,549.97,187.71,NaN,NaN,79367,NaN,NaN
7,0.02,0.068512,NaN,NaN,NaN,NaN,-53.754,38.071,56.843,66.48,-16.36,58.265,5.0974,4.2198,64.655,28.314,6.3602,3.0822,541.63,189.1,NaN,NaN,79367,NaN,NaN
8,9.305,9.7167,NaN,NaN,NaN,NaN,-51.426,39.415,58.564,61.387,-16.3,55.778,5.2623,4.2954,63.796,27.961,6.4774,3.2453,540.48,185.08,NaN,NaN,79367,NaN,NaN
9,71.68,39.261,NaN,NaN,NaN,NaN,-46.528,45.324,58.113,66.125,-17.044,63.427,5.6492,4.5209,61.271,29.435,6.4799,3.4625,527.95,199.94,NaN,NaN,79367,NaN,NaN
10,156.56,70.416,NaN,NaN,NaN,NaN,-23.829,47.007,60,58.047,-12.428,61.976,6.0937,4.7476,60.799,30.847,6.4261,3.2969,533.17,219.82,NaN,NaN,79367,NaN,NaN
11,254.78,94.15,NaN,NaN,NaN,NaN,11.948,52.99,58.109,54.89,-10.068,59.558,6.2969,4.5537,59.947,30.679,6.3963,3.5038,529.52,211.8,NaN,NaN,79367,NaN,NaN
12,331.68,115.67,NaN,NaN,NaN,NaN,46.101,65.002,58.504,55.16,-8.1578,55.846,6.5464,4.5377,60.607,29.705,5.9937,3.2735,544.84,201.39,NaN,NaN,79367,NaN,NaN
13,372.26,129.47,NaN,NaN,NaN,NaN,67.97,82.268,58.146,57.853,-2.7359,56.123,6.6285,4.4502,62.532,28.626,5.9856,3.4064,570.21,204.96,NaN,NaN,79367,NaN,NaN
14,387.26,141.27,NaN,NaN,NaN,NaN,81.167,83.453,59.809,58.482,3.4905,46.686,6.5949,4.3075,66.085,24.737,5.965,3.3478,613.95,175.02,NaN,NaN,79367,NaN,NaN
15,368.79,139.43,NaN,NaN,NaN,NaN,84.001,89.32,63.224,62.689,3.3842,48.292,6.8691,4.3558,66.616,23.822,6.1566,3.5194,637.54,177.57,NaN,NaN,79367,NaN,NaN
16,318.74,130.63,NaN,NaN,NaN,NaN,76.456,89.296,62.239,60.409,7.5229,50.476,6.8873,4.3603,69.024,22.828,6.1952,3.4856,665.04,170.77,NaN,NaN,79367,NaN,NaN
17,254.8,111.42,NaN,NaN,NaN,NaN,55.78,75.565,61.828,54.14,13.306,45.478,6.6043,4.1638,71.934,21.522,6.4565,3.7321,682.26,156.94,NaN,NaN,79367,NaN,NaN
18,177.38,88.664,NaN,NaN,NaN,NaN,27.474,55.78,59.352,52.34,13.946,49.915,6.4141,4.0656,73.367,22.961,6.2319,3.6002,684.77,165.95,NaN,NaN,79367,NaN,NaN
19,97.835,54.576,NaN,NaN,NaN,NaN,-3.2429,38.741,59.714,50.97,19.265,46.815,6.194,4.0376,75.241,22.559,6.509,3.9011,692,154.34,NaN,NaN,79367,NaN,NaN
20,34.235,20.404,NaN,NaN,NaN,NaN,-29.849,36.499,58.332,47.104,15.874,47.973,6.1417,4.3144,72.445,25.907,6.4397,3.5437,657.74,177.59,NaN,NaN,79367,NaN,NaN
21,3.25,3.6909,NaN,NaN,NaN,NaN,-40.377,40.962,56.651,48.033,7.6203,53.774,5.8982,4.3825,70.757,28.497,6.4429,3.3968,628.12,205.66,NaN,NaN,79367,NaN,NaN
22,0.105,0.18959,NaN,NaN,NaN,NaN,-45.889,45.597,58.609,52.74,-0.89317,57.809,5.7914,4.4188,68.668,30.243,6.6244,3.3888,597.79,207.11,NaN,NaN,79367,NaN,NaN
23,0,0,NaN,NaN,NaN,NaN,-50.467,43.298,59.863,61.116,-9.2184,60.933,5.6791,4.373,67.394,30.167,6.4611,3.4582,579.91,205.3,NaN,NaN,79367,NaN,NaN
24,0,0,NaN,NaN,NaN,NaN,-51.753,42.257,60.63,61.188,-16.057,55.387,5.5315,4.3158,65.403,29.77,6.487,3.3919,557.41,193.21,NaN,NaN,79367,NaN,NaN
