SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
254,-66.04,187.96,-59.01,-7.3062,-52.113,1.9614
307.86,-80.043,227.82,-58.179,-1.141,-42.287,3.5603
426.7,-110.94,315.76,-51.377,6.0687,-35.849,6.618
423.03,-109.99,313.04,-42.709,9.76,-24.48,7.2108
429.36,-111.63,317.73,-46.717,9.7956,-26.649,7.1698
152.73,-39.711,113.02,-35.41,14.905,-38.976,1.5104
247.01,-64.222,182.79,-46.473,8.2708,-24.824,3.3784
437.32,-113.7,323.62,-59.093,4.9331,-48.529,6.2324
380.85,-99.021,281.83,-49.669,7.0211,-34.451,5.7753
381.08,-99.081,282,-49.121,8.2036,-28.79,5.9887
433.44,-112.69,320.74,-48.51,9.2487,-35.197,6.9476
376.93,-98.002,278.93,-48.206,5.5793,-25.803,5.9381
425.31,-110.58,314.73,-55.473,2.4511,-31.704,6.4884
429.29,-111.61,317.67,-46.857,8.8525,-29.679,7.0521
411.67,-107.03,304.63,-45.979,9.2206,-19.982,6.9929
426.99,-111.02,315.97,-46.465,11.291,-42.569,6.7203
389.4,-101.24,288.15,-46.828,5.1196,-27.813,6.1675
424.83,-110.46,314.37,-45.847,9.9721,-37.752,6.7914
391.08,-101.68,289.4,-48.454,6.5779,-21.532,6.3752
413.91,-107.62,306.29,-40.379,11.543,-24.574,7.1338
419.76,-109.14,310.62,-35.956,21.585,-40.251,7.2217
420.69,-109.38,311.31,-43.929,13.319,-39.658,6.7998
415.1,-107.93,307.18,-36.536,12.514,-28.017,7.1973
409.64,-106.51,303.13,-33.773,13.182,-19.649,7.4161
398.14,-103.52,294.62,-31.678,10.383,-10.286,7.4204
412.69,-107.3,305.39,-33.732,14.998,-16.831,7.6116
409.89,-106.57,303.32,-41.795,19.479,-45.751,6.6363
351.79,-91.466,260.33,-48.953,10.472,-27.836,5.4729
324.3,-84.317,239.98,-44.069,8.7497,-18.801,5.243
406.27,-105.63,300.64,-41.492,12.325,-27.101,6.8936
375.01,-97.502,277.51,-43.115,18.95,-41.555,5.9744
398.95,-103.73,295.23,-41.428,12.703,-32.337,6.6057
397.8,-103.43,294.37,-40.711,12.759,-22.791,6.8728
394.26,-102.51,291.75,-44.205,13.109,-29.559,6.5191
394.33,-102.53,291.81,-36.649,23.658,-55.432,6.3016
308.79,-80.285,228.5,-31.342,15.924,-32.116,5.105
