SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
254,76.199,178.42,35.56,198.29,-278.7,-80.406,39.449,-44.198,22.831,79.916,0.00030008,5.6144e-05,0,0,0,0.3,0.00032351,2.6309
307.86,92.357,216.72,43.1,165.21,-277.11,-111.9,42.68,-33.907,18.627,87.898,9.0838e-05,4.3072e-05,0,0,0,0.3,0.00042805,3.2045
426.7,128.01,299.94,59.759,154.61,-277.57,-122.96,48.99,-26.885,14.229,152.31,-2.2801e-05,3.4311e-05,-1.5904e-07,0,0,0.3,0.00064176,5.6161
423.03,126.91,297.29,59.281,159.09,-277.7,-118.61,40.476,-17.036,11.601,153.27,2.5529e-05,2.2374e-05,-7.335e-07,0,0,0.3,0.00063614,5.7018
429.36,128.81,301.49,60.155,157.23,-277.51,-120.28,38.556,-21.606,10.959,148.03,0.00014818,2.7856e-05,-4.0996e-07,0,0,0.30001,0.00064353,5.59
152.73,45.82,107.92,21.386,295.42,-296.72,-1.2974,31.55,-47.624,-14.38,53.777,0.00012384,6.0497e-05,0,0,0,0.3,0.00022126,2.5543
247.01,74.103,173.52,34.604,212.21,-285.78,-73.572,29.002,-27.544,4.7684,70.955,0.00011713,3.5384e-05,-3.9486e-07,0,0,0.3,0.00032995,2.8605
437.32,131.2,307.22,61.29,151.05,-278.79,-127.74,45.898,-51.561,12.742,124.18,6.2406e-05,6.6116e-05,-6.1856e-07,0,0,0.30001,0.00065441,4.9034
380.85,114.25,268.11,53.21,154.17,-274.21,-120.04,48.12,-26.918,16.556,131.1,0.00014492,3.5863e-05,-1.6691e-06,0,0,0.30001,0.00055649,4.7751
381.08,114.32,268.24,53.43,154.8,-272.83,-118.02,42.063,-22.798,14.808,129.38,0.00016635,2.9587e-05,-6.2671e-07,0,0,0.30001,0.00055615,4.7811
433.44,130.03,304.75,60.73,153.64,-275.27,-121.63,48.372,-30.103,8.7098,148.02,7.2602e-05,3.9026e-05,-7.8643e-07,0,0,0.3,0.00065256,5.681
376.93,113.08,264.98,52.797,155.67,-276.79,-121.12,41.273,-16.448,6.7183,121.48,0.00012986,2.0894e-05,0,0,0,0.3,0.00054978,4.7586
425.31,127.59,299.27,59.56,150.63,-273.81,-123.18,39.749,-24.221,10.846,141.36,3.485e-05,3.0772e-05,-4.4086e-09,0,0,0.3,0.00064066,5.4056
429.29,128.79,301.81,60.134,154.97,-274.79,-119.83,44.453,-22.404,7.8074,150.4,0.00016294,2.8815e-05,-3.56e-07,0,0,0.3,0.00064565,5.7558
411.67,123.5,289.32,57.661,158.04,-273.8,-115.76,30.255,-17.065,8.758,136.69,0.0001003,2.2961e-05,-1.2844e-06,0,0,0.30002,0.00060067,5.2682
426.99,128.1,300.31,59.796,154.07,-276.26,-122.19,56.445,-37.801,5.288,140.84,0.00020755,4.8018e-05,0,0,0,0.3,0.00064068,5.5507
389.4,116.82,273.86,54.538,155.75,-275.84,-120.09,43.229,-17.427,5.5954,129.34,8.2254e-05,2.2839e-05,-7.0106e-07,0,0,0.3,0.00057015,5.0656
424.83,127.45,298.71,59.49,153.45,-273.8,-120.35,48.191,-32.964,8.8409,141.61,0.00011021,4.1886e-05,-1.2185e-08,0,0,0.3,0.00061447,5.4611
391.08,117.33,275.01,54.763,156.79,-275.49,-118.7,36.281,-14.134,5.8606,128.3,0.00020182,1.7954e-05,0,0,0,0.3,0.00058634,5.0343
413.91,124.17,290.84,57.97,158.32,-275.43,-117.11,43.963,-16.172,5.1089,147.56,4.1512e-05,2.1045e-05,-5.0175e-07,0,0,0.3,0.00060911,5.685
419.76,125.93,295.03,58.766,160.21,-277.85,-117.64,61.231,-35.099,2.2981,145.86,0.00020771,4.4586e-05,0,0,0,0.3,0.00060878,5.7413
420.69,126.21,295.63,58.897,155.46,-277.16,-121.7,53.366,-33.289,4.1693,138.13,0.00018425,4.2287e-05,0,0,0,0.3,0.00061184,5.4728
415.1,124.53,291.72,58.149,158.49,-276.08,-117.59,46.15,-20.199,5.4919,146.28,0.00012764,2.594e-05,-2.8137e-07,0,0,0.3,0.00060382,5.6443
409.64,122.89,287.9,57.378,164.35,-276.85,-112.5,40.913,-12.552,4.6531,149.88,4.2974e-05,1.6932e-05,-9.8726e-07,0,0,0.30001,0.00059576,5.7481
398.14,119.44,279.78,55.818,167.15,-273.77,-106.62,26.283,-5.578,8.8908,145.86,0.00014757,7.7078e-06,-6.2217e-07,0,0,0.30002,0.00058745,5.4689
412.69,123.81,289.91,55.379,165.61,-276.75,-111.14,36.844,-11.867,3.2055,150.54,5.1228e-05,1.8386e-05,-3.3116e-06,0,0,0.30007,0.0005874,5.7478
409.89,122.97,288.27,57.398,157.42,-278.11,-120.69,62.655,-42.113,1.7567,131.13,7.3235e-05,5.4288e-05,-7.9193e-07,0,0,0.3,0.00059841,5.3069
351.79,105.54,247.32,48.88,157.97,-278.32,-120.35,51.931,-18.639,3.3772,113.69,7.9697e-05,2.6689e-05,-3.0119e-06,0,0,0.30003,0.00049247,4.5209
324.3,97.289,228.19,44.957,160.69,-275,-114.31,40.064,-9.6446,6.6353,104.79,5.6491e-05,1.5396e-05,-3.145e-06,0,0,0.30007,0.00043106,4.0706
406.27,121.88,285.67,56.98,158.88,-274.33,-115.44,41.36,-21.268,7.0966,139.15,0.0001058,2.7525e-05,-5.0933e-07,0,0,0.30002,0.00059215,5.3688
375.01,112.5,263.61,52.58,157.8,-276.65,-118.85,59.897,-37.262,2.82,116.53,0.00012797,4.7844e-05,-5.1009e-07,0,0,0.30002,0.00053432,4.7221
398.95,119.69,280.42,55.877,158.08,-275.52,-117.44,48.563,-25.597,5.455,134.37,0.00010507,3.2659e-05,-1.4336e-07,0,0,0.3,0.00058294,5.2455
397.8,119.34,279.5,55.757,161.01,-273.97,-112.95,35.625,-19.351,7.0167,133.04,0.00015913,2.4937e-05,-3.5516e-07,0,0,0.3,0.00057983,5.1573
394.26,118.28,277.38,55.314,157.96,-274.62,-116.66,45.481,-25.113,5.3052,129.68,0.00010932,3.2958e-05,-1.0564e-06,0,0,0.30001,0.00058,5.1086
394.33,118.3,277.87,55.238,155.5,-274.69,-119.19,70.652,-54.493,5.5052,123.27,0.00012507,6.9224e-05,-2.7219e-09,0,0,0.3,0.00058307,4.9323
308.79,92.636,217.96,43.249,156.27,-270.09,-113.82,45.013,-27.9,10.643,86.839,8.5394e-05,3.5441e-05,0,0,0,0.3,0.00041923,3.4205
327.95,98.386,230.69,45.929,159.83,-272.04,-112.22,41.963,-26.57,6.5229,93.339,0.00013513,3.3897e-05,-1.456e-07,0,0,0.3,0.00045929,3.7764
382.88,114.86,269.63,53.618,158.32,-275.82,-117.5,60.21,-29.646,0.8846,128.35,9.4334e-05,3.7915e-05,-2.5672e-07,0,0,0.3,0.00056653,5.1536
339.61,101.88,239.18,47.579,152.88,-271.57,-118.69,64.88,-42.609,7.726,101.45,0.00030264,5.4323e-05,-1.9693e-07,0,0,0.3,0.00046236,4.0271
93.945,28.184,66.912,13.152,308.16,-291.33,16.832,16.779,-46.971,-17.756,21.492,0.00023372,5.9667e-05,0,0,0,0.3,9.5222e-05,1.5107
190.35,57.104,134.32,26.675,217.52,-279,-61.479,29.638,-19.885,3.3678,58.209,5.9707e-05,2.6307e-05,-1.0478e-06,0,0,0.3,0.0002617,2.3299
267.52,80.255,188.52,37.579,158.58,-273.56,-114.98,36.456,-10.265,10.388,71.282,4.9316e-05,1.5278e-05,-2.2377e-06,0,0,0.30003,0.00033098,2.8135
302.28,90.685,213,41.648,153.08,-268.53,-115.45,39.173,-18.361,14.496,89.81,0.00017032,2.4794e-05,-1.4701e-06,0,0,0.30001,0.00041543,3.3391
357.94,107.38,251.92,50.158,159.47,-274.96,-115.49,45.542,-21.509,2.6164,111.57,0.00015687,2.7535e-05,-2.1251e-07,0,0,0.30001,0.00050741,4.5268
348.92,104.68,245.7,48.894,155.95,-268.65,-112.71,32.044,-12.785,11.456,113.36,-1.4594e-05,1.6544e-05,-3.0351e-07,0,0,0.3,0.00050884,4.2949
339.25,101.78,238.84,47.535,155.22,-269.49,-114.27,43.055,-19.499,9.3234,108.55,0.00015236,2.5016e-05,-2.4554e-07,0,0,0.3,0.00049752,4.1786
336.25,100.88,236.65,47.079,157.89,-271.65,-113.76,46.203,-16.71,4.8414,108.88,0.00028474,2.1226e-05,0,0,0,0.3,0.00049259,4.2987
340,102,239.46,47.6,153.11,-273.38,-120.27,67.215,-39.43,2.2519,100.16,2.5833e-05,5.0088e-05,0,0,0,0.3,0.00049917,4.146
169.48,50.845,119.97,23.728,218.76,-276.53,-57.776,49.233,-54.893,-0.066301,31.408,9.6298e-05,6.973e-05,0,0,0,0.3,0.00016058,1.5949
