SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
254,-66.04,187.96,-59.015,-7.3068,-51.919,1.9667
307.86,-80.043,227.81,-58.191,-1.1413,-42.494,3.5541
426.7,-110.94,315.76,-51.375,6.0672,-36.502,6.5996
423.03,-109.99,313.04,-42.707,9.7579,-25.317,7.1872
429.36,-111.63,317.73,-46.715,9.7937,-27.478,7.1464
152.73,-39.711,113.02,-35.419,14.902,-40.442,1.4687
247.01,-64.222,182.79,-46.475,8.2695,-25.763,3.3518
437.32,-113.7,323.62,-59.091,4.9325,-49.099,6.2163
380.85,-99.021,281.83,-49.677,7.0199,-35.06,5.7579
381.08,-99.081,282,-49.119,8.2022,-29.473,5.9695
433.44,-112.69,320.74,-48.508,9.2467,-35.979,6.9255
376.93,-98.003,278.93,-48.204,5.5782,-26.427,5.9206
425.31,-110.58,314.73,-55.471,2.4503,-32.043,6.4789
429.29,-111.61,317.67,-46.855,8.8507,-30.44,7.0306
411.67,-107.03,304.63,-45.976,9.2187,-20.745,6.9715
426.99,-111.02,315.97,-46.462,11.289,-43.381,6.6974
389.4,-101.24,288.15,-46.826,5.1182,-28.394,6.1511
424.83,-110.46,314.37,-45.845,9.9705,-38.406,6.773
391.09,-101.68,289.4,-48.452,6.5764,-22.199,6.3564
413.91,-107.62,306.29,-40.377,11.54,-25.661,7.1031
419.76,-109.14,310.62,-35.953,21.58,-41.824,7.1773
420.7,-109.38,311.31,-43.927,13.317,-40.571,6.7741
415.1,-107.93,307.18,-36.534,12.512,-28.9,7.1724
409.64,-106.51,303.13,-33.771,13.178,-20.977,7.3785
398.14,-103.52,294.62,-31.676,10.379,-11.489,7.3864
412.68,-107.3,305.39,-33.73,14.993,-18.356,7.5685
409.89,-106.57,303.32,-41.792,19.476,-47.067,6.5991
351.79,-91.466,260.33,-48.962,10.47,-29.041,5.4386
324.3,-84.317,239.98,-44.07,8.7473,-19.828,5.214
406.27,-105.63,300.64,-41.489,12.322,-28.123,6.8647
375.01,-97.501,277.5,-43.113,18.947,-42.986,5.9339
398.95,-103.73,295.23,-41.426,12.701,-33.289,6.5788
397.8,-103.43,294.37,-40.708,12.756,-23.897,6.8416
394.25,-102.51,291.75,-44.203,13.106,-30.714,6.4865
394.33,-102.53,291.81,-36.647,23.655,-56.544,6.2702
308.79,-80.285,228.5,-31.34,15.921,-32.727,5.0878
327.96,-85.268,242.69,-28.751,17.303,-30.342,5.6672
382.88,-99.55,283.33,-35.913,17.396,-38.845,6.3746
339.61,-88.299,251.31,-52.177,8.3481,-48.261,4.4916
93.945,-24.426,69.52,-49.456,-3.4997,-41.618,-0.70678
190.35,-49.49,140.86,-54.593,-3.3391,-28.283,1.5414
267.52,-69.554,197.96,-53.485,2.4435,-20.919,3.5545
302.28,-78.594,223.69,-50.625,1.9341,-28.226,4.1404
357.94,-93.065,264.88,-41.271,13.637,-29.323,5.8653
348.92,-90.719,258.2,-45.568,5.359,-20.006,5.5851
339.25,-88.205,251.05,-48.133,6.5219,-28.378,5.1076
336.25,-87.426,248.83,-42.657,8.5232,-26.836,5.2994
340,-88.4,251.6,-51.137,10.195,-48.616,4.5712
169.48,-44.066,125.42,-59.74,-10.273,-63.326,-0.22345
248.26,-64.546,183.71,-71.187,-14.49,-49.779,1.3612
96.237,-25.022,71.215,-70.37,-17.742,-36.342,-1.5019
299.91,-77.976,221.93,-72.357,-15.301,-56.405,2.1966
318.7,-82.861,235.84,-59.521,0.56444,-38.16,3.9132
329.55,-85.683,243.87,-49.066,7.2583,-32.709,4.7773
281.52,-73.196,208.33,-50.203,5.2308,-15.607,4.1679
328.82,-85.493,243.33,-57.805,1.4479,-8.7559,5.0273
171.51,-44.592,126.92,-49.923,2.5274,-16.963,1.7647
223.77,-58.181,165.59,-56.28,-1.3249,-20.416,2.4703
119.03,-30.947,88.081,-57.639,-2.106,-11.949,0.46228
286.35,-74.452,211.9,-64.487,-8.2864,-58.678,2.2695
165.69,-43.08,122.61,-52.924,0.4047,-50.05,0.56541
265.41,-69.006,196.4,-57.829,2.5765,-38.175,2.9049
261.37,-67.956,193.41,-49.836,6.4491,-45.986,2.935
278.54,-72.42,206.12,-45.591,7.3628,-34.72,3.7567
275.67,-71.675,204,-37.884,11.945,-31.13,4.1449
273.93,-71.223,202.71,-38.743,9.8266,-21.667,4.2915
260.86,-67.825,193.04,-31.415,16.326,-28.184,4.2249
253.41,-65.888,187.53,-31.894,11.818,-15.714,4.2804
250.82,-65.214,185.61,-33.522,12.127,-22.658,3.9933
246.36,-64.055,182.31,-23.089,17.124,-23.243,4.319
242.53,-63.057,179.47,-27.565,13.514,-18.268,4.151
241.77,-62.86,178.91,-38.001,19.79,-51.809,3.0718
243.51,-63.312,180.2,-44.516,10.531,-43.382,2.9008
240.41,-62.506,177.9,-38.255,11.253,-37.398,3.2019
236.11,-61.388,174.72,-40.825,9.9326,-33.48,3.1129
231.16,-60.102,171.06,-40.464,7.5073,-24.367,3.2084
225.03,-58.509,166.53,-39.919,10.977,-32.625,2.9609
229.9,-59.773,170.12,-42.266,9.7604,-30.269,3.0283
201.34,-52.349,148.99,-44.311,4.874,-34.119,2.128
170.2,-44.251,125.94,-44.796,9.2788,-42.825,1.3429
227.07,-59.038,168.03,-54.567,4.0255,-42.867,2.1051
120.08,-31.221,88.859,-51.048,0.42296,-35.686,0.071908
60.855,-15.822,45.033,-57.631,-0.95501,-2.8396,-0.46245
159.24,-41.402,117.84,-62.769,-2.1551,-3.1745,1.4031
116.02,-30.165,85.855,-72.634,-7.1109,-13.286,-0.20243
211.84,-55.078,156.76,-75.631,-15.966,-39.331,0.72872
197.58,-51.372,146.21,-63.317,-8.0899,-40.332,0.97246
206.98,-53.815,153.17,-51.614,5.6202,-25.227,2.3117
116.15,-30.2,85.955,-64.8,-18.239,-62.731,-1.6874
197.88,-51.448,146.43,-60.534,-4.4557,-68.668,0.36029
