HOUR,SW,LW,SHF,LHF
1,-2.9562,-50.376,2.4343,-31.553
2,-2.9884,-49.869,2.6204,-33.621
3,-2.8922,-50.032,3.4424,-38.39
4,-3.1377,-51.043,2.7392,-41.991
5,-3.1544,-51.37,2.9431,-43.899
6,-3.1651,-42.711,1.9825,-45.304
7,-3.1832,-22.141,1.6793,-44.627
8,1.3271,-23.647,1.9562,-42.385
9,17.813,-24.542,1.9332,-46.836
10,153.78,-33.752,4.4726,-45.577
11,322.32,-41.712,6.6713,-37.581
12,584.81,-55.734,8.1838,-32.902
13,674.38,-59.107,10.791,-30.869
14,721.32,-60.344,14.446,-35.137
15,697.06,-57.897,13.359,-30.1
16,648.13,-57.558,12.702,-27.467
17,574.82,-58.487,13.089,-24.294
18,433.89,-61.207,11.849,-21.833
19,274.85,-59.806,9.6441,-20.917
20,173.38,-39.814,8.2614,-20.061
21,22.114,-44.758,5.7489,-21.318
22,-2.2973,-48.103,4.1598,-22.439
23,-2.8732,-49.452,2.895,-24.939
24,-2.9809,-50.707,2.1837,-27.032
