SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-2.739,0.71214,-2.0269,-64.854,-20.575,-126.32,-6.0305
-2.507,0.65182,-1.8552,-68.62,-16.302,-59.748,-4.1334
-1.927,0.50102,-1.426,-67.896,-18.822,-76.278,-4.6383
-1.625,0.4225,-1.2025,-67.812,-16.465,-64.239,-4.2235
-0.882,0.22932,-0.65268,-67.641,-15.04,-57.934,-3.9851
-0.975,0.2535,-0.7215,-40.258,-15.437,-51.269,-3.0378
-0.882,0.22932,-0.65268,-40.258,-19.003,-63.645,-3.4856
8.61,-2.2386,6.3714,-42.439,-15.915,-50.439,-2.8893
73.22,-19.037,54.183,-45.324,-15.093,-53.614,-1.6883
273.9,-71.214,202.69,-51.607,-8.0109,-51.117,2.5939
982,-255.32,726.68,-78.807,3.3593,-51.008,16.932
1158,-301.08,856.92,-81.837,5.3026,-62.636,20.247
1100,-286,814,-79.249,7.4132,-66.6,19.057
1264,-328.64,935.36,-80.414,7.1288,-50.48,22.895
641.7,-166.84,474.86,-58.979,7.4382,-42.622,10.739
200.5,-52.13,148.37,-38.762,1.4488,-28.965,2.3158
143,-37.18,105.82,-42.374,-4.0049,-28.215,0.88089
106.9,-27.794,79.106,-43.984,-3.1013,-27.093,0.13899
64.94,-16.884,48.056,-50.8,-6.1608,-38.025,-1.3239
67.43,-17.532,49.898,-60.311,-6.2657,-33.703,-1.4212
32.95,-8.567,24.383,-59.568,-4.5079,-27.869,-1.9059
-1.114,0.28964,-0.82436,-59.577,-4.8913,-36.402,-2.8688
-3.783,0.98358,-2.7994,-61.775,-7.98,-48.903,-3.4262
-4.758,1.2371,-3.5209,-63.222,-9.8774,-48.927,-3.5417
-4.109,1.0683,-3.0407,-63.12,-9.9117,-53.894,-3.6663
-3.946,1.026,-2.92,-61.577,-8.2432,-58.767,-3.7098
-5.154,1.34,-3.814,-61.779,-7.0165,-50.964,-3.486
-4.318,1.1227,-3.1953,-63.77,-9.8377,-55.244,-3.725
-5.154,1.34,-3.814,-64.402,-10.213,-53.381,-3.7183
-4.086,1.0624,-3.0236,-38.274,-12.302,-49.759,-2.9157
-4.109,1.0683,-3.0407,-35.358,-8.5701,-47.603,-2.6678
9.4,-2.444,6.956,-35.747,-12.348,-71.342,-3.173
71.74,-18.652,53.088,-40.216,-10.185,-62.587,-1.6897
624.2,-162.29,461.91,-66.209,0.053505,-58.068,9.526
852,-221.52,630.48,-71.329,3.5798,-50.749,14.443
1087,-282.62,804.38,-79.344,6.9524,-65.444,18.803
1273.7,-331.16,942.54,-78.252,10.333,-53.117,23.174
1273.7,-331.16,942.54,-77.319,6.1608,-27.654,23.801
525,-136.5,388.5,-49.807,6.4417,-28.56,8.9305
