NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
134.94,-38.731,21.65,-29.94,2.4801,0.47395,-1.2212,50.708,285.24,456.08,3.8612,-4.2124
176.49,-63.089,24.384,-25.568,3.1655,0.43546,-0.062583,47.445,291.41,466.24,3.241,-4.027
276.17,-79.877,30.553,-32.367,5.4861,0.35877,2.4167,36.584,267.95,508.73,3.0369,-2.8626
285.83,-79.628,32.287,-30.448,5.8687,0.3308,4.2427,34.536,282.61,533.12,2.7046,-2.151
299.19,-77.176,27.822,-32.044,6.1439,0.30839,3.3855,36.594,280.25,531.39,2.7377,-2.123
104.72,-41.158,35.319,-39.807,1.6665,0.32585,2.9365,39.579,296.25,526.71,3.8424,-2.1128
174.89,-48.892,21.452,-25.719,3.4341,0.29842,1.6589,51.946,352.42,521.99,3.0213,-2.2545
316.25,-81.756,27.95,-40.538,6.2598,0.28275,0.61754,45.391,284.47,484.73,3.9127,-3.3313
292.68,-79.967,30.287,-32.04,5.9511,0.23933,2.6482,35.772,266.09,506.19,2.8996,-2.8631
296.49,-84.927,26.895,-31.116,5.849,0.22978,2.8036,34.786,260.38,512.19,2.6519,-2.6498
338.59,-90.054,32.699,-36.281,6.9101,0.22594,2.961,30.338,233.35,503.8,2.9195,-2.9847
295.58,-75.052,23.283,-24.401,6.1896,0.2222,2.3273,41.48,298.46,515.72,2.6031,-2.5371
336.86,-90.561,22.368,-28.508,6.7748,0.21544,1.3978,34.605,234.79,491.44,2.5049,-3.3194
343.94,-82.88,29.711,-32.314,7.291,0.2057,3.2235,31.42,243.31,513.54,2.6852,-2.6648
328.96,-82.157,24.456,-28.331,6.8529,0.20781,3.3993,40.255,303.21,529.65,2.4435,-2.1426
342.82,-86.52,36.259,-43.281,7.032,0.20358,3.2742,28.102,220.79,514.94,3.2804,-2.5845
312.8,-80.228,25.916,-27.246,6.5233,0.20328,2.6877,38.171,282.8,518.31,2.6707,-2.533
344.59,-89.2,32.026,-41.347,6.9416,0.1958,3.2848,25.978,202.74,514.14,2.902,-2.6297
316.53,-77.903,21.875,-24.214,6.6655,0.19735,2.6582,42.358,307.99,525.1,2.4019,-2.2709
340.74,-81.711,32.171,-31.31,7.3315,0.18298,4.3478,30.925,265.85,537.51,2.6813,-2.0106
