HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure air,SD,Vapour Pressure surface,SD,Atmospheric Pressure,SD,Ts
1,0,0,220.48,20.846,291.96,12.035,-71.472,23.441,32.582,17.692,-18.233,17.696,1.078,2.7702,44.638,20.814,2.6876,1.1329,284.47,108.27,419.58,76.45,62083,187.18,-5.3183
2,0,0,218.84,21.763,290.59,11.533,-71.747,23.269,34.68,15.847,-19.791,14.224,1.1889,2.7262,39.159,18.275,2.7074,0.89048,252.22,96.524,409.27,72.147,62065,186.61,-5.6292
3,0,0,216.48,22.366,288.83,11.891,-72.353,20.99,38.801,18.159,-22.427,15.998,1.1508,2.8053,36.523,18.589,2.8673,1.0696,233.52,96.906,397.31,73.532,62037,187.81,-6.0373
4,0,0,215.59,21.961,287.66,11.78,-72.068,20.643,40.179,18.874,-22.588,17.14,0.93393,2.7699,36.316,17.98,2.9518,1.0845,230.05,94.981,389.13,72.196,62004,191.42,-6.3084
5,0,0,214.39,22.236,286.63,11.696,-72.247,21.029,42.557,19.286,-23.217,16.215,0.86276,2.7806,35.868,18.218,3.0654,0.9789,225.33,95.284,382.07,70.69,61977,191.52,-6.5464
6,0,0,215.25,23.501,285.78,11.027,-70.534,22.311,42.255,17.906,-23.329,15.86,0.82575,2.729,33.7,17.165,3.0146,0.96941,211.57,90.169,375.75,66.397,61958,194.5,-6.7393
7,0.0021889,0.020766,214.45,24.298,284.5,11.256,-70.049,22.664,42.213,16.626,-22.453,14.736,0.63073,2.6734,33.62,17.695,2.9862,0.93045,207.85,89.704,367.44,66.281,61956,193.44,-7.0417
8,0.9114,3.405,213.07,23.49,283.64,11.223,-70.568,21.878,41.89,17.123,-21.946,14.019,0.45319,2.6915,33.637,18.001,2.9333,0.96327,204.38,88.156,361.82,65.541,61973,194.26,-7.2427
9,12.233,15.735,214.77,25.511,284.1,11.409,-69.328,23.313,43.541,17.336,-24.181,14.479,0.60284,2.6693,31.93,17.76,3.0369,0.96944,195.66,84.655,365.02,67.606,61993,193.53,-7.1353
10,133.74,139.93,218.02,24.797,291.29,15.6,-73.268,26.098,38.927,18.614,-31.741,19.931,1.2505,2.866,30.91,16.333,3.0951,1.0817,199.15,82.754,419.25,104.27,62014,196.05,-5.5012
11,307.31,231.96,221.94,23.921,298.19,17.22,-76.254,26.535,32.94,19.737,-34.713,23.572,2.1774,2.9013,31.211,17.368,2.859,1.0936,213.62,87.627,473.72,124.07,62031,198.27,-3.9408
12,574.97,219.76,230.29,21.332,312.93,6.6514,-82.637,23.232,21.296,12.678,-46.21,21.424,3.4137,2.8495,30.253,15.61,2.8262,1.2147,226.7,85.684,587.93,57.71,62049,199.41,-0.59947
13,678.4,263.81,236.83,21.319,315.25,6.413,-78.422,23.785,22.403,12.953,-48.769,22.453,4.0629,2.826,30.597,15.777,2.883,1.1241,238.55,86.495,609.69,56.975,62067,198.62,-0.094137
14,742.46,305.75,242.33,21.461,315.98,6.6735,-73.656,23.996,26.416,13.846,-54.972,21.611,4.4897,2.9941,30.051,14.69,3.2222,0.99278,240.65,74.971,616.91,59.833,62068,198.84,0.063426
15,723.21,341.92,249.73,21.491,317.27,5.4326,-67.549,24.128,25.331,13.756,-51.091,22.141,4.7878,3.0042,32.25,14.89,3.0912,1.0702,262.97,76.323,628.67,50.473,62067,194.31,0.3461
16,667.92,344.74,254.62,21.501,317.11,6.1928,-62.498,24.92,25.845,13.676,-46.873,21.778,4.8756,3.1838,35.516,16.081,3.1158,0.99638,290.35,86.148,627.56,56.535,62063,192.48,0.30925
17,595.93,340.21,256.71,20.912,316.52,6.1934,-59.803,24.497,25.935,14.317,-41.694,19.843,4.7215,3.3184,39.682,16.613,3.0905,1.0275,321.81,82.496,621.73,56.512,62056,191.15,0.17995
18,451.26,299.67,258.32,21.093,314.16,8.7186,-55.835,25.097,26.291,13.989,-34.823,19.98,4.4725,3.3886,42.728,16.573,2.8921,0.98638,342.59,79.383,601.1,75.769,62050,189.44,-0.34086
19,271.58,264.86,256.39,21.279,312.78,8.4818,-56.383,25.335,25.012,12.992,-30.3,18.466,4.0319,3.4355,46.328,17.337,2.9008,1.0351,361.52,81.441,587.94,73.045,62047,187.97,-0.64007
20,171.32,176.39,252.33,21.926,310.09,7.9361,-57.765,25.227,23.603,12.329,-25.128,17.618,3.3028,3.2324,49.288,18.195,2.7607,0.93947,368.35,95.047,562.93,67.347,62048,185.87,-1.224
21,17.934,17.2,242.45,21.477,303.58,11.929,-61.129,24.01,24.929,12.624,-17.546,13.554,2.28,2.7722,52.667,16.17,2.6719,0.91197,372.23,91.156,509.98,85.164,62060,183.62,-2.6882
22,0.0057889,0.040412,235.23,20.816,299.97,11.02,-64.739,23.54,25.291,14.276,-15.184,13.78,1.5659,2.7959,54.359,17.757,2.633,1.054,363.99,89.292,479.51,76.578,62080,180.38,-3.4908
23,0,0,228.71,20.576,297.23,10.962,-68.519,22.85,26.941,14.733,-15.069,14.299,1.2801,2.6928,52.629,18.66,2.6318,1.081,345.66,97.109,457.99,75.003,62096,181.87,-4.1075
24,0,0,223.9,21.212,293.97,12.264,-70.079,23.476,28.542,17.059,-14.589,14.772,1.0109,2.6485,50.459,19.839,2.508,1.0868,323.17,102.25,434.59,78.987,62102,180.69,-4.858
