NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-53.243,83.009,-62.404,-0.9207,NaN,-2.062,26.76,140.65,330.45,7.405,-8.1895
0,-35.79,28.702,-19.15,-0.74016,NaN,-2.916,43.14,212.84,343.78,3.294,-7.6796
0,-33.534,37.745,-31.455,-0.76855,NaN,-2.751,39.23,195.94,353.09,4.508,-7.3337
0,-27.945,28.879,-25.013,-0.67928,NaN,-2.732,42.77,213.92,363.87,3.757,-6.9432
0,-20.493,24.531,-21.65,-0.49683,NaN,-2.693,44.74,224.42,370.32,3.342,-6.7143
0,-19.905,19.051,-16.886,-0.50044,NaN,-2.936,50.24,247.5,376.86,2.94,-6.486
0,-20.591,27.835,-23.555,-0.46016,NaN,-2.936,49.65,244.59,372.93,4.134,-6.623
2.457,-18.238,15.318,-15.712,-0.45629,0.71463,-3.199,48.29,233.28,374.89,2.499,-6.5545
30.35,-18.336,18.178,-20.594,0.27076,0.5855,-2.833,47.52,235.9,388.17,3.046,-6.0993
122,-25.788,14.272,-27.85,2.3311,0.55458,-1.735,36.81,198.19,433.03,2.671,-4.6582
488.5,-78.541,10.835,-52.662,10.385,0.50255,0.707,32.68,210.22,565.45,3.339,-1.0676
607.3,-85.208,12.663,-68.473,13.154,0.47556,0.91,32.19,210.12,578.89,4.182,-0.74616
599.2,-82.659,13.562,-76.638,12.792,0.45527,1.093,37.02,244.86,593.49,4.951,-0.40458
723.6,-85.208,10.245,-59.787,16.611,0.42753,1.257,41.63,278.61,606.48,4.107,-0.10676
359.2,-38.241,9.872,-51.302,7.8854,0.44024,1.293,49.79,334.09,611.17,4.17,-0.00062405
108.4,-19.513,8.4706,-26.387,2.0021,0.45935,0.277,64.74,403.72,568.12,3.615,-1.0032
71.64,-11.864,10.559,-16.141,1.5288,0.49902,-0.679,74.26,432,523.13,3.989,-2.1255
51.52,-13.041,10.203,-15.568,0.93414,0.51805,-0.619,69.93,408.59,515.62,3.276,-2.3211
31.2,-10.198,16.67,-19.836,0.50316,0.51956,-0.883,71.07,407.32,499.21,4.862,-2.7575
29.14,-15.787,15.152,-15.245,0.37407,0.56785,-1.045,70.77,400.83,486.37,4.014,-3.108
14.03,-11.57,13.521,-11.621,0.12298,0.5742,-0.88,71.07,407.41,486.37,3.315,-3.108
