SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
254,76.199,178.42,35.56,238.05,-295.6,-57.548,25.199,-35.885,12.659,86.665,0.00028331,4.5584e-05,0,0,0,0.3,0.00032351,3.1082
307.86,92.357,216.72,43.1,219.44,-295.66,-76.213,28.097,-28.657,9.1496,104.78,0.00027181,3.6403e-05,0,0,0,0.3,0.00042805,3.948
426.7,128.01,299.94,59.759,215.83,-295.55,-79.715,35.616,-22.23,7.5845,180.19,0.000235,2.8868e-05,-6.3018e-07,0,0,0.3,0.00064176,6.59
423.03,126.91,297.29,59.304,221.91,-296.56,-74.653,30.128,-15.111,5.1046,182.29,0.00011465,2.0368e-05,-1.1731e-06,0,0,0.30001,0.00063614,6.7042
429.36,128.81,301.49,60.136,219.51,-296.87,-77.356,28.773,-20.123,4.6452,176.36,-5.7005e-06,2.6499e-05,-9.37e-07,0,0,0.30002,0.00064353,6.5667
152.73,45.82,107.92,21.386,306.15,-308.23,-2.0767,28.749,-46.575,-8.9249,56.701,0.00016967,5.9164e-05,0,0,0,0.3,0.0002271,2.4829
247.01,74.103,173.52,34.604,253.15,-302,-48.858,22.012,-26.994,1.5588,86.021,0.00022602,3.5335e-05,-1.045e-06,0,0,0.3,0.00036144,3.3761
437.32,131.2,307.22,61.304,211.37,-296.86,-85.494,32.184,-47.657,7.265,151.12,5.4802e-05,6.2348e-05,-1.8099e-06,0,0,0.30004,0.00065441,5.8184
380.85,114.25,268.11,53.358,214.84,-294.38,-79.534,34.845,-23.082,8.7471,154.21,0.0001107,3.1045e-05,-1.7247e-06,0,0,0.30001,0.00055649,5.6515
381.08,114.32,268.24,53.444,215.81,-293.59,-77.779,30.541,-20.685,7.9366,153.33,6.4223e-05,2.7185e-05,-9.0862e-07,0,0,0.30002,0.00056909,5.6509
433.44,130.03,304.75,60.73,213.56,-294.04,-80.477,36.213,-26.7,5.7105,177.42,4.3382e-05,3.4919e-05,-1.0025e-06,0,0,0.3,0.00065256,6.595
