HOUR,SW,LW,SHF,LHF,T surface,T Air
1,-2.7963,-56.556,40.113,-8.158,264.49,274.23
2,-2.8267,-57.23,41.413,-10.042,264.21,274.34
3,-2.7358,-58.329,45.827,-13.424,264.14,274.3
4,-2.968,-59.302,48.575,-14.529,264.14,274.08
5,-2.9838,-59.971,51.121,-15.796,264.17,274.01
6,-2.9939,-59.856,50.21,-16.435,263.87,273.98
7,-3.011,-60.333,49.876,-15.86,263.76,273.78
8,1.2552,-61.462,48.822,-16.367,263.82,273.6
9,16.85,-64.32,48.042,-20.881,264.47,273.75
10,145.47,-78.993,31.635,-37.354,268.4,274.4
11,304.89,-85.473,20.259,-40.036,270.73,275.33
12,553.2,-90.866,10.87,-43.51,273.06,276.56
13,637.92,-88.446,13.039,-41.312,273.15,277.21
14,682.33,-86.769,17.484,-47.218,273.14,277.64
15,659.38,-84.329,16.311,-40.046,273.15,277.94
16,613.1,-81.919,16.183,-35.845,273.06,278.03
17,543.75,-80.003,16.512,-31.811,272.97,277.87
18,410.44,-78.584,15.799,-27.013,272.77,277.62
19,259.99,-72.344,19.581,-19.283,271.31,277.18
20,164.01,-71.208,21.733,-14.594,270.56,276.45
21,20.919,-57.391,30.672,-3.9513,266.79,275.43
22,-2.1731,-54.461,35.298,-1.0904,265.41,274.72
23,-2.7178,-54.773,35.798,-2.8499,265.03,274.43
24,-2.8197,-55.248,35.828,-4.4342,264.62,274.16
