SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
-2.739,-0.8217,0,-0.38346,227.91,-279.05,-51.147,89.55,-76.963,40.093,0,-0.00025742,9.7766e-05,0,0,0,0.3,0,-1.0878
-2.507,-0.7521,0,-0.35098,229.41,-279.38,-49.974,33.952,-21.419,38.845,0,-0.00029639,2.7209e-05,0,0,0,0.3,0,-1.0562
-1.927,-0.5781,0,-0.26978,229.08,-279.55,-50.473,47.486,-33.809,37.876,0.0011801,0.00071547,4.2948e-05,0,0,0,0.3,0,-1.038
-1.625,-0.4875,0,-0.2275,230.08,-279.93,-49.846,39.017,-24.881,36.62,0,-5.9459e-05,3.1606e-05,0,0,0,0.3,0,-1.0074
-0.882,-0.2646,0,-0.12348,230.73,-280.13,-49.402,34.64,-20.401,35.656,0,-0.00014617,2.5915e-05,0,0,0,0.3,0,-0.99194
-0.975,-0.2925,0,-0.1365,230.98,-280.19,-49.21,29.036,-14.226,34.948,0.0010367,0.00076789,1.8072e-05,0,0,0,0.3,0,-0.97043
-0.882,-0.2646,0,-0.12348,230.85,-280.99,-50.14,39.325,-21.825,33.132,0,-0.00020018,2.7723e-05,0,0,0,0.3,0,-0.92075
8.61,2.583,6.027,1.2054,229.45,-279.57,-50.12,24.16,-13.567,34.705,0.00041613,0.0001215,1.7234e-05,0,0,0,0.3,0,-0.94501
73.22,21.966,51.254,10.251,230.8,-287.97,-57.168,19.915,-25.325,21.576,0.0015316,0.0014385,3.217e-05,0,0,0,0.3,0,-0.31944
273.9,82.17,191.73,38.346,232.62,-311.9,-79.279,-4.7832,-56.288,-13.033,0.000943,0.00072721,7.1502e-05,0,0,0,0.3,0,1.4494
982,294.6,687.4,137.48,241.67,-315.64,-73.965,4.538,-73.979,-17.844,388.67,0,9.3974e-05,0,0,0,0.3,0.0014817,15.346
1158,347.4,810.6,162.12,242.38,-315.64,-73.261,7.3089,-92.603,-17.436,472.49,0,0.00011763,0,0,0,0.3,0.0017473,18.394
1100,330,770,154,244.77,-315.64,-70.87,10.389,-100.03,-17.042,438.45,0,0.00012707,0,0,0,0.3,0.0016598,17.194
1264,379.2,884.8,176.96,246.85,-315.64,-68.783,9.9028,-75.252,-16.66,557.05,0,9.5592e-05,0,0,0,0.3,0.0019073,21.176
641.7,192.51,449.19,89.838,249.14,-315.64,-66.492,10.343,-63.607,-16.292,223.3,0,8.0799e-05,0,0,0,0.3,0.00096823,9.2932
200.5,60.15,140.35,28.07,247.79,-313.74,-65.943,4.7935,-37.816,-13.313,0.0013423,0.00099638,4.8038e-05,0,0,0,0.3,0,1.1674
143,42.9,100.1,20.02,245.2,-307.31,-62.11,8.7777,-22.715,-4.0325,0,-0.00032507,2.8855e-05,0,0,0,0.3,0,0.6785
106.9,32.07,74.83,14.966,244.75,-303.23,-58.486,13.314,-16.56,1.869,0.00043567,0,2.1036e-05,0,0,0,0.3,0,0.36947
64.94,19.482,45.458,9.0916,243.77,-298.94,-55.163,26.336,-15.555,8.0171,0.0018728,0.0018227,1.9759e-05,0,0,0,0.3,0,0.030364
67.43,20.229,47.201,9.4402,243.01,-298.25,-55.244,21.703,-13.11,8.8917,0.001128,0.00099948,1.6653e-05,0,0,0,0.3,0,0.015506
32.95,9.885,23.065,4.613,243.79,-294.89,-51.099,23.87,-4.8532,13.632,0.00091205,0.00086726,6.1649e-06,0,0,0,0.3,0,-0.25438
-1.114,-0.3342,0,-0.15596,242.49,-290.02,-47.529,34.32,-6.6834,20.515,0,-0.00015874,8.4898e-06,0,0,0,0.3,0,-0.56115
-3.783,-1.1349,0,-0.52962,238.38,-285.97,-47.586,39.145,-15.589,26.147,0,-0.00013445,1.9803e-05,0,0,0,0.3,0,-0.6779
-4.758,-1.4274,0,-0.66612,237.27,-285.12,-47.852,37.744,-14.183,26.954,0,-7.9014e-05,1.8016e-05,0,0,0,0.3,0,-0.68523
-4.109,-1.2327,0,-0.57526,213.71,-280.07,-66.359,47.759,-13.161,34.06,0,-0.00049708,1.6718e-05,0,0,0,0.3,0,-0.89596
-3.946,-1.1838,0,-0.55244,214,-280.43,-66.423,53.528,-17.832,32.937,0.00079142,0.00066105,2.2652e-05,0,0,0,0.3,0,-0.86678
-5.154,-1.5462,0,-0.72156,212.72,-277.59,-64.873,45.196,-14.094,36.657,0,-6.4107e-05,1.7904e-05,0,0,0,0.3,0,-0.9527
-4.318,-1.2954,0,-0.60452,210.79,-276.62,-65.825,46.171,-15.445,37.517,0.00017712,0,1.962e-05,0,0,0,0.3,0,-0.99013
-5.154,-1.5462,0,-0.72156,210.27,-275.68,-65.41,43.74,-13.751,38.306,0,-0.00017619,1.7468e-05,0,0,0,0.3,0,-0.99922
-4.086,-1.2258,0,-0.57204,208.56,-273.62,-65.06,36.281,-9.7477,40.816,0.00059798,0.00048372,1.2382e-05,0,0,0,0.3,0,-1.0868
-4.109,-1.2327,0,-0.57526,209.01,-273.01,-63.993,36.247,-11.037,41.085,0.00069207,0.00068003,1.4021e-05,0,0,0,0.3,0,-1.0941
9.4,2.82,6.58,1.316,210.15,-278.73,-68.582,58.498,-26.849,31.671,0.0010954,0.00097085,3.4106e-05,0,0,0,0.3,0,-0.85628
71.74,21.522,50.218,10.044,208.78,-282.84,-74.062,39.263,-30.378,25.004,0.00061114,0.00035981,3.8589e-05,0,0,0,0.3,0,-0.42201
624.2,187.26,436.94,87.388,214.77,-315.64,-100.87,0.071333,-82.477,-22.42,143.86,0,0.00010477,0,0,0,0.3,0.00094182,7.1558
852,255.6,596.4,119.28,218.97,-315.64,-96.667,4.857,-73.819,-21.882,289.61,0,9.3772e-05,0,0,0,0.3,0.0012856,12.152
1087,326.1,760.9,152.18,220.01,-315.64,-95.63,9.7165,-97.888,-21.362,403.56,0,0.00012435,0,0,0,0.3,0.0016402,16.28
1273.7,382.12,891.61,178.32,224.44,-315.64,-91.198,14.605,-80.395,-20.859,535.44,0,0.00010212,0,0,0,0.3,0.001922,20.724
1273.7,382.11,891.58,178.32,225.41,-315.64,-90.229,7.409,-35.751,-20.373,574.32,0,4.5414e-05,0,0,0,0.3,0.0019219,21.806
525,157.5,367.5,73.5,227.37,-315.64,-88.266,7.9656,-37.924,-19.903,155.87,0,4.8175e-05,0,0,0,0.3,0.00079213,7.032
801.7,240.51,561.19,112.24,231.12,-315.64,-84.521,9.1734,-28.436,-19.45,325.72,0,3.6122e-05,0,0,0,0.3,0.0012097,12.903
371.1,111.33,259.77,51.954,229.23,-315.64,-86.403,5.1071,-21.239,-19.012,86.27,0,2.6979e-05,0,0,0,0.3,0.0005599,4.4356
181.2,54.36,126.84,25.368,227.3,-310.58,-83.285,4.0508,-10.657,-11.579,0.00093987,0.00060676,1.3538e-05,0,0,0,0.3,0,1.0423
136.3,40.89,95.41,19.082,227.87,-304.9,-77.025,13.472,-9.4817,-3.2921,0.0013039,0.0012836,1.2045e-05,0,0,0,0.3,0,0.6312
108.9,32.67,76.23,15.246,228.77,-302.19,-73.421,13.904,-2.1513,0.68494,9.3005e-05,0,2.7328e-06,0,0,0,0.3,0,0.41077
114.6,34.38,80.22,16.044,227.15,-301.19,-74.048,30.622,-22.904,2.1551,0.0012921,0.00096407,2.9094e-05,0,0,0,0.3,0,0.39184
-1.833,-0.5499,0,-0.25662,224.51,-287.32,-62.81,50.014,-8.5129,22.336,0.0012775,0.00088619,1.0814e-05,0,0,0,0.3,0,-0.6011
-4.455,-1.3365,0,-0.6237,221.81,-283.34,-61.532,46.351,-10.201,27.878,0.00053413,0.00027675,1.2958e-05,0,0,0,0.3,0,-0.71603
-4.804,-1.4412,0,-0.67256,219.92,-282.53,-62.615,50.324,-13.633,28.614,0.00045778,8.8041e-05,1.7317e-05,0,0,0,0.3,0,-0.73129
-3.783,-1.1349,0,-0.52962,208.71,-280.98,-72.272,66.281,-22.346,30.457,0.0012014,0.00091235,2.8386e-05,0,0,0,0.3,0,-0.79938
-4.387,-1.3161,0,-0.61418,206.88,-276.9,-70.011,46.414,-10.077,36.13,0,-8.6414e-05,1.2801e-05,0,0,0,0.3,0,-0.94993
-5.338,-1.6014,0,-0.74732,203.54,-275.55,-72.014,59.949,-22.508,37.562,0.00041122,3.183e-05,2.8592e-05,0,0,0,0.3,0,-0.97528
-4.712,-1.4136,0,-0.65968,201.3,-279.87,-78.569,127.23,-76.41,30.386,0.0014133,0.0013012,9.7063e-05,0,0,0,0.3,0,-0.78271
-5.686,-1.7058,0,-0.79604,203.04,-275.66,-72.615,65.106,-25.59,36.282,0,-0.00016635,3.2507e-05,0,0,0,0.3,0,-0.93372
-5.129,-1.5387,0,-0.71806,202.32,-275.76,-73.438,62.376,-21.605,35.539,0,-2.4214e-05,2.7445e-05,0,0,0,0.3,0,-0.92153
-4.898,-1.4694,0,-0.68572,200.32,-273.88,-73.56,57.942,-19.473,37.834,0,-0.0001447,2.4737e-05,0,0,0,0.3,0,-0.98994
11.14,3.342,7.798,1.5596,197.32,-271.15,-73.823,38.889,-12.734,41.431,0.0012635,0.0012632,1.6176e-05,0,0,0,0.3,0,-1.1247
30.23,9.069,21.161,4.2322,201.69,-277.26,-75.565,45.774,-18.543,31.406,0.00068943,0.00031158,2.3555e-05,0,0,0,0.3,0,-0.76655
612.6,183.78,428.82,85.764,210.26,-315.64,-105.37,7.8881,-40.417,-24.553,180.6,0,5.1341e-05,0,0,0,0.3,0.00092432,8.2067
841,252.3,588.7,117.74,219.2,-315.64,-96.44,0,-0,-23.965,350.56,0,0,0,0,0,0.3,0.001269,13.887
1027,308.1,718.9,143.78,218.28,-315.64,-97.359,14.343,-38.964,-23.396,429.74,0,4.9496e-05,0,0,0,0.3,0.0015496,16.839
1161,348.3,812.7,162.54,220.01,-315.64,-95.623,24.504,-60.931,-22.846,495.26,0,7.74e-05,0,0,0,0.3,0.0017518,19.201
1224,367.2,856.8,171.36,224.43,-315.64,-91.21,15.74,-29.842,-22.314,557.81,0,3.7908e-05,0,0,0,0.3,0.0018469,21.199
1219,365.7,853.3,170.66,226.81,-315.64,-88.829,8.9704,-14.735,-21.8,566.25,0,1.8718e-05,0,0,0,0.3,0.0018394,21.403
1165,349.5,815.5,163.1,227.59,-315.64,-88.043,23.629,-38.856,-21.302,527.83,0,4.9358e-05,0,0,0,0.3,0.0017579,20.092
1055,316.5,738.5,147.7,233.58,-315.64,-82.059,8.1707,-9.2883,-20.822,486.8,0,1.1799e-05,0,0,0,0.3,0.0015919,18.486
866,259.8,606.2,121.24,229.99,-315.64,-85.652,34.203,-48.653,-20.357,364.5,0,6.1804e-05,0,0,0,0.3,0.0013067,14.277
641.6,192.48,449.12,89.824,232.48,-315.64,-83.155,12.798,-15.639,-19.907,253.39,0,1.9866e-05,0,0,0,0.3,0.00096808,10.244
395.5,118.65,276.85,55.37,230.05,-315.64,-85.582,11.134,-15.81,-19.473,111.75,0,2.0084e-05,0,0,0,0.3,0.00059672,5.2637
34.44,10.332,24.108,4.8216,224.06,-289.55,-65.488,31.127,-2.9953,18.072,0.00079862,0.00064067,3.8049e-06,0,0,0,0.3,0,-0.37375
-1.461,-0.4383,0,-0.20454,220.49,-281.91,-61.423,27.875,5.2476,29.119,0.00081008,0.00059909,0,-6.666e-06,0,0,0.3,0,-0.79834
-3.55,-1.0651,0,-0.24849,219.77,-282.56,-62.79,33.839,3.5349,27.653,0.0011903,0.0010017,0,-4.4903e-06,0,0,0.30002,0,-0.71696
-3.736,-1.1209,0,-0.26151,217.82,-280.09,-62.267,30.607,3.1238,30.89,0.00029988,0,0,-3.9681e-06,0,0,0.30003,0,-0.80501
-4.619,-1.3859,0,-0.32331,219.26,-280.73,-61.466,31.83,3.1354,29.411,0.00067547,0.00060228,0,-3.9829e-06,0,0,0.30005,0,-0.74758
-3.017,-0.90528,0,-0.21117,215.15,-276.62,-61.469,31.007,-2.7786,35.14,0,-0.0002593,3.5296e-06,0,0,0,0.30006,0,-0.93769
-2.994,-0.89834,0,-0.20957,213.91,-275.38,-61.471,32.671,-5.7497,36.436,0,-0.00026799,7.3038e-06,0,0,0,0.30005,0,-0.97465
-4.758,-1.4275,0,-0.33305,212.29,-276.93,-64.637,41.307,-7.1408,33.469,0.0002899,0,9.0709e-06,0,0,0,0.30003,0,-0.85959
-5.408,-1.6224,0,-0.75712,210.07,-277.6,-67.529,53.642,-14.997,31.914,0.0014052,0.001099,1.9051e-05,0,0,0,0.3,0,-0.81481
-4.015,-1.2045,0,-0.5621,210.92,-278.57,-67.651,61.897,-21.928,29.93,0,-0.00011164,2.7855e-05,0,0,0,0.3,0,-0.78093
