SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
170.28,-39.163,131.11,-29.51,3.4325,2.0281,3.0202
262.57,-60.391,202.18,-40.37,0.37876,0.2246,4.5816
129.23,-29.723,99.509,-22.091,9.3891,8.6253,2.6921
170.59,-39.236,131.35,2.2242,81.603,51.106,7.5119
195.06,-44.864,150.2,-6.9998,85.875,36.398,7.4888
322.43,-74.159,248.27,-15.22,114.91,43.827,11.052
166.3,-38.248,128.05,-10.664,38.783,19.185,4.9466
236.84,-54.474,182.37,-7.8259,93.499,73.647,9.639
111.25,-25.588,85.664,-3.3093,45.021,20.966,4.1847
92.485,-21.272,71.214,-11.737,62.73,35.807,4.4575
37.242,-8.5655,28.676,-6.2876,60.983,43.855,3.589
177.16,-40.748,136.42,-21.865,47.029,12.174,4.9016
137.13,-31.539,105.59,-14.893,27.244,7.6855,3.5438
333.01,-76.593,256.42,-29.316,1.9677,0.47504,6.4755
208.71,-48.004,160.71,-22.877,36.355,32.624,5.8341
202.81,-46.646,156.16,-26.814,6.7263,6.5559,4.0236
176.59,-40.615,135.97,-15.322,31.64,29.161,5.1187
191.65,-44.079,147.57,-26.834,1.8424,1.8414,3.5098
361.15,-83.065,278.09,-40.038,0.0022198,0.0017889,6.7154
304.59,-70.055,234.53,-38.255,0.23787,0.14363,5.5477
324.71,-74.683,250.02,-39.145,0,0,5.9488
213.37,-49.075,164.29,-10.674,53.2,23.892,6.5083
166.89,-38.385,128.5,-29.655,1.7034,1.2462,2.8717
242.31,-55.732,186.58,1.4536,65.066,44.271,8.3888
105.23,-24.202,81.025,8.715,68.743,53.211,5.9718
148.46,-34.147,114.32,-2.3143,57.181,40.504,5.9152
99.276,-22.834,76.443,-13.491,20.888,13.104,2.7348
170.69,-39.258,131.43,-37.05,0.7425,0.41944,2.6952
352.57,-81.091,271.48,-27.241,26.948,4.3112,7.7716
102.16,-23.498,78.666,-2.7852,14.198,10.719,2.8435
267.32,-61.483,205.83,9.6801,121.95,93.505,12.157
307.48,-70.721,236.76,-25.775,3.1608,1.1876,6.0745
308.57,-70.971,237.6,-41.94,2.1168,1.0549,5.609
312.3,-71.828,240.47,-41.27,1.3838,0.73554,5.6791
344.37,-79.204,265.16,-24.545,31.915,12.22,8.0328
153.68,-35.346,118.33,-8.4411,51.387,31.699,5.4438
237.1,-54.533,182.57,2.3125,121.46,48.039,9.9968
241.36,-55.512,185.84,-22.209,41.315,15.885,6.2297
201.75,-46.402,155.35,-11.203,54.265,30.517,6.4579
143.27,-32.952,110.32,-25.342,30.76,15.537,3.7032
140.49,-32.312,108.17,-0.99552,128.37,102.69,9.5418
184.15,-42.355,141.8,-7.0313,98.403,70.686,8.5716
171.82,-39.518,132.3,-28.664,15.577,5.0978,3.5067
271.89,-62.535,209.36,-42.389,1.4149,0.45086,4.7628
238.65,-54.889,183.76,-17.434,39.161,32.646,6.7176
238.4,-54.832,183.57,-22.85,32.526,14.124,5.8498
216.38,-49.767,166.61,-17.667,28.721,11.624,5.3398
146.04,-33.59,112.45,-18.499,46.605,20.746,4.5504
112.54,-25.884,86.655,-37.761,1.4992,0.56609,1.4375
242.75,-55.832,186.92,-31.566,10.624,6.6293,4.8691
162.48,-37.37,125.11,-33.53,2.0932,1.3926,2.6817
165.32,-38.023,127.29,-32.379,1.4754,1.0164,2.7478
187.37,-43.095,144.27,-20.925,71.127,35.727,6.4939
203.11,-46.715,156.39,-1.4623,222.83,172.25,15.516
267.27,-61.473,205.8,-31.245,4.1786,1.8961,5.0955
279.23,-64.223,215.01,-41.065,1.6095,0.40212,4.9636
269.04,-61.879,207.16,-37.289,5.5376,2.7787,5.0266
271.43,-62.428,209,-38.602,3.3695,0.80339,4.9245
235.98,-54.276,181.71,-19.133,66.24,46.227,7.7588
41.626,-9.574,32.052,27.486,124.59,97.317,7.9394
186.17,-42.818,143.35,-8.1758,127.15,74.975,9.5149
52.652,-12.11,40.542,0.43137,140.27,109.91,8.2134
107.17,-24.649,82.519,4.8428,105.06,86.431,7.8664
266.73,-61.348,205.38,-0.33791,149.03,77.202,12.166
88.271,-20.302,67.969,-2.5093,30.511,13.818,3.0971
77.738,-17.88,59.858,7.3647,109.7,64.641,6.8143
64.177,-14.761,49.417,-2.9057,98.163,56.733,5.6816
220.22,-50.65,169.57,-23.672,52.254,14.459,5.9976
220.69,-50.758,169.93,3.087,169.52,118.19,12.997
137.54,-31.634,105.9,-15.423,45.853,23.976,4.5223
55.184,-12.692,42.491,6.1206,83.888,54.733,5.2818
206.81,-47.565,159.24,-18.149,119.28,47.709,8.6908
147.48,-33.919,113.56,-12.771,127.53,81.75,8.7469
22.748,-5.2319,17.516,-1.3593,15.562,14.029,1.2905
63.791,-14.672,49.119,-0.57023,105.77,80.669,6.6289
199.74,-45.94,153.8,-17.49,127.87,66.421,9.3261
104.68,-24.075,80.6,-10.781,93.893,68.827,6.5599
36.978,-8.5048,28.473,-8.8921,81.221,50.433,4.2663
160,-36.799,123.2,-34.723,22.192,9.3679,3.3861
198.12,-45.568,152.55,-52.547,2.3166,0.4914,2.9004
218.26,-50.199,168.06,-47.062,0.10276,0.016408,3.4166
216.97,-49.903,167.07,-33.751,4.206,0.95342,3.9063
219.32,-50.444,168.88,-36.837,0.092267,0.038875,3.7285
155.43,-35.748,119.68,-40.523,0.076943,0.018144,2.2356
153.35,-35.269,118.08,-41.578,0.45384,0.18647,2.176
175.59,-40.386,135.21,-19.089,76.554,40.113,6.5667
31.404,-7.223,24.181,-1.8436,32.309,28.022,2.3321
97.83,-22.501,75.329,-8.0088,65.128,51.163,5.1796
120.48,-27.71,92.768,-15.562,94.688,64.926,6.6806
23.069,-5.3059,17.763,-4.1675,88.289,55.026,4.4264
