HOUR,SW,LW,SHF,LHF
1,-0.63142,-22.402,38,25.181
2,-0.76138,-24.876,38.747,26.201
3,-0.68747,-26.227,38.795,26.605
4,-0.48633,-26.923,38.464,26.879
5,-0.49659,-28.226,36.31,25.682
6,-0.46994,-15.131,34.39,24.582
7,-0.36946,-0.67654,38.475,27.094
8,4.9452,1.2956,35.338,24.473
9,25.427,-1.2988,33.622,23.684
10,68.168,-4.2537,40.022,27.109
11,161.07,-10.811,45.46,30.047
12,263.07,-17.143,45.883,29.403
13,367.69,-23.626,52.848,31.789
14,416.23,-25.065,58.003,33.565
15,398.62,-20.55,58.152,31.616
16,418.17,-22.52,72.157,38.561
17,386.53,-22.057,66.553,36.586
18,370.69,-28.876,76.321,42.579
19,295.96,-30.845,78.555,45.467
20,168.28,-23.316,79.49,45.731
21,40.624,-8.7931,64.832,40.219
22,8.4598,-13.682,59.346,35.754
23,-0.41966,-16.142,51.51,33.403
24,-0.699,-19.538,43.501,27.442
