SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-2.185,0.50255,-1.6825,-45.793,0,0,-1.3393
-2.269,0.52187,-1.7471,-46.079,0,0,-1.3492
-0.269,0.06187,-0.20713,-43.974,0,0,-1.2463
0.017,-0.00391,0.01309,-48.055,0,0,-1.3552
1.513,-0.34799,1.165,-45.745,0.012054,0.011675,-1.2569
1.177,-0.27071,0.90629,-16.955,0,0,-0.45273
2.236,-0.51428,1.7217,-17.443,0,0,-0.44349
10.19,-2.3437,7.8463,-19.628,0,0,-0.33237
32.48,-7.4704,25.01,-19.487,0,0,0.1558
128.9,-29.647,99.253,-26.344,0,0,2.0567
344.1,-79.143,264.96,-35.064,0,0,6.4852
414.7,-95.381,319.32,-35.012,0,0,8.0202
247.5,-56.925,190.58,-22.215,7.8706,6.0067,5.1408
497.5,-114.43,383.07,-33.553,0,0,9.8599
416.2,-95.726,320.47,-32.002,0.61771,0.20934,8.161
693.8,-159.57,534.23,-32.25,73.881,42.446,17.442
414.3,-95.289,319.01,-17.773,0,0,8.4978
316.3,-72.749,243.55,-25.642,0,0,6.1471
421.9,-97.037,324.86,-59.197,0,0,7.4943
69.15,-15.904,53.246,-16.742,0,0,1.0297
63.25,-14.547,48.703,-5.9727,0,0,1.2054
20.79,-4.7817,16.008,-24.238,0,0,-0.23215
-0.773,0.17779,-0.59521,-16.349,0,0,-0.47799
-3.882,0.89286,-2.9891,-22.722,0,0,-0.72529
-3.328,0.76544,-2.5626,-41.565,0,0,-1.2448
-1.933,0.44459,-1.4884,-45.962,3.368e-66,2.7142e-66,-1.3386
-2.118,0.48714,-1.6309,-47.396,0,0,-1.383
-3.261,0.75003,-2.511,-49.374,0,0,-1.4636
-0.437,0.10051,-0.33649,-51.21,0,0,-1.4541
-0.992,0.22816,-0.76384,-19.244,0,0,-0.56441
2.454,-0.56442,1.8896,-18.763,0,0,-0.47599
21.08,-4.8484,16.232,-21.116,0,0,-0.13778
46.5,-10.695,35.805,-20.877,2.3765,2.1339,0.54835
107,-24.61,82.39,-23.167,0,0,1.6707
210,-48.3,161.7,-26.211,0,0,3.8221
307.9,-70.817,237.08,-29.376,0,0,5.8593
426.3,-98.049,328.25,-37.548,1.7413,1.1266,8.2815
479.7,-110.33,369.37,-39.359,0.04626,0.0097894,9.3111
868,-199.64,668.36,-69.269,0,0,16.9
871,-200.33,670.67,-64.426,0,0,17.102
741.5,-170.54,570.96,-65.369,0,0,14.262
863,-198.49,664.51,-62.263,0,0,16.989
723,-166.29,556.71,-65.554,4.9262,2.1201,14.054
483.1,-111.11,371.99,-66.171,0,0,8.627
122,-28.06,93.94,-24.138,0,0,1.9691
35.81,-8.2363,27.574,-25.474,0,0,0.059223
4.436,-1.0203,3.4157,-23.097,0,0,-0.55521
1.008,-0.23184,0.77616,-31.942,0,0,-0.87918
2.185,-0.50255,1.6825,-25.116,0,0,-0.66105
2.235,-0.51405,1.721,-40.326,0,0,-1.089
1.294,-0.29762,0.99638,-43.699,0,0,-1.2046
1.815,-0.41745,1.3976,-45.816,0,0,-1.253
1.446,-0.33258,1.1134,-45.327,0,0,-1.2472
0.857,-0.19711,0.65989,-16.677,0,0,-0.45183
2.084,-0.47932,1.6047,-14.174,0,0,-0.35459
22.15,-5.0945,17.055,-11.686,0,0,0.15148
148.1,-34.063,114.04,-24.652,0.88057,0.76153,2.5679
231.5,-53.245,178.26,-28.352,0,0,4.2287
273.5,-62.905,210.6,-26.513,4.895,3.2417,5.4224
191.6,-44.068,147.53,-22.212,0,0,3.5352
854,-196.42,657.58,-57.981,0,0,16.914
505.6,-116.29,389.31,-39.415,1.9961,1.0933,9.9576
221.5,-50.945,170.56,-20.859,0,0,4.2229
101.6,-23.368,78.232,-15.875,0,0,1.7591
97.2,-22.356,74.844,-3.2763,0,0,2.0189
197.5,-45.425,152.08,-2.6259,14.461,12.539,4.9776
88.2,-20.286,67.914,-12.362,0,0,1.5671
85.7,-19.711,65.989,-31.88,30.1,32.201,2.7197
55.63,-12.795,42.835,-4.9758,22.583,21.841,2.3212
14.75,-3.3925,11.358,-0.21943,0,0,0.3142
1.529,-0.35167,1.1773,3.1442,130.86,116.97,7.1131
-0.403,0.09269,-0.31031,0.68543,19.565,18.36,1.0804
-3.074,0.70702,-2.367,-10.712,0,0,-0.36896
0.286,-0.06578,0.22022,0.95196,85.48,76.973,4.6158
1.058,-0.24334,0.81466,2.7155,81.21,71.512,4.4078
0.823,-0.18929,0.63371,0.79202,0,0,0.040219
-1.176,0.27048,-0.90552,-10.764,0,0,-0.32919
-0.857,0.19711,-0.65989,28.935,50.407,37.281,3.2713
-1.159,0.26657,-0.89243,31.744,0,0,0.87031
24.04,-5.5292,18.511,33.013,82.186,43.463,4.998
61.88,-14.232,47.648,31.407,100.73,49,6.4538
245.6,-56.488,189.11,18.033,29.227,12.337,7.016
452.7,-104.12,348.58,7.1993,0.43776,0.11213,10.052
694.4,-159.71,534.69,-4.0776,168.96,41.354,20.901
633.5,-145.7,487.8,-1.5713,196.29,64.614,21.076
378.7,-87.101,291.6,10.589,237.24,127.58,18.816
283.5,-65.205,218.3,5.9518,100.08,75.821,11.288
224.4,-51.612,172.79,3.6168,18.223,15.891,5.9387
230.9,-53.107,177.79,-1.998,64.487,59.337,8.4521
190,-43.7,146.3,-4.4592,24.439,25.11,5.399
360.4,-82.892,277.51,-43.582,23.428,21.165,7.8569
236.7,-54.441,182.26,-37.722,111.02,106.68,10.219
64.73,-14.888,49.842,2.769,246.22,202.81,14.151
20.66,-4.7518,15.908,1.806,177.62,96.455,8.2312
0.353,-0.08119,0.27181,-3.8184,76.284,43.937,3.2914
-4.184,0.96232,-3.2217,-7.4371,84.508,55.117,3.6381
-2.957,0.68011,-2.2769,-7.7502,42.472,29.281,1.7412
-1.243,0.28589,-0.95711,-6.0251,116.01,72.879,5.1316
