NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
136.36,-1.5715,20.754,10.913,4.6957,0.20261,4.8887,90.385,777.46,522.07,0.888,-2.2234
213.2,-0.89955,13.258,6.8639,6.5565,0.19063,3.4895,93.65,734.09,505.34,0.74721,-2.6476
103.48,19.195,33.595,27.28,5.178,0.19923,5.3985,97.033,887.91,533.56,1.2938,-1.9158
135.47,-3.9654,141.42,85.195,10.103,0.20703,10.979,82.672,1072.6,624.69,4.4516,0.28174
163.27,-19.717,142.59,59.003,9.7367,0.24753,9.1717,74.564,862.19,586.71,4.9611,-0.58822
267.8,-16.812,176.51,65.461,13.906,0.21736,8.7222,74.853,831.72,588.05,6.397,-0.56668
139.48,2.4343,85.077,39.752,7.5247,0.16294,8.7511,77.723,876.21,579.99,3.0022,-0.75544
197.46,12.293,145.52,109.34,13.107,0.16802,10.047,90.285,1111,620.81,5.0008,0.17901
93.204,-2.6215,87.937,39.17,6.141,0.37493,9.0381,81.256,918.69,596.73,2.9042,-0.41155
74.588,5.5515,117.95,66.076,7.4519,0.20696,6.646,87.893,857.35,545.02,4.9094,-1.5733
29.389,6.4731,111.5,75.701,6.2924,0.23104,7.0249,93.063,933.93,547.75,4.3745,-1.5209
146.76,-7.1303,87.303,24.844,7.1025,0.17374,6.5611,77.508,739.24,538.48,3.0809,-1.7999
114.74,-3.3816,58.994,18.773,5.3352,0.39343,6.461,85.679,799.18,554.46,2.1563,-1.4504
271.78,-14.8,27.752,6.6894,8.2209,0.20888,6.2112,78.168,723.04,555.71,1.1049,-1.4207
165.4,-3.9837,62.997,52.614,7.8147,0.21167,6.8043,91.075,932.98,558.93,2.0926,-1.4103
166.89,15.094,29.873,25.231,6.6882,0.17727,5.95,100.33,938.4,569.87,1.445,-0.99687
147.5,23.609,61.955,55.918,8.152,0.16478,7.9069,98.113,1075.4,585.98,1.9922,-0.75333
158.84,15.586,22.661,18.546,6.0831,0.21562,5.8243,98.458,917.89,597.11,1.2254,-0.43502
297.7,2.247,15.132,6.9904,9.0855,0.17609,4.5254,91.138,762.81,535.31,0.7775,-1.8956
249.82,-11.004,12.054,5.5803,7.2343,0.20832,4.0388,90.553,731.06,526.41,0.66325,-2.1249
257.65,-31.506,11.6,2.2329,6.7697,0.23609,4.273,80.176,650.59,525.11,0.56471,-2.2367
168.26,-8.9808,94.906,39.167,8.2753,0.21536,9.4687,79.86,928.29,597.55,2.7755,-0.53233
138.79,21.927,16.539,11.474,5.324,0.16837,4.9565,98.571,857.75,536.47,0.80683,-1.81
202.24,7.9748,113.8,74.715,11.248,0.19607,11.524,86.957,1170,683.42,3.4378,1.4172
88.618,14.932,123.75,92.457,9.0203,0.15841,11.196,89.168,1178.8,638.88,3.8363,0.59808
