NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-36.217,0.93259,0.58712,-0.9788,NaN,2.112,100.2,712.92,448.45,0.05,-4.1933
0,-20.532,9.1118,6.0796,-0.15065,0.21904,2.051,101.7,720.45,468.28,0.543,-3.616
0,-6.9614,0.91402,0.62592,-0.15294,NaN,2.498,102.3,748.14,466.2,0.05,-3.6756
0,-4.8465,6.1772,3.9341,0.14852,NaN,1.629,100.9,693.54,457.26,0.375,-3.9341
1.274,11.544,15.295,10.916,1.101,0.15796,2.122,104.2,741.91,466.89,0.894,-3.6557
1.71,18.593,15.923,10.713,1.3241,NaN,1.785,102.3,711.06,467.58,0.991,-3.6359
2.953,18.857,15.187,10.386,1.3366,NaN,1.675,102.9,709.62,468.97,0.972,-3.5962
9.546,18.064,0.74959,0.50902,0.81438,0.063199,1.422,102.9,696.87,467.58,0.05,-3.6359
26.061,13.13,12.892,9.2671,1.7307,0.19763,1.808,104.5,727.54,471.76,0.816,-3.5169
102.29,13.218,0.70116,0.51145,3.2926,0.20644,1.887,104.3,730.26,485.17,0.047,-3.1411
274.75,9.0763,10.83,5.3461,8.463,0.20154,3.018,91.1,691.27,512.1,0.672,-2.4138
327.5,10.222,0.73106,0.34907,9.5575,0.21027,3.672,89.6,712.03,544.75,0.047,-1.5758
193.04,17.976,32.561,22.435,7.5041,0.22004,3.855,99,796.92,530.14,1.894,-1.9451
387.5,15.773,25.509,14.582,12.507,0.22111,5.205,90.9,804.18,556.5,1.326,-1.2853
326,17.536,26.548,10.372,10.733,0.21672,4.821,83,714.9,554.13,1.453,-1.3433
556.6,13.13,127.44,67.878,21.582,0.19775,11.02,76.84,1009.3,640.5,4.145,0.64699
335.32,15.068,44.652,19.378,11.691,0.19063,10.31,73.21,917.23,631.79,1.529,0.45749
257.92,-2.5554,46.438,26.472,9.2605,0.18457,9.03,82.9,953.11,601.16,1.694,-0.22796
355.03,-2.3792,1.0157,0.22252,9.9831,0.1585,6.244,73.18,695.73,601.16,0.053,-0.22796
56.94,-29.608,30.017,11.707,1.948,0.17657,9.49,71.76,851,594.51,1.028,-0.38098
