SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
170.67,51.2,119.47,23.762,313.36,-313.8,-0.44709,3.9871,2.6926,2.4273,104.36,4.9036e-05,0,-3.4204e-06,0,0,0.3,0.0014254,3.5459
263.07,78.922,184.15,36.518,267.07,-305.61,-38.541,0.61378,0.40677,10.426,120.54,1.0711e-05,0,-5.1671e-07,0,0,0.3,0.00038657,4.1364
129.25,38.775,90.474,18.089,333.94,-315.6,18.344,10.859,11.328,-3.1963,109.72,-1.4269e-05,0,-1.439e-05,0,0,0.3,0.00019464,3.6956
171.03,51.308,119.72,23.944,341.46,-315.64,25.827,102.18,73.555,-1.8019,295.53,0,0,-9.3436e-05,0,0,0.3,0.00025801,9.0632
195.66,58.699,136.96,27.393,320.03,-315.64,4.3913,108.11,53.06,-1.1045,274.03,0,0,-6.7402e-05,0,0,0.3,0.0002952,8.5342
323.22,96.966,226.25,45.251,265.84,-315.64,-49.796,151.76,66.691,-0.73466,348.93,0,0,-8.4717e-05,0,0,0.3,0.00048769,11.14
166.48,49.943,116.53,23.307,331.47,-315.64,15.832,45.169,25.855,-0.52192,179.56,0,0,-3.2844e-05,0,0,0.3,0.00025114,5.7375
237.19,71.156,166.03,33.206,308.08,-315.29,-7.2065,112.73,102.17,-0.029561,340.5,-7.7668e-06,0,-0.00012979,0,0,0.3,0.0003578,10.543
111.59,33.478,78.115,15.623,354.79,-315.64,39.156,54.654,29.363,-0.40168,185.26,0,0,-3.73e-05,0,0,0.3,0.00016834,5.6783
92.901,27.87,65.031,13.006,342.69,-315.64,27.055,80.783,52.528,-0.30091,212.09,0,0,-6.6725e-05,0,0,0.3,0.00014013,6.3584
37.503,11.251,26.252,5.2505,344.58,-315.64,28.947,77.698,64.392,-0.23914,191.8,0,0,-8.1797e-05,0,0,0.3,5.6536e-05,5.5655
177.52,53.256,124.26,24.513,315.66,-314.62,1.038,58.104,17.714,0.84472,177.45,2.785e-05,0,-2.2501e-05,0,0,0.3,0.0002633,5.6735
137.22,41.166,96.053,19.211,334.04,-315.48,18.559,31.287,10.32,-0.28037,136.73,4.5879e-06,0,-1.3109e-05,0,0,0.3,0.00020683,4.4069
333.2,99.96,233.24,42.574,249.97,-301.24,-51.274,2.7535,0.95134,15.763,158.86,4.4778e-05,0,-1.2085e-06,0,0,0.3,0.00045205,5.2376
209.16,62.748,146.41,29.028,302.72,-310,-7.2835,43.838,45.05,1.0323,200.02,5.0601e-05,0,-5.7227e-05,0,0,0.3,0.00031159,6.4323
202.85,60.854,141.99,28.133,301.95,-312.79,-10.833,7.4977,8.2655,-0.86738,117.92,1.8482e-05,0,-1.05e-05,0,0,0.3,0.00029971,4.1446
176.63,52.988,123.64,24.728,322.8,-312.92,9.8843,36.891,38.938,-0.65557,183.97,-2.1293e-05,0,-4.9463e-05,0,0,0.3,0.00026301,5.9057
191.65,57.494,134.15,26.765,305.78,-313.94,-8.1575,2.0666,2.3353,-0.73887,102.89,4.5787e-05,0,-2.9665e-06,0,0,0.3,0.00028612,3.6785
