HOUR,SW,LW,SHF,LHF,T surface,T Air
1,0.2778,-6.766,47.095,35.621,270.57,280.15
2,0.27798,-8.6686,48.995,37.881,270.48,279.65
3,0.21568,-9.102,49.5,38.876,270.33,279.38
4,0.30927,-9.5594,48.89,38.875,270.29,279.23
5,0.30104,-10.155,45.924,37.001,270.16,278.97
6,0.27816,-10.148,43.565,35.478,270.09,278.89
7,0.33483,-10.697,50.806,40.927,270.03,278.7
8,4.9221,-11.834,45.219,35.684,270.07,278.51
9,23.233,-14.626,42.673,34.394,270.74,278.55
10,61.971,-18.288,51.099,39.65,271.87,278.88
11,146.42,-21.498,59.35,44.943,273.09,279.43
12,239.16,-19.201,57.532,42.435,273.15,280.06
13,334.26,-16.296,67.316,46.604,273.15,280.73
14,378.39,-13.286,74.488,49.714,273.15,281.41
15,362.38,-10.508,72.518,45.648,273.15,282.09
16,380.15,-7.108,91.038,56.241,272.96,282.68
17,351.39,-5.8899,82.549,52.214,273.14,283.15
18,336.99,-3.6098,95.297,61.598,273.15,283.65
19,269.06,-3.6267,97.674,65.332,273.15,283.66
20,152.98,-4.4546,99.881,66.481,273.14,283.47
21,36.931,-3.161,81.195,58.293,272.32,282.83
22,7.7952,-3.6705,74.068,51.266,271.49,281.87
23,0.28167,-3.6996,63.972,47.516,271.08,281.39
24,0.18461,-5.4275,53.596,38.604,270.81,280.72
