SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
0,0,0,0,300.43,-315.09,-14.656,0,0,14.656,0.00076586,0.00061694,-0,-0,0,0,0.3,0.028077,-0.41343
0,0,0,0,300.22,-309.18,-8.9575,0,0,8.9572,0,-0.00014827,-0,-0,0,0,0.3,0,-0.25269
0,0,0,0,302.35,-309.99,-7.6475,0,0,7.6477,0.00027534,0.00014207,-0,-0,0,0,0.3,0,-0.21573
0.017,0.0051,0.0119,0.00238,298.21,-308.22,-10.003,0,0,9.9945,0.00060718,0.00040781,-0,-0,0,0,0.3,8.5452e-15,-0.28186
1.513,0.4539,1.0591,0.21182,300.67,-309.51,-8.8437,0,0,7.9966,0.00024531,8.2225e-05,-0,-0,0,0,0.3,1.1951e-12,-0.2196
1.177,0.3531,0.8239,0.16478,299,-309.38,-10.381,0.89505,0.79791,8.0292,0.00055599,0.0004258,0,-1.0136e-06,0,0,0.3,8.7726e-13,-0.22184
2.236,0.67081,1.5652,0.15652,298.52,-309.47,-10.948,0.92261,0.84426,7.7723,0,-0.0001606,0,-1.0725e-06,0,0,0.3,0,-0.21484
10.19,3.0571,7.1329,0.71329,297.34,-310.27,-12.931,0,0,6.5106,0,-0.00018912,-0,-0,0,0,0.30001,0,-0.16356
32.48,9.7443,22.736,2.2736,299.21,-315.64,-16.425,0,0,-1.0402,2.9969,0,-0,-0,0,0,0.30001,2.4422e-05,0.17802
128.9,38.67,90.23,18.046,299.57,-315.64,-16.065,0,0,-1.0079,55.111,0,-0,-0,0,0,0.3,0.00019442,2.0922
344.1,103.23,240.87,48.174,304.24,-315.64,-11.392,0,0,-0.9767,180.33,0,-0,-0,0,0,0.3,0.00051916,6.4735
414.7,124.41,290.29,58.058,307.27,-315.64,-8.3707,0,0,-0.94623,222.92,0,-0,-0,0,0,0.3,0.00062569,7.9528
247.5,74.25,173.25,34.65,308.62,-315.64,-7.0119,8.528,7.3681,-0.91676,146.57,0,0,-9.3596e-06,0,0,0.3,0.00037339,5.1379
497.5,149.25,348.25,69.65,314.7,-315.64,-0.93422,0,0,-0.88864,276.78,0,-0,-0,0,0,0.3,0.00075064,9.7977
416.2,124.86,291.34,58.268,312.4,-315.64,-3.2412,0.63562,0.25558,-0.86112,229.86,0,0,-3.2466e-07,0,0,0.3,0.00062796,8.1523
693.8,208.14,485.66,97.132,342.96,-315.64,27.319,83.387,54.83,-0.83473,553.23,0,0,-6.965e-05,0,0,0.3,0.0010468,18.37
414.3,124.29,290.01,58.002,339.03,-315.64,23.395,0,0,-0.80882,254.59,0,-0,-0,0,0,0.3,0.00062509,8.841
316.3,94.89,221.41,44.282,333.18,-315.64,17.547,0,0,-0.78429,193.89,0,-0,-0,0,0,0.3,0.00047721,6.7409
421.9,126.57,295.33,59.066,318.68,-315.64,3.0394,0,0,-0.7608,238.54,0,-0,-0,0,0,0.3,0.00063656,8.4169
69.15,20.745,48.405,9.681,334.74,-315.64,19.104,0,0,-0.73797,57.09,0,-0,-0,0,0,0.3,0.00010426,1.9044
63.25,18.975,44.275,8.855,338.15,-315.64,22.514,0,0,-0.71653,57.218,0,-0,-0,0,0,0.3,9.5359e-05,1.8841
20.79,6.237,14.553,2.9106,320.5,-315.64,4.8677,1.3231,0.52715,-0.69586,17.664,0,0,-6.6963e-07,0,0,0.3,3.1288e-05,0.60005
0,0,0,0,327.93,-315.64,12.296,0,0,-0.67598,11.62,0,-0,-0,0,0,0.3,0,0.34686
0,0,0,0,322.63,-315.64,6.9954,0,0,-0.65684,6.3386,0,-0,-0,0,0,0.3,0,0.19734
0,0,0,0,264.64,-294.25,-29.614,0,0,29.613,0,-0.0001262,-0,-0,0,0,0.3,4.4686e-15,-0.83539
0,0,0,0,261.38,-292.7,-31.321,0,0,31.32,0,-0.00021135,-0,-0,0,0,0.3,0,-0.88356
0,0,0,0,259.79,-291.82,-32.031,0,0,32.03,0,-7.857e-05,-0,-0,0,0,0.3,0,-0.90358
0,0,0,0,257.88,-290.81,-32.926,0,0,32.926,0,-3.152e-06,-0,-0,0,0,0.3,0,-0.92884
0,0,0,0,256.08,-289.84,-33.759,0,0,33.76,0.00057695,0.0003995,-0,-0,0,0,0.3,0,-0.95233
0,0,0,0,257.81,-290.3,-32.483,0,0,32.484,0.00058087,0.00039971,-0,-0,0,0,0.3,0,-0.91633
2.454,0.7362,1.7178,0.34356,258.61,-290.94,-32.338,0,0,30.964,0,-1.441e-05,-0,-0,0,0,0.3,7.3693e-15,-0.86379
21.08,6.324,14.756,2.9512,258.46,-294.91,-36.452,0,0,24.647,0,-4.6443e-05,-0,-0,0,0,0.3,1.114e-13,-0.61203
46.5,13.95,32.55,6.51,260.3,-305.51,-45.213,5.4388,4.6652,9.0683,0,-2.2943e-05,0,-5.9261e-06,0,0,0.3,7.0424e-13,-0.072183
107,32.102,74.898,7.4898,261.82,-315.64,-53.82,0,0,-5.1575,8.4302,0,-0,-0,0,0,0.30002,8.0644e-05,0.59459
210,63,147,29.4,264.62,-315.64,-51.017,0,0,-5.0009,61.582,0,-0,-0,0,0,0.3,0.0003168,2.7076
307.9,92.37,215.53,43.106,265.93,-315.64,-49.711,0,0,-4.8499,117.86,0,-0,-0,0,0,0.3,0.00046453,4.6777
426.3,127.89,298.41,59.682,266.05,-315.64,-49.584,1.8149,1.344,-4.7041,187.6,0,0,-1.7072e-06,0,0,0.3,0.0006432,7.1084
479.7,143.91,335.79,67.158,266.54,-315.64,-49.096,0.017213,0.004565,-4.5635,214.99,0,0,-5.7989e-09,0,0,0.3,0.00072377,8.0881
868,260.4,607.6,121.52,268.3,-315.64,-47.34,0,0,-4.4278,434.31,0,-0,-0,0,0,0.3,0.0013097,15.805
871,261.3,609.7,121.94,272.23,-315.64,-43.407,0,0,-4.2963,440.06,0,-0,-0,0,0,0.3,0.0013142,15.975
741.5,222.45,519.05,103.81,272.07,-315.64,-43.57,0.14158,0.06418,-4.1695,367.71,0,0,-8.1528e-08,0,0,0.3,0.0011188,13.419
863,258.9,604.1,120.82,275.49,-315.64,-40.145,2.0566,1.0358,-4.0474,442.18,0,0,-1.3158e-06,0,0,0.3,0.0013022,15.996
723,216.9,506.1,101.22,272.14,-315.64,-43.495,5.2617,2.6487,-3.9295,365.37,0,0,-3.3646e-06,0,0,0.3,0.0010909,13.273
483.1,144.93,338.17,67.634,271.03,-315.64,-44.607,0,0,-3.8159,222.11,0,-0,-0,0,0,0.3,0.00072891,8.2813
122,36.6,85.4,17.08,281.77,-315.64,-33.871,0,0,-3.7067,30.743,0,-0,-0,0,0,0.3,0.00018401,1.4536
35.81,10.743,25.067,5.0134,278.42,-306.96,-28.535,0,0,8.4813,0,-3.0031e-05,-0,-0,0,0,0.3,2.7172e-13,-0.097842
4.436,1.3308,3.1052,0.62104,283.94,-301.92,-17.978,0,0,15.493,0,-9.0645e-06,-0,-0,0,0,0.3,1.8266e-14,-0.41956
1.008,0.3024,0.7056,0.14112,274.46,-297.13,-22.672,0,0,22.107,6.3606e-05,0,-0,-0,0,0,0.3,1.4895e-15,-0.61966
2.185,0.6555,1.5295,0.3059,338.47,-315.64,22.836,0,0,-4.3583,19.701,0,-0,-0,0,0,0.3,3.2134e-06,0.68734
2.235,0.6705,1.5645,0.3129,323.5,-315.64,7.868,0,0,-4.2346,4.8851,0,-0,-0,0,0,0.3,3.2888e-06,0.26609
1.294,0.3882,0.9058,0.18116,320.18,-315.64,4.5394,0,0,-4.1152,1.1489,0,-0,-0,0,0,0.3,1.8689e-06,0.15361
1.815,0.5445,1.2705,0.2541,318.05,-315.4,2.6557,0,0,-3.6719,0.00020104,0,-0,-0,0,0,0.3,6.2717e-16,0.11076
1.446,0.4338,1.0122,0.20244,318.54,-315.56,2.982,0,0,-3.7925,0,-0.00012776,-0,-0,0,0,0.3,6.2717e-16,0.11267
0.857,0.2571,0.5999,0.11998,316.69,-315.03,1.6673,0.40657,0.39204,-2.9464,0,-0.0002147,0,-4.98e-07,0,0,0.3,7.8396e-17,0.086484
2.084,0.6252,1.4588,0.14588,318.93,-315.64,3.2976,0,0,-3.7007,0.9098,0,-0,-0,0,0,0.3,1.4886e-06,0.13418
22.15,6.645,15.505,3.101,323.45,-315.64,7.8159,0,0,-3.5999,16.62,0,-0,-0,0,0,0.3,3.334e-05,0.65788
148.1,44.43,103.67,20.734,322.54,-315.64,6.9065,0.87692,0.8596,-3.5025,88.077,0,0,-1.0919e-06,0,0,0.3,0.0002234,3.1683
231.5,69.45,162.05,32.41,323.09,-315.64,7.4556,0,0,-3.4082,133.69,0,-0,-0,0,0,0.3,0.00034925,4.7817
