SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
377.68,-215.28,162.4,-4.8041,36.607,2.4893,5.5487
374.71,-213.58,161.12,-9.5905,47.701,-3.8806,5.5109
379.54,-216.34,163.2,-12.68,27.947,-8.893,4.7837
316.54,-180.43,136.11,-20.964,76.084,-5.4559,5.2407
268.85,-153.25,115.61,-41.008,62.913,-13.252,3.5053
352.96,-201.19,151.77,-42.184,45.28,12.344,4.717
352.31,-200.82,151.49,-24.491,58.805,26.208,5.9809
299.5,-170.72,128.79,-44.827,30.488,11.693,3.5583
367.24,-209.33,157.91,-44.12,23.94,-17.81,3.383
355.69,-202.74,152.95,-10.689,27.223,-6.4579,4.5988
350.76,-199.93,150.83,-0.9087,42.144,1.4426,5.4587
331.4,-188.9,142.5,-7.2797,58.273,21.501,6.0649
339.71,-193.63,146.07,-13.226,22.97,4.006,4.5086
348.45,-198.62,149.83,-3.2187,44.019,5.628,5.5365
345.13,-196.72,148.4,-2.0307,76.368,24.399,6.9717
251.67,-143.45,108.22,-21.409,67.65,44.615,5.6157
254.32,-144.96,109.36,-35.359,53.746,30.342,4.4596
237.39,-135.31,102.08,-12.272,150.81,53.176,8.2877
346.92,-197.75,149.18,-17.213,130.93,-46.604,6.1014
343.94,-196.04,147.89,-18.581,65.887,-18.8,4.9761
314.72,-179.39,135.33,-23.157,112.41,18.188,6.8485
210.91,-120.22,90.69,-24.159,89.175,46.74,5.7109
184.15,-104.96,79.183,-43.804,23.002,6.5145,1.8307
260.89,-148.7,112.18,-50.798,10.098,6.6205,2.2032
325.03,-185.27,139.76,-13.79,20.623,2.1803,4.197
264.66,-150.85,113.8,-33.62,51.557,30.022,4.5632
202.16,-115.23,86.927,-59.615,-7.4946,-10.175,0.27203
199.29,-113.6,85.695,-58.169,2.167,-1.5287,0.79452
248.64,-141.72,106.91,-53.51,14.45,9.3912,2.179
285.97,-163,122.97,-47.701,9.1654,2.977,2.4658
310.85,-177.19,133.67,-37.473,38.831,-24.524,3.1172
298.78,-170.31,128.48,-29.701,38.443,-36.833,2.8318
323.51,-184.4,139.11,-26.345,109.86,-77.881,4.0833
236.65,-134.89,101.76,-33.237,87.962,-47.708,3.0685
241.33,-137.56,103.77,-57.135,9.1967,1.6353,1.6212
84.323,-48.064,36.259,-43.647,22.59,16.793,0.90258
86.313,-49.198,37.114,-37.165,65.66,59.614,3.5325
314.72,-179.39,135.33,-40.77,41.567,-44.813,2.5759
276.97,-157.87,119.1,-30.692,97.25,-59.716,3.5527
302.46,-172.4,130.06,-47.222,31.573,-20.183,2.6581
241.22,-137.49,103.72,-29.152,87.746,-71.977,2.5485
62.969,-35.892,27.077,-39.285,33.477,21.863,1.2167
288.38,-164.37,124,-57.024,3.5254,-30.264,1.1351
183.5,-104.6,78.905,-57.991,1.1141,-7.8371,0.40032
88.104,-50.219,37.885,-49.811,-0.58139,-1.4402,-0.39347
179.46,-102.29,77.167,-68.296,-35.292,-30.064,-1.5934
291.58,-166.2,125.38,-45.56,35.243,10.359,3.5382
196.31,-111.9,84.414,-44.532,48.42,36.913,3.5323
279.2,-159.14,120.06,-37.359,53.973,-37.28,2.8037
277.39,-158.11,119.28,NaN,NaN,NaN,NaN
