HOUR,SW,LW,SHF,LHF
1,0,-28.795,44.522,-14.368
2,0,-29.102,45.333,-10.696
3,0,-29.092,44.101,-8.768
4,0,-29.955,42.287,-6.5142
5,0,-29.929,44.313,-8.7401
6,0,-29.094,43.662,-7.1941
7,0.01935,1.9662,43.778,-12.104
8,10.539,-1.8186,45.263,-12.099
9,73.519,-16.665,44.788,-12.978
10,155.47,-27.467,47.131,-9.5332
11,242.67,-37.496,45.786,-7.5448
12,309.41,-43.651,46.364,-6.2345
13,347.37,-47.618,44.986,-1.2392
14,364.18,-49.445,46.571,3.7083
15,357.53,-48.975,49.514,3.3926
16,319.21,-48.006,48.701,7.4702
17,262.05,-49.321,48.861,11.954
18,193.68,-49.676,46.864,13.29
19,118.52,-54.272,46.9,17.171
20,53.144,-28.548,46.047,14.387
21,10.898,-26.748,44.411,7.3933
22,0.2064,-27.281,45.707,0.53609
23,0,-27.817,46.557,-6.0145
24,0,-28.578,47.39,-11.955
