SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
0,0,0,-4.8077,24.376,3.6559,0.65514
0,0,0,-2.4462,31.694,5.4119,0.97775
0,0,0,5.1597,0,0,0.14555
0,0,0,8.9055,0,0,0.25122
0,0,0,8.949,0,0,0.25245
0,0,0,44.517,0,0,1.2558
0.5,-0.285,0.215,39.414,0,0,1.1179
76.5,-43.605,32.895,25.397,6.3928,0.99219,1.8527
280,-159.6,120.4,7.9471,2.3197,0.15391,3.6904
513.5,-292.7,220.81,-6.7173,7.9541,0.29737,6.2721
724.25,-412.82,311.43,-15.152,23.53,-0.48172,9.008
894.25,-509.72,384.53,-25.403,35.654,-0.049258,11.135
1014,-577.98,436.02,-29.981,29.208,-1.3956,12.239
1072.8,-611.5,461.3,-37.802,46.434,1.589,13.302
1061,-604.77,456.23,-36.525,68.084,7.8591,13.982
995.25,-567.29,427.96,-25.074,74.673,2.0582,13.53
877.5,-500.18,377.33,-31.201,91.304,7.9418,12.564
700,-399,301,-29.108,54.102,7.9232,9.4197
494,-281.58,212.42,-23.989,53.99,1.9176,6.8927
271.25,-154.61,116.64,-20.711,45.458,9.8292,4.2657
86.25,-49.163,37.088,11.885,64.562,18.887,3.7356
3.25,-1.8525,1.3975,6.255,78.592,16.2,2.8899
0,0,0,7.0392,75.566,-2.6209,2.2563
0,0,0,8.1504,64.675,-20.425,1.4782
0,0,0,6.5252,5.3102,-1.4446,0.29312
0,0,0,11.924,0.64327,-0.20545,0.34871
0,0,0,15.223,1.6723e-21,-6.6919e-22,0.42945
0,0,0,13.807,4.7199e-18,-1.7551e-18,0.38949
0,0,0,3.5196,17.527,-5.4031,0.44129
0,0,0,-6.9409,14.163,-2.1758,0.14237
0.25,-0.1425,0.1075,22.868,39.304,-5.9918,1.5879
64,-36.48,27.52,15.27,44.859,-11.957,2.1352
269,-153.33,115.67,4.6075,44.859,-17.233,4.1723
502.5,-286.43,216.08,0.90669,63.598,-21.359,7.3125
709,-404.13,304.87,-13.02,50.705,-17.507,9.1695
877.5,-500.18,377.33,-8.1625,47.608,-3.6953,11.653
998.75,-569.29,429.46,-30.701,29.505,4.3549,12.204
1064,-606.48,457.52,-35.205,43.531,8.6892,13.386
1058.7,-603.46,455.24,-24.865,20.363,7.5265,12.928
993.5,-566.29,427.21,-22.598,38.917,14.557,12.922
880.75,-502.03,378.72,-33.154,90.386,55.002,13.85
708.75,-403.99,304.76,-38.823,78.269,48.709,11.084
500.25,-285.14,215.11,-40.19,82.111,54.295,8.7823
275,-156.75,118.25,-39.873,94.263,0.86137,4.8944
88.25,-50.303,37.948,-2.4621,91.871,-37.302,2.5404
2.75,-1.5675,1.1825,-8.8441,87.365,-50.144,0.83385
0,0,0,-9.8051,81.792,-51.987,0.56419
0,0,0,-10.181,77.878,-60.724,0.19669
0,0,0,-6.7187,42.116,-30.639,0.13424
0,0,0,-8.1933,59.034,-43.104,0.21826
0,0,0,-6.7448,38.206,-30.047,0.039892
0,0,0,-2.4621,33.863,-21.739,0.27254
0,0,0,-5.3696,39.725,-27.613,0.19022
0,0,0,-6.967,30.99,-23.011,0.028559
0.25,-0.1425,0.1075,23.039,34.214,-29.564,0.78413
75.5,-43.035,32.465,17.206,0,0,1.4012
278.5,-158.75,119.76,12.488,0,0,3.7305
513.5,-292.7,220.81,-0.82741,0,0,6.2055
725.25,-413.39,311.86,-22.486,3.2178,-1.3094,8.2169
897.25,-511.43,385.82,-42.207,28.879,-8.7052,10.262
1018.7,-580.66,438.04,-48.836,19.264,-6.5805,11.337
1079.5,-615.31,464.19,-44.733,19.031,-6.6585,12.182
1073.8,-612.07,461.73,-25.341,5.6259,-0.83401,12.446
1004,-572.28,431.72,-28.276,34.699,6.052,12.531
877.75,-500.32,377.43,-26.611,54.824,13.614,11.827
705.75,-402.28,303.47,-29.554,43.288,8.3146,9.1828
498.25,-284,214.25,-39.206,58.872,19.221,7.1408
273,-155.61,117.39,-35.677,46.671,-0.29988,3.6132
85.5,-48.735,36.765,6.6604,47.476,-17.296,2.0764
2.5,-1.425,1.075,7.5808,20.761,-9.4434,0.56345
0,0,0,7.4562,2.7384,-1.43,0.24725
0,0,0,1.4588,7.2248,-2.3605,0.17837
0,0,0,-10.924,17.414,-4.6561,0.051722
0,0,0,-3.9765,46.09,-18.608,0.66308
0,0,0,-4.7394,87.926,-11.715,2.0162
0,0,0,-8.9611,84.803,-3.4322,2.0427
0,0,0,-9.6884,47.593,-2.9293,0.98663
0,0,0,-9.87,56.998,0.42041,1.3413
0.25,-0.1425,0.1075,17.672,57.968,5.9045,2.3034
67,-38.19,28.81,10.469,72.077,2.9798,3.2254
264,-150.48,113.52,-10.098,70.869,10.942,5.2254
490.5,-279.59,210.92,-25.501,66.861,8.9157,7.3681
693,-395.01,297.99,-38.955,44.976,3.0718,8.6627
858.5,-489.34,369.16,-43.584,54.698,3.8321,10.835
784.5,-447.17,337.34,-34.32,65.723,21.493,11.008
892,-508.44,383.56,-37.015,127.14,30.495,14.223
963,-548.91,414.09,-35.252,140.93,11.971,15
955,-544.35,410.65,-32.802,69.541,14.798,13.038
821.75,-468.4,353.35,-43.801,24.28,7.4555,9.6276
622.25,-354.68,267.57,-43.708,79.409,20.962,9.1464
123.25,-70.252,52.998,-14.153,146.81,4.2647,5.3575
38.25,-21.803,16.448,-49.686,84.826,-26.126,0.71828
21.75,-12.398,9.3525,-21.26,21.371,-8.3314,0.031934
2,-1.14,0.86,-15.547,96.837,-42.904,1.1071
0,0,0,-19.129,127.4,-86.911,0.60268
0,0,0,-18.293,133.48,-72.835,1.1947
0,0,0,-17.764,132.97,-93.706,0.60649
0,0,0,-23.041,99.795,-61.978,0.41681
0,0,0,-30.041,84.397,-59.657,-0.14956
0,0,0,-31.292,79.979,-33.853,0.41846
0,0,0,-34.074,64.527,3.4075,0.95521
0,0,0,-34.852,65.479,-25.949,0.132
0.25,-0.1425,0.1075,-5.0061,61.381,-109.9,-1.5068
70.75,-40.328,30.423,-17.447,52.11,-98.499,-0.94258
278.25,-158.6,119.65,-31.982,61.018,-107.33,1.1667
512.5,-292.13,220.38,-44.196,63.901,-101.29,3.9152
722.75,-411.97,310.78,-53.676,53.21,-76.809,6.5872
890.75,-507.73,383.02,-60.904,48.546,-44.998,9.187
957.25,-545.63,411.62,-64.26,49.636,-0.37417,11.188
1043,-594.51,448.49,-68.599,46.706,23.782,12.705
682.25,-388.88,293.37,-55.082,48.547,29.35,8.9194
496,-282.72,213.28,-47.729,61.019,48.777,7.7675
337,-192.09,144.91,-46.329,52.064,44.142,5.4949
204.25,-116.42,87.828,-39.332,72.529,65.005,5.2479
155.25,-88.492,66.758,-54.913,78.772,72.38,4.5981
81.25,-46.312,34.938,-41.547,66.427,59.456,3.3647
19.75,-11.257,8.4925,-43.706,53.669,48.141,1.8787
1.25,-0.7125,0.5375,-44.781,50.579,45.907,1.4738
0,0,0,-45.804,36.966,33.22,0.6878
0,0,0,-47.839,25.69,22.721,0.016128
0,0,0,-47.087,21.19,18.954,-0.19585
0,0,0,-47.613,18.102,15.954,-0.38242
0,0,0,-49.588,10.535,9.3742,-0.83725
0,0,0,-49.759,15.095,10.467,-0.6826
0,0,0,-50.72,11.866,9.8448,-0.81833
0,0,0,-49.557,18.149,6.4526,-0.70398
