NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Wind Speed
153.7,40.351,38.777,2.3331,6.6338,0.59335,12.487,44.165,3.1203
152.5,36.793,54.283,-4.9587,6.7313,0.59327,11.666,39.622,3.8847
155.48,50.345,28.967,-8.21,6.3918,0.594,11.148,31.127,2.9829
140.89,9.2364,97.793,-11.731,6.6627,0.55499,9.0504,50.889,5.7265
116.21,-40.483,81.526,-11.708,4.1057,0.56776,3.8959,70.386,9.1772
149.78,-25.366,57.422,14.102,5.5274,0.57608,4.7031,80.543,5.8916
150.26,7.5748,71.853,33.662,7.429,0.5735,8.369,70.345,4.8871
96,-25.683,37.728,12.149,3.3906,0.67947,3.4828,73.546,4.7244
155.25,-27.583,28.893,-18.597,3.8919,0.57742,4.6952,49.431,3.6182
156.42,2.8417,29.288,-6.4041,5.1382,0.56039,11.275,32.672,3.0123
155.84,27.899,47.313,2.3853,6.5853,0.5557,13.086,42.515,3.5215
145.57,4.3609,64.124,23.142,6.6913,0.56073,11.485,61.192,4.1844
151.26,11.843,24.423,4.0291,5.4037,0.55473,10.607,54.715,2.8161
154.36,23.159,47.301,6.1171,6.5148,0.55699,12.605,50.062,3.5674
154.48,13.015,85.468,25.94,7.8677,0.5524,12.692,56.324,4.6326
113.35,13.137,80.51,54.674,7.3818,0.54959,8.0045,80.95,5.3937
104.31,24.86,73.207,31.764,6.6051,0.58984,5.5785,85.927,5.8475
101.27,-33.932,209.08,75.683,9.9328,0.57339,9.4341,66.624,9.5398
155.46,-36.749,173.05,-60.615,6.5204,0.55196,10.038,33.209,8.1721
154.77,-27.157,75.795,-20.108,5.1708,0.55,9.7147,42.668,4.7849
147.79,-23.825,147.18,24.812,8.3489,0.5304,8.7265,63.569,7.5168
99.135,-6.6188,119.79,59.74,7.6743,0.52996,6.5976,82.094,8.0177
57.906,-47.22,28.658,6.4631,1.2922,0.68554,2.3123,90.184,4.8815
100.43,30.472,12.584,7.435,4.2573,0.61505,2.2898,93.773,3.8916
148.48,-5.1148,22.029,2.9863,4.7499,0.54318,10.736,46.699,2.8534
123.59,3.745,62.288,33.792,6.3026,0.533,5.6765,84.032,5.9568
41.448,-15.293,-11.877,-12.712,0.044176,0.79497,-0.52153,98.404,9.0473
57.292,-22.79,5.2672,-0.16423,1.1172,0.71252,0.029906,98.004,9.6876
91.229,-15.777,18.669,11.763,2.987,0.63308,1.5622,96.435,5.9817
120.3,-53.138,11.775,0.77446,2.2487,0.57939,3.4226,81.741,2.8342
137.52,-33.177,47.502,-29.741,3.4445,0.5576,5.7431,43.422,4.2713
135.07,-29.504,51.569,-45.814,3.1404,0.54792,7.0911,37.093,4.4621
155.21,-34.429,149.36,-101.48,4.7579,0.52024,8.0837,30.468,8.0569
120.09,-20.166,118.07,-60.895,4.4318,0.49252,5.1434,59.751,9.1652
112.65,1.5888,10.087,-1.626,3.4612,0.53324,0.91744,94.387,6.3167
30.76,-8.5393,37.453,29.742,2.5224,0.63521,1.013,98.817,13.529
34.573,-1.7353,92.811,80.517,5.8158,0.59944,2.4997,99.138,15.372
162.71,-23.15,57.046,-59.69,3.8623,0.483,5.2267,47.249,5.431
149.81,-19.273,128.59,-70.856,5.3112,0.4591,6.8544,43.463,8.8953
163.73,-25.468,39.842,-27.36,4.2524,0.45867,3.6871,63.136,4.4994
129.06,-13.5,116.68,-86.996,4.0973,0.46496,6.7496,35.278,8.263
24.333,-7.7397,43.23,28.573,2.4936,0.61356,1.6259,97.299,11.006
138.32,-54.442,4.138,-35.759,1.4742,0.52034,1.519,63.328,3.9738
88.854,-21.592,1.3823,-8.6487,1.6925,0.51578,0.069031,89.096,5.2661
32.938,-11.663,-2.0185,-3.0206,0.45799,0.62615,-0.21176,99.396,11.606
28.812,-1.3022,-44.649,-36.534,-1.5141,0.83945,-2.0751,98.631,8.2525
99.885,-42.529,45.758,14.063,3.3056,0.68027,4.1495,82.777,6.0854
65.969,-18.581,64.836,45.321,4.4443,0.66396,3.1935,92.967,8.6421
144.45,-23.08,70.202,-46.159,4.102,0.48263,5.356,49.344,5.7245
154.71,-35.794,85.729,-83.485,3.4178,0.44226,5.4181,37.02,6.8037
