NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Wind Speed
0,-74.647,33.059,5.9357,-1.0058,NaN,10.705,55.425,3.2045
0,-77.125,5.3592,0.29292,-2.0162,NaN,11.785,46.69,2.3817
0,-77.455,0,-0,-2.185,NaN,12.8,39.895,1.1663
0,-75.935,0,-0,-2.1421,NaN,12.955,40.748,0.81825
0,-74.502,0,-0,-2.1017,NaN,12.68,39.455,0.7105
0,-76.862,0,0,-2.1683,NaN,12.197,43.44,1.2348
10.25,-78.323,0.025098,0.004715,-1.9195,0.75449,11.457,53.628,2.009
70,-47.549,6.6916,0.50713,0.8364,0.68645,12.178,46.54,2.4598
173,16.475,7.9185,0.42384,5.5804,0.62061,12.332,45.095,2.5137
277.75,96.25,22.871,-0.20973,11.19,0.58867,12.598,41.495,2.9695
369.5,164.58,32.193,-0.26956,15.967,0.56796,12.228,42.565,3.2045
439,216.9,33.838,-1.6091,19.412,0.5569,12.742,39.335,3.2588
473.25,247.78,42.927,1.093,21.582,0.55511,11.37,46.59,3.4887
466.5,265.6,71.862,5.5318,22.836,0.56392,10.905,50.287,4.356
429.75,272.65,70.781,4.1172,21.927,0.57733,13.45,42.335,4.1552
375,247.82,103.68,3.8776,20.604,0.58904,12.515,43.855,5.0715
292,204.12,68.225,10.458,16.215,0.60963,12.467,49.287,4.1355
197,130.48,66.161,2.3251,11.17,0.64035,13.375,41.462,4.0473
96.25,41.567,39.353,7.0544,5.1969,0.70498,14.715,44.883,3.435
19.5,-19.678,56.72,14.785,2.0121,0.844,13.817,50.808,3.817
0,-77.278,88.649,16.638,0.79013,NaN,12.598,50.517,4.6597
0,-86.55,85.985,11.303,0.30292,NaN,12.473,48.275,4.6013
0,-87.375,68.697,-18.662,-1.0534,NaN,12.61,29.427,4.1405
0,-82.505,25.639,-7.6016,-1.8186,NaN,12.735,27.925,3.048
0,-66.525,0,-0,-1.8766,NaN,12.985,27.11,2.0725
0,-57.43,0.43209,-0.16126,-1.6124,NaN,13.982,20.948,2.2737
0,-52.257,0,-0,-1.4742,NaN,13.945,20.912,1.9405
0,-46.69,13.984,-4.4401,-1.0479,NaN,13.185,25.678,2.754
0,-34.902,13.655,-2.5173,-0.67038,NaN,9.6975,42.925,2.553
0,-59.067,33.103,-3.3464,-0.82684,NaN,8.985,49.102,3.2145
8,-58.782,60.502,-12.94,-0.090861,0.75,9.565,42.16,4.1355
66.5,-28.33,32.97,-12.856,1.6442,0.68595,10.982,29.297,3.2045
167.75,38.1,68.431,-19.434,7.1892,0.62367,13.25,27.045,4.1063
269.75,116.8,69.923,-24.637,12.182,0.5916,12.648,25.617,4.17
361.25,165.83,35.535,-6.4391,15.689,0.56968,14.755,27.973,3.3515
429.5,206.55,34.234,4.035,19.022,0.55892,14.082,43.528,3.3027
465.25,237.25,44.791,8.3053,21.315,0.55785,10.402,56.582,3.5625
464.5,235.3,14.745,4.7084,20.29,0.56497,13.69,53.838,2.8028
428.25,243.9,36.889,12.596,20.357,0.57766,13.973,54.188,3.3615
376.5,207.83,96.961,53.835,20.738,0.5883,12.765,66.963,4.8608
296.75,154.02,86.12,52.485,16.626,0.60747,10.927,73.858,4.7922
202.25,83.575,95.376,62.163,12.507,0.63575,10.445,76.89,5.179
101.25,7.835,109.5,22.231,6.7933,0.69365,10.473,57.145,5.6498
22.5,-44.968,102.63,-34.217,1.2962,0.82353,10.915,32.045,5.3165
0,-87.64,108.49,-55.421,-0.97528,NaN,9.77,28.657,5.8212
0,-95.35,96.321,-58.92,-1.6347,NaN,9.4325,25.818,5.4685
0,-94.4,94.171,-65.456,-1.853,NaN,9.19,23.422,5.4588
0,-87.6,54.021,-38.583,-2.0357,NaN,9.93,19.227,3.881
0,-83.2,58.068,-40.726,-1.8578,NaN,9.945,19.718,4.0133
0,-83.05,49.555,-38.109,-2.0199,NaN,9.7125,17.85,3.7485
0,-80.583,33.552,-21.83,-1.9425,NaN,10.713,18.752,3.2193
0,-82.35,44.378,-28.337,-1.8705,NaN,10.307,20.91,3.5528
0,-76.71,31.418,-22.147,-1.9024,NaN,10.172,18.582,3.1507
0,-78.333,33.762,-27.266,-2.0265,NaN,9.165,18.828,3.234
8.25,-79.043,10.235,-8.1029,-1.9369,0.7963,9.495,17.898,2.4158
65.25,-64.77,0,-0,0.013541,0.70608,12.777,20.725,1.083
166.5,-13.2,0,-0,4.3245,0.63467,13.5,19.562,1.4163
271.75,71.875,0,-0,9.6935,0.59771,11.997,24.58,1.8767
384,151.75,24.245,-7.9737,15.572,0.55284,9.572,37.237,2.9105
485.25,244.85,30.923,-8.4249,21.231,0.51158,7.7733,47.233,3.1705
506.25,310.75,14.995,-4.614,23.34,0.52709,9.83,37.138,2.6067
492.5,354.25,3.3555,-0.85707,23.957,0.54451,12.643,30.078,2.3567
444.5,364.02,33.61,3.3866,23.852,0.56729,12.545,46.675,3.2485
378.75,330.33,48.224,12.373,21.712,0.58584,13.845,50.55,3.6212
287.25,245.95,49.543,8.2875,16.673,0.61815,12.452,49.968,3.6553
178.25,139.38,66.704,19.139,11.382,0.67752,11.398,58.242,4.16
63,4.5125,48.217,5.2167,3.4119,0.80837,11.045,51.255,3.6455
0,-60.273,54.071,-14.713,-0.59,NaN,12.365,30.13,3.773
0,-86.05,28.159,-12.172,-1.9765,NaN,12.527,22.315,3.1068
0,-92.775,9.7693,-5.0075,-2.4828,NaN,12.67,18.2,2.5968
0,-68.305,3.2117,-1.2228,-1.8708,NaN,11.99,26.337,2.303
0,-60.738,19.214,-3.9391,-1.2825,NaN,9.109,44.292,2.7243
0,-49.582,32.487,-12.439,-0.83317,NaN,10.925,29.812,3.1898
0,-34.953,92.876,-19.106,1.095,NaN,10.235,40.055,5.1398
0,-42.095,98.289,-4.4427,1.4599,NaN,9.705,48.85,5.4635
0,-58.16,64.883,-2.6647,0.11448,NaN,9.47,49.85,4.302
0,-55.51,58.571,-2.3974,0.018717,NaN,9.3625,50.237,4.0915
0,-55.457,66.302,7.9745,0.53087,NaN,8.403,60.31,4.5473
11.75,-62.625,76.187,0.25694,0.7213,0.65942,8.461,55.365,4.9443
101.25,-77.546,86.135,11.692,3.4284,0.51671,8.7175,59.852,5.2823
216,2,82.743,11.854,8.8183,0.50288,8.5625,60.69,5.1893
321.5,66.95,51.965,3.7947,12.531,0.50232,7.53,61.648,4.1113
405.25,117.75,58.27,3.3878,16.493,0.50654,7.6545,60.595,4.3708
422.75,144.73,73.17,18.239,18.587,0.52042,8.5825,64.948,4.7875
352.5,40.9,137.39,40.866,16.126,0.55153,9.297,64.725,7.1502
418.5,33.525,175.5,21.607,18.312,0.55691,11.178,51.53,7.6435
415,88.25,99.665,0.37956,17.019,0.57739,11.815,44.302,5.0617
350.25,108.8,41.782,14.632,14.541,0.59625,10.05,64.782,3.479
269.5,67.675,48.174,18.38,11.389,0.62879,10.22,65.668,3.675
68.75,15.147,204.61,6.9192,8.3339,0.62534,9.5275,52.83,9.12
17.25,13.516,120.61,-19.022,3.7336,0.61667,8.8375,47.325,6.6837
11,7.1925,18.25,-7.8489,0.80662,0.61404,7.276,43.607,2.641
0,9.211,103.43,-41.838,1.9973,NaN,7.962,41.16,6.3602
0,-3.115,177.51,-99.44,2.1145,NaN,7.8345,35.675,9.6218
0,-5.8688,182.3,-107.88,1.9338,NaN,7.6992,35.16,10.055
0,-49.057,195.92,-124.44,0.63256,NaN,7.905,32.358,10.525
0,-78.718,149.67,-96.189,-0.71206,NaN,7.195,36.037,8.8335
0,-90,119.61,-66.133,-1.0302,NaN,5.658,48.752,8.9775
0,-90.8,108.31,-61.647,-1.245,NaN,5.0755,52.215,9.0625
0,-95.15,96.156,-11.265,-0.2894,NaN,4.8223,67.452,8.4677
0,-97.625,85.466,-5.671,-0.50299,NaN,4.2523,72.008,8.5352
0,-94.125,86.35,-127.87,-3.8264,NaN,4.1718,34.427,8.79
13.75,-92.082,76.918,-138.24,-3.9397,0.61538,3.7732,31.402,8.6568
105.5,-96.993,77.376,-135.73,-1.4062,0.52531,4.3117,25.247,7.6208
215.75,-76.175,84.728,-127.23,2.7384,0.52504,4.7595,27.045,7.5598
326,-48.3,73.497,-101.79,7.0356,0.51632,4.8182,29.852,6.4778
414,-23.25,67.634,-75.882,10.79,0.5148,4.6818,38.97,6.1347
446.5,3.225,67.276,-14.995,14.161,0.53099,4.5873,65.705,6.228
459.5,-4.425,62.419,26.933,15.358,0.55291,4.12,86,6.4337
309.5,-18.55,66.407,37.998,11.153,0.6018,3.8015,90.575,7.4183
184.25,-104.31,78.865,56.796,6.0821,0.6653,3.6645,94.55,9.1393
129.75,6.8,72.448,57.037,7.5048,0.65354,2.91,97.275,10.572
77.75,-2.755,95.462,80.485,7.079,0.65711,3.2945,98,12.305
60,10.36,117.37,103.38,8.2122,0.65116,3.7175,98.425,13.408
34.75,12.305,96.539,83.306,6.4008,0.6445,3.1445,98.6,13.037
11,8.5225,75.363,64.323,4.4912,0.64516,2.6792,98.85,11.945
1,3.9325,77.611,67.62,4.236,0.71429,2.2947,99.475,14.363
0,7.2952,57.072,49.427,3.2101,NaN,2.3115,99.375,10.485
0,-9.621,35.906,30.12,1.5912,NaN,1.683,99.4,9.06
0,-1.1678,28.167,24.225,1.445,NaN,1.774,99.625,6.7427
0,-1.678,24.684,21.041,1.2426,NaN,1.768,99.525,5.929
0,-11.911,14.209,11.974,0.40262,NaN,1.3837,99.625,4.3608
0,-31.761,19.931,13.797,0.05548,NaN,1.3145,98.1,6.4387
0,-15.968,15.538,12.415,0.3381,NaN,1.1335,99.35,5.8213
0,-49.763,21.07,6.0894,-0.63762,NaN,1.1675,94.575,7.664
0,-39.797,20.512,9.379,-0.27946,NaN,1.4487,95.225,6.0125
3,-8.709,42.121,-24.77,0.3284,0.73913,2.9367,68.845,6.0907
47.75,-46.44,56.909,-38.838,0.54673,0.57175,3.9583,57.685,6.1055
112,-70.838,72.368,-44.423,1.9495,0.54975,4.0812,58.46,7.53
299.25,-56.525,84.057,-0.63652,9.2005,0.52911,5.3095,68.325,6.723
380.5,-39.2,78.922,21.359,12.457,0.52894,5.0442,78.118,6.6442
448.25,-0.55,83.948,24.987,15.702,0.52791,5.0175,79.042,7.105
482.25,3.25,115.39,25.373,17.667,0.53316,5.6277,74.27,8.7075
477,13.65,98.048,27.429,17.381,0.54722,6.1575,74.32,6.762
430.75,44.325,72.752,22.214,16.081,0.56882,6.225,74.97,5.7037
364.75,29.575,67.22,25.414,13.737,0.59028,6.0575,78.042,5.4637
282,14.35,63.065,25.339,10.854,0.624,6.5997,77.147,4.949
186.25,-11.45,95.119,37.093,8.6607,0.66198,7.5093,73.9,6.1973
78.5,-32.782,94.796,41.535,5.1355,0.74759,6.9883,77.29,6.4925
2.5,-52.31,69.843,33.496,1.5101,0.97738,6.3287,80.728,5.4688
