SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
377.68,219.73,157.95,15.795,267.37,-308.13,-40.767,40.025,3.9526,3.9244,149.29,5.9976e-05,1.3445e-06,-6.3655e-06,0,0,0.58595,0.0044148,4.5464
374.71,205.92,168.79,16.879,259.94,-307.52,-47.577,57.268,-1.5292,4.9991,165.07,2.6453e-06,1.5928e-05,-1.3985e-05,0,0,0.55213,0.00017936,4.9917
379.55,201.19,178.36,17.836,252.71,-306.31,-53.594,35.841,-5.7207,6.4548,143.5,-1.2407e-05,1.0478e-05,-3.2113e-06,0,0,0.53162,0.00018951,4.3692
316.54,164.09,152.45,15.245,264.81,-314.01,-49.202,95.542,-7.1864,-1.3586,175,1.3915e-05,2.0549e-05,-1.1421e-05,0,0,0.51918,0.00016295,5.405
268.85,137.47,131.39,13.139,257,-314.21,-57.209,96.397,-13.735,-0.72942,142.97,0.00031705,6.1245e-05,-4.3798e-05,0,0,0.51163,0.00013341,4.4244
352.96,178.84,174.12,17.412,240.91,-313.35,-72.442,66.098,24.574,0.44981,175.39,0.00024573,5.4741e-06,-3.669e-05,0,0,0.50706,0.00018361,5.4262
352.31,177.59,174.72,17.472,257.81,-312.94,-55.131,72.273,40.277,0.85835,215.53,9.6235e-07,1.6308e-06,-5.2794e-05,0,0,0.50428,0.00018817,6.5486
299.5,150.49,149.01,14.901,243.8,-310.74,-66.933,46.492,24.318,4.2305,142.22,3.8023e-05,4.9451e-06,-3.5836e-05,0,0,0.5026,0.00015901,4.313
367.24,184.17,183.07,18.307,229.46,-304.72,-75.265,41.552,-13.391,7.0101,124.67,0.000129,1.9204e-05,-2.1939e-06,0,0,0.50157,0.00018954,3.8356
355.69,178.17,177.52,17.752,251.08,-307.42,-56.342,34.437,-5.5656,4.3101,136.61,0.00024787,9.8267e-06,-2.7569e-06,0,0,0.50095,0.00018835,4.2328
350.76,175.57,175.19,17.519,269.23,-311.4,-42.178,47.268,3.5755,-0.8367,165.5,0.00010362,8.7867e-07,-5.4206e-06,0,0,0.50058,0.00018737,5.1864
331.4,165.81,165.59,16.559,270.85,-315.56,-44.715,66.924,29.183,-3.984,196.44,-5.8925e-06,0,-3.7071e-05,0,0,0.50035,0.00017843,6.1209
339.71,169.92,169.79,16.979,262.09,-309.28,-47.197,25.417,6.0413,3.4071,140.48,4.3735e-05,1.5876e-07,-7.833e-06,0,0,0.50021,0.00018162,4.3456
348.45,174.27,174.18,17.418,270.72,-313.97,-43.244,48.501,7.8418,-1.5662,168.3,2.1735e-05,1.8383e-06,-1.18e-05,0,0,0.50013,0.0001864,5.2831
345.12,172.59,172.54,17.254,277.83,-315.64,-37.807,85.197,32.544,-2.873,232.35,0,0,-4.134e-05,0,0,0.50007,0.00018592,7.1222
251.67,125.84,125.82,12.582,283.6,-315.64,-32.037,82.741,65.633,-1.9529,227.63,0,1.2036e-07,-8.3493e-05,0,0,0.50004,0.00013557,6.8313
254.32,127.16,127.16,12.716,270.83,-315.64,-44.805,69.6,45.1,-1.4332,182.91,0,5.1234e-06,-6.2413e-05,0,0,0.50001,0.00013701,5.5589
237.39,118.68,118.71,11.871,288.41,-315.64,-27.224,214.51,89.297,-1.1123,382.3,0,1.5439e-05,-0.00012887,0,0,0.49995,0.0001279,11.151
346.93,173.39,173.54,17.354,247.76,-315.34,-67.588,178.21,-66.745,-0.5492,199.52,-5.3774e-06,9.3808e-05,-9.0229e-06,0,0,0.49978,0.00018611,6.1335
343.94,171.82,172.12,17.212,251.86,-314.66,-62.805,82.511,-23.949,0.09718,150.76,0.00010342,3.627e-05,-5.8483e-06,0,0,0.49957,0.00018547,4.7357
314.72,157.07,157.65,15.765,260.59,-315.64,-55.047,151.93,28.907,-1.0782,266.6,0,2.3925e-05,-6.0645e-05,0,0,0.49907,0.00016987,7.9957
210.91,104.94,105.97,10.597,292.83,-315.64,-22.81,122.14,73.105,-0.81293,266.99,0,2.0427e-06,-9.4907e-05,0,0,0.4976,0.00011417,7.8536
184.15,91.464,92.682,9.2682,279.64,-312.18,-32.543,31.901,10.676,4.139,97.587,1.3239e-05,2.1829e-06,-1.5744e-05,0,0,0.49662,9.9546e-05,2.8976
260.89,129.39,131.49,13.149,245.51,-310.5,-64.992,19.976,16.49,3.749,93.566,0.00010456,0,-2.0948e-05,0,0,0.49602,0.00013821,2.9046
325.03,160.61,164.42,16.442,258.93,-311.99,-53.064,24.299,4.7071,0.91486,124.84,0.00014858,7.3902e-07,-6.7185e-06,0,0,0.49416,0.00017606,3.9596
264.66,129.74,134.92,13.492,263.95,-315.58,-51.63,65.155,44.488,-2.7413,176.7,1.2484e-05,0,-5.6513e-05,0,0,0.52564,0.00014537,5.4425
202.16,159.77,42.39,4.239,260.23,-311.47,-51.242,10.805,3.795,3.2541,4.7641,0.0004915,9.527e-06,-1.4348e-05,0,0,0.78605,2.6204e-05,0.16215
199.29,141.27,58.02,5.802,259.57,-310.71,-51.132,24.907,17.391,2.378,45.762,8.6749e-05,2.2956e-06,-2.4387e-05,0,0,0.71634,6.0433e-05,1.3875
248.64,155.32,93.311,9.3311,244.01,-312.76,-68.752,29.491,24.332,0.04663,69.099,0.00027699,0,-3.0909e-05,0,0,0.63112,9.7333e-05,2.2111
285.97,164.57,121.4,12.14,237.26,-307.77,-70.506,19.368,11.81,6.944,76.877,0.00012912,1.11e-08,-1.5014e-05,0,0,0.57865,0.00012903,2.3152
310.85,169.16,141.69,14.169,234.1,-304.15,-70.048,57.826,-25.622,7.5646,97.244,0.00016036,3.2549e-05,-2.5129e-09,0,0,0.54647,0.00014771,2.9295
298.78,156.82,141.96,14.196,236.27,-309.13,-72.859,71.029,-37.459,1.0066,89.482,0.00021432,4.7601e-05,-1.6742e-08,0,0,0.52644,0.00014162,2.8963
323.51,165.82,157.69,15.769,240.01,-312.5,-72.489,168.46,-110.29,-2.3972,125.21,0.00021436,0.0001401,0,0,0,0.51338,0.0001653,4.0446
236.65,119.23,117.42,11.742,252.62,-313.35,-60.731,136.67,-67.826,-2.0455,111.74,6.1363e-05,0.00011802,-3.1861e-05,0,0,0.50386,0.00012187,3.5411
241.33,120.17,121.16,12.116,250.71,-312.21,-61.505,22.378,11.953,0.00056644,81.876,0.00036454,3.1927e-06,-1.8377e-05,0,0,0.53437,0.00012717,2.6515
84.323,67.429,16.894,1.6894,314.68,-314.44,0.23436,41.357,35.666,-2.0562,90.406,2.0164e-05,3.812e-06,-4.9118e-05,0,0,0.79709,1.7622e-05,2.656
86.312,61.062,25.25,2.525,311.59,-315.51,-3.9268,100.36,103.81,-2.1177,220.86,-5.8601e-05,0,-0.00013187,0,0,0.71937,2.6427e-05,6.3612
314.72,197.21,117.51,11.751,228.8,-307.98,-79.173,77.942,-46.409,5.3435,63.46,0.00026488,6.8336e-05,-9.3824e-06,0,0,0.63293,0.00011944,1.9709
276.97,159.87,117.1,11.71,233.47,-311.45,-77.988,152.6,-75.672,0.21648,104.54,7.1948e-05,0.00011355,-1.742e-05,0,0,0.58043,0.00012218,3.2733
302.46,165.19,137.26,13.726,232.24,-306.33,-74.086,56.435,-12.967,6.0837,99.004,6.4821e-05,2.4692e-05,-8.2201e-06,0,0,0.54848,0.00014458,3.0084
241.22,127.27,113.95,11.395,251.39,-310.85,-59.457,131.96,-93.567,-0.44678,81.046,0.00030067,0.00012827,-9.4167e-06,0,0,0.52907,0.00012023,2.6203
62.969,32.543,30.426,3.0426,307.72,-315.03,-7.3106,51.7,38.932,-3.7843,106.92,3.9017e-05,2.3125e-06,-5.1767e-05,0,0,0.51759,3.2747e-05,3.2088
288.38,147.1,141.28,14.128,226.21,-304.05,-77.84,38.478,-16.007,9.5828,81.362,0.00018952,2.3601e-05,-3.2675e-06,0,0,0.51057,0.00013958,2.4234
183.5,92.848,90.652,9.0652,262.55,-308.49,-45.946,15.059,1.3419,1.4025,53.445,0.00012362,5.2485e-06,-6.9531e-06,0,0,0.54298,9.2343e-05,1.7238
88.104,70.481,17.624,1.7624,303.41,-312.98,-9.5669,13.605,10.748,-2.0287,28.619,0.00033835,4.513e-07,-1.4104e-05,0,0,0.79838,1.6841e-05,0.91426
179.46,127.64,51.817,5.1817,243.75,-302.01,-58.254,8.2222,1.977,7.5408,6.122,0.00030837,9.9821e-06,-1.2493e-05,0,0,0.71947,3.0106e-05,0.10613
291.58,182.82,108.76,10.876,241.36,-313.01,-71.65,50.649,21.441,-3.3803,94.944,4.7319e-05,4.0416e-06,-3.1277e-05,0,0,0.63311,0.00011526,3.0805
196.31,113.4,82.91,8.291,257.46,-313.96,-56.499,70.689,62.324,-2.2943,148.84,-5.3057e-06,5.4529e-07,-7.9715e-05,0,0,0.58073,8.8192e-05,4.4973
279.2,152.63,126.57,12.657,232.66,-307.84,-75.184,89.542,-37.364,3.3255,94.232,0.00024649,4.8265e-05,-8.0171e-07,0,0,0.54895,0.00013132,2.9215
277.39,146.55,130.83,13.083,229.57,-308.33,-78.761,115.58,-79.547,2.9446,77.965,0.00056108,0.00010105,0,0,0,0.52966,0.00013626,2.4854
