SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
0,0,0,0,261.51,-312.09,-50.586,27.44,6.528,16.618,0.00024007,7.1384e-05,0,-8.2925e-06,0,0,0.60809,0.10193,-0.46879
0,0,0,0,263.62,-311.28,-47.662,36.172,9.7266,1.7638,0.00019922,0,0,-1.2356e-05,0,0,0.60586,0,-0.049751
0,0,0,0,265.86,-281.77,-15.904,0,0,15.904,0,-0.00010148,-0,-0,0,0,0.60368,0,-0.44866
0,0,0,0,267.46,-283.65,-16.196,0,0,16.196,0.00012632,8.4378e-06,-0,-0,0,0,0.60154,0,-0.45689
0,0,0,0,268.4,-284.81,-16.411,0,0,16.412,0.00034245,0.00025029,-0,-0,0,0,0.59945,0,-0.46296
0,0,0,0,264.26,-282.72,-18.461,0,0,18.462,0.00034817,0.00025472,-0,-0,0,0,0.5974,0,-0.52078
0.5,0.29769,0.20231,0.020231,266.54,-283.18,-16.635,0,0,16.453,0,-3.6541e-05,-0,-0,0,0,0.59539,0,-0.46356
76.5,45.397,31.103,3.1103,266.9,-308.49,-41.599,8.3355,2.3446,2.9267,0.00029927,0.00029098,0,-2.9784e-06,0,0,0.59342,0,0.0051888
280,165.62,114.38,11.438,267.08,-315.64,-48.552,3.0706,0.27079,-0.9796,56.753,0,0,-3.4399e-07,0,0,0.59149,0.00012062,1.9513
513.5,302.76,210.74,21.074,266.74,-315.64,-48.901,9.0252,0.48952,-0.95666,149.32,0,0,-6.2183e-07,0,0,0.58961,0.00022459,4.8337
724.25,425.69,298.56,29.856,266.8,-315.64,-48.836,24.699,-0.3202,-0.93322,243.32,0,4.0674e-07,0,0,0,0.58776,0.00031937,7.7325
894.25,523.99,370.26,37.026,265.6,-315.64,-50.038,37.301,0.35428,-0.90947,319.94,0,0,-4.5003e-07,0,0,0.58595,0.00039676,10.096
1014,592.36,421.64,42.164,265.77,-315.64,-49.866,30.515,-1.3552,-0.88559,357.89,0,1.7214e-06,0,0,0,0.58418,0.00045224,11.31
1072.8,624.85,447.95,44.795,261.63,-315.64,-54.01,49.696,2.4395,-0.86176,400.42,0,0,-3.0988e-06,0,0,0.58244,0.0004807,12.584
1061,616.17,444.83,44.483,264.26,-315.64,-51.377,75.558,10.842,-0.83811,434.53,0,0,-1.3772e-05,0,0,0.58074,0.00047743,13.537
995.25,576.33,418.92,41.892,271.43,-315.64,-44.208,80.93,3.618,-0.81477,416.55,0,0,-4.596e-06,0,0,0.57908,0.00044959,12.956
877.5,506.71,370.79,37.079,268.01,-315.64,-47.631,103.66,11.721,-0.7895,400.67,0,0,-1.4889e-05,0,0,0.57745,0.00039779,12.371
700,403.1,296.9,29.69,271.01,-315.64,-44.627,57.388,10.499,-0.76514,289.71,0,0,-1.3337e-05,0,0,0.57585,0.00031824,9.0317
494,283.7,210.3,21.03,272.35,-315.64,-43.284,56.803,2.791,-0.74454,204.84,0,0,-3.5454e-06,0,0,0.57429,0.00022495,6.3926
271.25,155.36,115.89,11.589,279.47,-315.64,-36.163,47.222,12.387,-0.7246,127.02,0,0,-1.5735e-05,0,0,0.57276,0.00012325,3.9306
86.25,49.271,36.979,3.6979,276.78,-315.64,-38.854,68.868,24.335,-0.70534,86.925,0,0,-3.0912e-05,0,0,0.57126,3.8255e-05,2.5763
3.25,1.8518,1.3982,0.13982,270.79,-315.64,-44.842,87.051,21.92,-0.68672,64.701,0,0,-2.7844e-05,0,0,0.56979,0,1.8485
0,0,0,0,265.96,-315.64,-49.681,83.275,-2.5648,-0.60997,30.42,0,3.258e-06,0,0,0,0.56835,0,0.87534
0,0,0,0,258.56,-312.64,-54.082,73.589,-21.162,1.6555,0.00087544,0.00070163,2.6882e-05,0,0,0,0.56694,0,-0.046677
0,0,0,0,259.03,-289.16,-30.136,9.3325,0.53045,20.273,0.00027571,0.00022657,0,-6.7383e-07,0,0,0.56556,0,-0.5719
0,0,0,0,260.05,-285.32,-25.264,1.6672,0.046601,23.55,0.0002056,0.00011242,0,-5.9197e-08,0,0,0.56421,0,-0.66433
0,0,0,0,258.03,-283.34,-25.308,0,-0,25.308,0,-8.692e-05,0,0,0,0,0.56288,0,-0.71394
0,0,0,0,258.74,-283.75,-25.014,0,-0,25.014,0.00032784,0.00029742,0,0,0,0,0.56159,0,-0.70563
0,0,0,0,257.05,-296.33,-39.286,25.322,-0.19081,14.155,0,-3.0882e-05,2.4238e-07,0,0,0,0.56032,0,-0.3993
0,0,0,0,254.39,-295.09,-40.701,21.986,3.4249,15.29,0,-4.9966e-05,0,-4.3506e-06,0,0,0.55907,0,-0.43133
0.25,0.13946,0.11054,0.011054,251.35,-307.65,-56.302,50.947,0.81441,4.4402,0,-8.8242e-05,0,-1.0345e-06,0,0,0.55786,0,-0.12497
64,35.626,28.374,2.8374,250.86,-313.87,-63.003,50.865,-12.544,-0.85497,0,-9.698e-05,1.5934e-05,0,0,0,0.55666,0,0.10414
269,149.43,119.57,11.957,252.76,-315.64,-62.879,47.844,-20.624,-2.3212,69.635,0,2.6198e-05,0,0,0,0.55549,0.00012427,2.3672
502.5,278.56,223.94,22.394,259.9,-315.64,-55.741,68.138,-25.713,-2.2529,185.98,0,3.2663e-05,0,0,0,0.55435,0.00023695,5.9416
709,392.24,316.76,31.676,257.87,-315.64,-57.769,53.768,-20.713,-2.1869,258.18,0,2.6312e-05,0,0,0,0.55323,0.00033719,8.2385
877.5,484.5,393,39.3,274.92,-315.64,-40.714,49.489,-4.1841,-2.1232,356.17,0,5.315e-06,0,0,0,0.55213,0.00041954,11.216
998.75,550.37,448.38,44.838,269.86,-315.64,-45.777,30.773,6.5094,-2.0617,392.99,0,0,-8.2689e-06,0,0,0.55106,0.00048175,12.409
1064,585.2,478.8,47.88,266.99,-315.64,-48.65,46.042,11.368,-2.0063,437.67,0,0,-1.4441e-05,0,0,0.55,0.00051458,13.754
1058.8,581.25,477.55,47.755,279.23,-315.64,-36.403,21.502,9.6315,-1.9526,422.57,0,0,-1.2235e-05,0,0,0.54897,0.00051328,13.323
993.5,544.4,449.1,44.91,281.24,-315.64,-34.393,40.318,17.998,-1.9007,426.21,0,0,-2.2863e-05,0,0,0.54796,0.00048266,13.344
880.75,481.75,399,39.9,275.52,-315.64,-40.116,102.69,73.574,-1.8506,493.4,0,0,-9.346e-05,0,0,0.54698,0.00042871,15.096
708.75,386.98,321.77,32.177,270.2,-315.64,-45.44,89.007,64.683,-1.8022,396.04,0,0,-8.2166e-05,0,0,0.54601,0.00034551,12.131
500.25,272.67,227.58,22.758,269.42,-315.64,-46.215,94.684,73.225,-1.7556,324.76,0,0,-9.3017e-05,0,0,0.54506,0.00024403,9.853
