NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure,Wind Speed
276.48,-102.96,61.292,-41.559,5.4516,0.12681,7.1067,41.831,401.49,3.7471
319.52,-106.84,71.116,-43.578,6.7764,0.13001,7.1447,40.565,396.12,3.8538
197.05,-79.715,64.723,-49.367,3.7431,0.12837,6.3256,44.525,407.35,4.1887
136.96,-45.09,26.912,-32.649,2.4297,0.12092,3.0584,60.599,441.92,3.6609
132.46,-37.358,25.182,-16.448,2.9291,0.11971,3.6344,63.435,498.21,2.9876
120.55,-44.802,34.403,-21.273,2.5073,0.12602,4.6048,59.301,486.68,3.0065
101.2,-44.131,29.918,-19.533,1.9029,0.12782,4.898,57.877,491.39,2.8334
170.67,-56.294,24.552,-13.354,3.5424,0.11179,3.5376,70.716,541.03,2.6684
312.78,-79.019,58.343,-17.506,7.7462,0.12298,5.4458,58.566,513.53,3.778
333.55,-107.98,77.741,-35.437,7.5566,0.1255,6.6302,47.93,451.23,4.1536
310.86,-106.4,84.107,-30.817,7.271,0.12417,8.1727,44.465,461.66,4.3342
219.48,-78.196,53.1,-56.033,3.9029,0.1271,5.1018,43.438,375.31,4.3685
318.41,-108.95,68.962,-59.342,6.1801,0.12447,6.4145,33.955,315.26,4.0026
262.44,-96.577,63.13,-54.328,4.9273,0.12381,6.4906,38.491,354.2,3.9812
339.04,-112.04,81.27,-45.696,7.407,0.12658,6.655,40.558,392.87,4.6551
342.86,-123.82,76.728,-59.901,6.6535,0.12633,7.8902,35.412,340.38,4.0469
335.52,-131.95,79.562,-71.259,5.9768,0.12744,9.4787,25.867,265.86,3.8572
334.64,-140.72,111.38,-88.449,6.1172,0.12695,12.007,17.911,217.14,4.3385
331.75,-141.6,111.4,-78.017,6.3058,0.12752,13.381,16.021,225.04,4.0026
326.58,-127.53,113.16,-43.016,7.5941,0.12648,12.736,28.098,404.87,4.211
328.79,-114.39,112.64,-10.542,8.9285,0.12553,12.44,37.999,543.37,4.1066
323.67,-128.25,115.4,-47.349,7.4325,0.12854,13.304,30.385,406.76,3.8904
251.12,-86.26,107.16,12.436,8.0244,0.12093,12.317,49.348,668.3,4.1093
208.59,-52.948,35.554,-29.311,4.5666,0.12896,2.8681,72.289,539.87,5.9105
108.56,-51.917,32.089,-62.225,0.74771,0.12479,3.0478,44.647,324.1,4.1867
304.35,-75.604,55.681,-43.683,6.7913,0.12042,3.9126,55.221,428.66,4.372
166.52,-43.815,57.433,-44.676,3.8214,0.12225,5.0084,53.806,460.88,5.1211
116.43,-26.448,23.718,-10.163,2.9207,0.11848,3.9576,67.892,542.78,2.7285
219.83,-69.75,53.577,-34.073,4.7839,0.11926,5.2139,52.127,445.92,3.6469
314.3,-100.46,61.331,-27.127,6.9971,0.12487,6.4814,52.898,482.51,3.9966
278.7,-100.76,67.718,-27.541,6.1532,0.12218,7.1376,51.181,486.63,5.1635
263.73,-83.269,65.557,-13.294,6.5652,0.11913,6.5985,61.194,570.92,5.2947
225.04,-82.354,69.196,-18.887,5.4443,0.1172,6.3585,55.928,528.72,4.8719
