NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure,Wind Speed
0,-75.7,27.04,-1.7295,-1.4215,NaN,4.413,71.67,599.96,3.034
0,-74.4,24.828,-9.3203,-1.6613,NaN,4.066,67.48,551.31,3.024
0,-74.05,21.481,-15.484,-1.9198,NaN,3.6915,63.71,506.98,2.883
0,-73.7,18.349,-20.735,-2.1463,NaN,3.317,59.94,464.55,2.742
0,-72.7,15.681,-23.182,-2.2625,NaN,3.078,56.86,433.29,2.5265
0,-71.7,13.223,-24.827,-2.35,NaN,2.839,53.78,402.94,2.311
0,-68.5,13.082,-31.936,-2.4642,NaN,2.572,49.79,366.05,2.525
3.602,-64.1,10.851,-28.333,-2.1998,0.45474,2.651,46.1,340.83,2.031
115.59,-72.1,13.952,-26.44,0.87457,0.1163,3.416,45.895,358.19,2.0255
227.58,-80.1,17.039,-24.479,3.9505,0.10753,4.181,45.69,376.31,2.02
645.72,-121.1,25.079,-20.667,14.924,0.10528,8.11,32.39,349.9,1.533
812.8,-155.4,58.776,-46.827,18.882,0.11363,10.07,24.14,297.63,2.894
861.85,-162.95,93.945,-74.133,20.275,0.11921,10.525,22.545,286.54,4.425
910.9,-170.5,131.94,-103.5,21.689,0.12413,10.98,20.95,274.46,5.956
747,-163.2,106.62,-76.529,17.318,0.12632,11.42,21.55,290.68,4.627
763.1,-169.1,75.007,-41.706,17.696,0.12888,11.97,25.09,350.95,3.106
722.3,-141.6,128.85,-73.638,17.939,0.13185,11.33,26.7,358,5.637
246.01,-103.2,135.59,-71.063,5.8489,0.1267,10.67,30.58,392.44,6.297
388.39,-102.2,109.52,-63.589,9.3689,0.14225,10.08,30.98,382.22,5.383
143.13,-105.3,103.43,-57.097,2.3741,0.14396,9.48,34.3,406.49,5.407
38.533,-94.7,126.23,-68.604,0.041116,0.14561,8.89,37.07,422.19,7.037
9.042,-89.2,124.19,-60.282,-0.45856,0.26248,8.33,41.3,452.87,7.383
0,-84.7,51.488,-21.696,-1.5489,NaN,7.693,46.11,484.17,3.313
0,-80.9,24.839,-11.61,-1.909,NaN,6.788,49.32,486.78,1.81
0,-77.2,16.041,-10.366,-2.0177,NaN,5.092,54.93,482.15,1.558
0,-73.8,14.283,-12.585,-2.034,NaN,4.372,55.13,460.18,1.616
0,-71.75,13.053,-12.938,-2.0208,NaN,4.2455,53.945,446.31,1.5215
0,-69.7,11.872,-13.141,-2.002,NaN,4.119,52.76,432.65,1.427
0,-68.3,20.322,-26.048,-2.0882,NaN,3.803,52.41,420.35,2.646
0,-70.2,9.4251,-16.234,-2.1724,NaN,3.294,50.29,389.13,1.417
0,-69.85,8.6121,-16.716,-2.1991,NaN,3.2735,46.91,362.45,1.3025
0,-69.5,7.8082,-16.878,-2.2164,NaN,3.253,43.53,335.85,1.188
15.128,-71.6,9.6423,-27.355,-2.0927,0.23712,2.669,42.49,314.54,1.787
204.19,-78.2,13.06,-27.775,3.139,0.11067,3.616,39.14,309.81,1.786
506.44,-115.35,32.246,-36.537,10.912,0.11352,6.778,31.445,310.14,2.352
808.7,-152.5,58.682,-48.322,18.803,0.11424,9.94,23.75,290.28,2.918
931.9,-171.5,115.38,-105.16,21.739,0.12085,10.22,19.76,246.08,5.581
1005.8,-183.7,119.46,-101.26,23.705,0.12463,11.25,17.81,237.54,5.251
997.35,-181,157.03,-113.84,24.247,0.12781,11.625,20.55,280.97,6.6805
988.9,-178.3,196.75,-119.17,25.055,0.13102,12,23.29,326.42,8.11
878.7,-168.75,190.77,-98.252,22.637,0.13258,11.835,26.855,372.31,7.972
768.5,-159.2,184.88,-78.408,20.192,0.13457,11.67,30.42,417.16,7.834
263.52,-108,163.84,-60.364,7.3063,0.13344,10.3,36.93,462.38,7.866
183.49,-93.8,135.74,-33.836,5.4047,0.13814,9.09,45.24,522.24,7.383
99.791,-88.65,106.33,-30.962,2.4404,0.14628,8.522,46.25,513.79,6.1685
16.092,-83.5,79.709,-27.076,-0.4168,0.22931,7.954,47.26,505.15,4.954
0,-82.1,29.146,-8.1826,-1.7246,NaN,7.202,52.37,531.76,2
0,-77.8,12.701,-4.4748,-1.9627,NaN,5.351,60.1,537.12,1.173
0,-73.7,21.715,-10.311,-1.7574,NaN,4.539,62.35,526.56,2.365
0,-71,19.969,-8.383,-1.6761,NaN,4.35,64.73,539.48,2.27
0,-69.5,21.544,-11.217,-1.6692,NaN,3.907,65.77,531.37,2.728
0,-70,22.206,-13.603,-1.732,NaN,3.844,64.51,518.89,2.86
0,-69.6,14.973,-14.509,-1.9503,NaN,3.21,63.62,489.36,2.31
0,-68.2,8.6738,-12.637,-2.0357,NaN,2.796,60.48,451.76,1.537
0,-68.2,8.5647,-14.907,-2.1028,NaN,2.42,61.38,446.4,1.754
0,-68.5,10.329,-26.627,-2.3921,NaN,1.99,58.2,410.5,2.572
14.332,-69.5,11.742,-26.339,-1.9681,0.23399,2.304,56.7,408.98,2.525
179.86,-76.1,17.78,-26.62,2.6777,0.1118,4.098,45.32,371.1,2.149
500.48,-108.3,46.767,-44.61,11.124,0.11459,6.719,36.685,360.36,3.447
821.1,-140.5,89.503,-69.017,19.777,0.11519,9.34,28.05,329.3,4.745
892.1,-142,154.24,-120.4,22.114,0.12281,9.92,25.25,308.2,7.701
693.8,-126.1,174.09,-127.43,17.331,0.12675,10.11,26.02,321.67,8.53
536.92,-103.7,175.92,-120.79,13.776,0.12725,9.785,28.795,348.31,8.905
380.03,-81.3,177.27,-113.74,10.219,0.12817,9.46,31.57,373.63,9.28
178.46,-62.1,100.22,-66.042,4.2467,0.12946,9.09,32.64,376.79,5.461
153.31,-52.5,120.62,-83.964,3.8777,0.12892,8.91,32.31,368.48,6.705
145.63,-57.75,91.546,-65.645,3.2099,0.13054,9,31.26,358.67,5.0385
137.96,-63,61.875,-45.663,2.5719,0.13233,9.09,30.21,348.74,3.372
77.72,-63.4,68.703,-52.67,0.85623,0.13908,8.193,33.63,365.35,4.1525
17.479,-63.8,72.708,-59.187,-0.92528,0.18891,7.296,37.05,378.63,4.933
0,-65.1,47.718,-36.829,-1.5293,NaN,6.221,44.58,423.15,3.797
0,-79.3,14.676,-13.666,-2.2085,NaN,5.222,47.5,420.72,1.391
0,-74.45,13.56,-16.04,-2.1702,NaN,4.1255,51.195,420.01,1.6265
0,-69.6,11.399,-18.668,-2.1684,NaN,3.029,54.89,416.83,1.862
0,-51.5,14.387,-24.486,-1.7377,NaN,2.684,58.33,432.26,2.653
0,-47.2,8.3007,-15.145,-1.5246,NaN,2.502,59.12,432.48,1.643
0,-59.1,7.6367,-16.308,-1.9118,NaN,2.046,62.16,440.19,1.849
0,-59.9,8.4922,-24.269,-2.1348,NaN,1.552,64.02,437.62,2.711
0,-36.2,12.251,-25.94,-1.4073,NaN,2.253,59.06,424.45,2.693
3.423,-30.8,6.5034,-16.759,-1.0616,0.28103,1.794,61.85,430.18,1.795
50.956,-40.6,9.6409,-20.82,-0.023213,0.13824,2.617,52.87,389.93,1.824
98.49,-50.4,12.875,-25.63,0.99679,0.13225,3.44,43.89,343.12,1.853
197.48,-52.2,35.669,-53.886,3.5844,0.12192,5.402,32.53,291.76,3.269
306.41,-55.1,52.17,-62.309,6.8033,0.12128,6.259,33.47,318.53,4.126
436.58,-65.8,74.597,-85.19,10.161,0.12403,6.6065,32.385,315.67,5.5865
566.76,-76.5,99.1,-108.63,13.561,0.12551,6.954,31.3,312.46,7.047
460.99,-82.5,101.98,-99.301,10.753,0.12542,7.351,32.23,330.62,6.859
344.51,-64.9,100.02,-93.456,8.0728,0.12517,6.396,39.22,376.79,7.728
277.88,-42.5,48.352,-32.091,7.0986,0.10966,3.653,65.01,515.93,6.537
211.24,-20.1,9.857,-5.0491,5.5276,0.08316,0.91,90.8,592.71,5.346
159.6,-17,5.9412,-8.0712,3.9626,0.081703,0.527,91.8,582.91,5.564
