SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
367.05,-132.14,234.91,-24.515,4.8899,-1.4671,6.0319
323.16,-116.34,206.82,-22.856,9.3315,-9.0408,5.1978
176.74,-63.627,113.11,-20.437,4.5995,-3.4775,2.646
91.243,-32.848,58.396,-24.047,4.8161,-3.1812,1.0151
82.43,-29.675,52.755,-22.457,3.1736,-2.6991,0.86809
121.82,-43.856,77.967,-17.775,3.8997,-2.1057,1.7486
178.93,-64.415,114.52,-19.1,1.2833,-0.84143,2.7041
66.673,-24.002,42.67,-25.652,1.2876,-0.447,0.50379
134.16,-48.296,85.86,-23.653,0.74028,-0.32998,1.7664
338.07,-121.7,216.36,-26.6,1.5157,-0.73451,5.3752
317.16,-114.18,202.98,-17.419,8.2979,-5.3068,5.319
81.792,-29.445,52.347,-26.933,1.9459,-0.8787,0.74703
313.6,-112.9,200.7,-28.898,7.9259,-11.704,4.74
265.45,-95.56,169.88,-27.158,2.9203,-1.9291,4.0542
327.83,-118.02,209.81,-26.126,4.0409,-3.3338,5.2017
344.21,-123.92,220.3,-21.52,7.8652,-6.3084,5.6513
350.13,-126.05,224.09,-14.128,6.6738,-4.5919,5.9816
347.7,-125.17,222.53,-1.2155,13.89,-8.0558,6.4077
349.52,-125.83,223.69,8.0048,9.3001,-4.6259,6.6679
331.06,-119.18,211.88,1.4154,8.0818,-2.7832,6.1664
329.08,-118.47,210.61,0.4662,8.3537,1.5632,6.2343
336.48,-121.13,215.34,5.3521,12.818,-1.1091,6.5561
244.96,-88.186,156.78,0.61666,8.8092,-0.87565,4.6638
109.85,-39.546,70.303,-38.6,2.139,-0.012702,0.95431
60.75,-21.87,38.88,-23.553,9.9011,-15.051,0.28708
214.41,-77.189,137.22,-35.543,0.46321,-0.30025,2.873
131.62,-47.382,84.234,-30.929,0.70961,0.2954,1.5321
35.625,-12.825,22.8,-22.318,0.29414,0.0038465,0.022006
149.62,-53.864,95.757,-25.758,4.5245,-3.0802,2.0154
224.75,-80.911,143.84,-22.526,2.6033,-1.5716,3.4514
194.14,-69.89,124.25,-16.13,2.3573,-0.30462,3.1079
190.84,-68.702,122.14,-11.96,0.59611,-0.093505,3.1222
