HOUR,SW,LW,SHF,LHF
1,-1.2285,-25.784,8.1902,-6.2473
2,-1.2437,-26.142,6.8131,-5.7587
3,-1.2573,-26.39,7.7295,-7.4117
4,-1.3041,-26.536,9.4588,-9.5681
5,-1.2844,-26.768,10.043,-11.054
6,-1.2784,-17.156,9.3911,-10.933
7,-1.3054,6.4528,8.3114,-10.259
8,-0.61847,5.9725,9.0613,-11.026
9,8.1581,4.4924,8.8998,-11.188
10,25.425,3.9432,7.0956,-8.6268
11,45.18,5.1258,5.2394,-5.4977
12,143.44,-0.98587,2.7341,-2.932
13,372.39,-18.798,1.6053,-1.2592
14,553.31,-36.198,0.72122,-0.29112
15,539.56,-33.833,1.3186,-0.60843
16,492.86,-31.078,3.2072,-1.1976
17,432.66,-31.662,4.2507,-1.5051
18,336.31,-36.364,3.9684,-1.4262
19,197.01,-38.441,3.3347,-1.2044
20,87.075,-19.059,4.0896,-1.3892
21,20.698,-22.553,5.9227,-2.5518
22,5.0564,-24.538,7.1387,-4.1897
23,-0.82525,-25.654,6.8466,-4.5768
24,-1.1153,-25.999,7.1042,-4.7381
