SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-2.244,0.80784,-1.4362,-31.692,5.4864,1.4592,-0.73862
-2.606,0.93816,-1.6678,-33.084,14.278,0.68493,-0.55825
-2.61,0.9396,-1.6704,-31.756,11.3,-1.5969,-0.66922
-2.961,1.066,-1.895,-34.301,10.954,-4.5658,-0.84086
-2.987,1.0753,-1.9117,-34.252,12.019,-4.6627,-0.81266
-2.389,0.86004,-1.529,2.2011,0,0,0.018962
-2.522,0.90792,-1.6141,-1.2477,9.816,-5.8518,0.031099
10.53,-3.7908,6.7392,-1.5252,5.2817,-2.5458,0.22427
44.31,-15.952,28.358,-2.3682,0,0,0.73318
38.64,-13.91,24.73,0.85018,0,0,0.7216
152.2,-54.792,97.408,-1.3149,0,0,2.7108
862,-310.32,551.68,-31.841,0,0,14.664
1025,-369,656,-46.595,10.954,-4.9755,17.36
965,-347.4,617.6,-39.147,0,0,16.318
1154,-415.44,738.56,-43.213,2.4588,-1.3935,19.646
1141,-410.76,730.24,-40.943,0,0,19.445
1097,-394.92,702.08,-38.893,0,0,18.708
954,-343.44,610.56,-41.64,0,0,16.049
809.9,-291.56,518.34,-39.966,0,0,13.495
509.3,-183.35,325.95,-4.5554,0,0,9.0665
57.93,-20.855,37.075,-17.098,0,0,0.56355
11.84,-4.2624,7.5776,-20.917,10.683,-5.1766,-0.22096
-2.636,0.94896,-1.687,-27.138,13.616,-4.3428,-0.55156
-2.392,0.86112,-1.5309,-27.92,10.512,-2.243,-0.59752
-1.947,0.70092,-1.2461,-28.587,0,0,-0.84158
-1.9105,0.68778,-1.2227,-26.573,7.2878,-2.9999,-0.66314
-1.874,0.67464,-1.1994,-24.547,14.361,-8.4744,-0.56025
-3.067,1.1041,-1.9629,-22.606,17.426,-13.395,-0.57936
-3.031,1.0912,-1.9398,-25.738,21.853,-20.258,-0.73578
-2.995,1.0782,-1.9168,4.1924,24.566,-27.421,-0.016331
-2.541,0.91476,-1.6262,5.222,27.373,-33.534,-0.07238
2.991,-1.0768,1.9142,10.765,39.164,-45.87,0.16851
23.68,-8.5248,15.155,11.954,40.881,-46.733,0.59967
38.05,-13.698,24.352,4.9486,3.9374,-4.2784,0.81694
173.8,-62.568,111.23,-0.37953,0,0,3.1271
886,-318.96,567.04,-37.076,3.4514,-2.784,14.969
1035,-372.6,662.4,-41.325,6.5176,-4.6947,17.572
1144,-411.84,732.16,-44.457,2.743,-1.6858,19.43
1208,-434.88,773.12,-40.711,0,0,20.661
1095,-394.2,700.8,-40.99,0,0,18.613
968,-348.48,619.52,-41.036,0,0,16.319
651.1,-234.4,416.7,-42.612,0,0,10.553
257.8,-92.808,164.99,-47.843,0,0,3.3047
208.6,-75.096,133.5,-18.759,0,0,3.2369
70.73,-25.463,45.267,-22.581,0,0,0.63997
14.69,-5.2884,9.4016,-25.245,0,0,-0.44694
-2.118,0.76248,-1.3555,-27.296,0,0,-0.80826
-2.111,0.75996,-1.351,-27.267,14.393,-4.8502,-0.53809
-2.252,0.81072,-1.4413,-26.841,9.1862,-3.6338,-0.64119
-2.393,0.86148,-1.5315,-28.014,6.8645,-3.3538,-0.73443
-2.4385,0.87786,-1.5606,-29.277,6.6218,-3.5464,-0.78316
-2.484,0.89424,-1.5898,-30.536,6.3856,-3.7485,-0.83186
-2.854,1.0274,-1.8266,-31.164,4.3952,-2.8094,-0.88591
-2.499,0.89964,-1.5994,1.7363,12.427,-9.9965,0.072438
-2.016,0.72576,-1.2902,2.4748,17.437,-16.382,0.063185
1.566,-0.56376,1.0022,2.9857,9.3323,-9.2315,0.11534
22.18,-7.9848,14.195,0.57326,4.7113,-4.8628,0.41234
38.84,-13.982,24.858,3.9952,7.5826,-7.533,0.81533
163.2,-58.752,104.45,-1.3614,4.6737,-4.0909,2.9245
623.4,-224.42,398.98,-25.355,0,0,10.54
