SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
368.03,110.41,257.62,50.807,251.98,-305.4,-53.413,9.1429,1.735,12.868,177.14,0.00012521,5.1592e-07,-2.7199e-06,0,0,0.30006,0.0031531,6.0674
324.06,97.218,226.84,45.326,247.77,-303.7,-55.932,18.231,-5.0072,10.291,149.1,0.00013612,7.0279e-06,-6.6727e-07,0,0,0.30001,0.00047953,5.1943
177.54,53.263,124.28,24.856,304.13,-312.74,-8.6112,6.4621,-3.4121,-2.3809,91.482,6.3428e-05,4.3344e-06,0,0,0,0.3,0.00026567,3.349
91.628,27.488,64.139,12.828,319.22,-315.44,3.7744,5.7063,-4.0124,-3.7829,52.997,4.1521e-05,5.0969e-06,0,0,0,0.3,0.0001379,1.9636
82.684,24.805,57.879,11.576,317.51,-315.5,2.0072,3.7166,-3.3636,-2.3531,46.31,7.288e-06,4.2789e-06,-6.1495e-09,0,0,0.3,0.00012471,1.6993
122.42,36.726,85.695,17.139,333.79,-315.64,18.156,5.0573,-2.8951,-1.679,87.195,0,3.6776e-06,0,0,0,0.3,0.00018468,2.9906
179.42,53.826,125.59,25.119,341.12,-315.64,25.488,1.9564,-1.4422,-1.1832,125.29,0,1.832e-06,0,0,0,0.3,0.00027069,4.2765
67.026,20.108,46.918,9.1647,292.33,-311.37,-19.044,1.6764,-0.32198,3.7591,23.823,6.0762e-06,6.9485e-07,-2.8584e-07,0,0,0.3,9.7818e-05,0.82452
134.51,40.353,94.155,17.638,238.32,-298.64,-60.323,2.2449,0.89275,17.454,36.786,2.2397e-05,6.5473e-09,-1.1406e-06,0,0,0.30001,0.00017641,1.0429
339.02,101.71,237.31,45.006,245.66,-296.5,-50.836,3.9322,1.0369,15.106,161.55,6.8311e-05,1.5612e-07,-1.4733e-06,0,0,0.30003,0.00047889,5.4006
318.16,95.448,222.71,44.459,247.2,-300.4,-53.203,14.566,-1.6058,7.169,145.18,4.4456e-05,3.5033e-06,-1.4635e-06,0,0,0.30001,0.00046727,5.1474
82.552,24.768,57.785,10.696,266.61,-304.39,-37.782,4.4269,1.1853,2.2471,17.166,8.1965e-05,6.1291e-09,-1.5118e-06,0,0,0.30006,0.00010835,0.72259
314.52,94.355,220.16,43.951,233.4,-297.84,-64.435,20.825,-5.3424,10.188,137.45,4.8644e-05,7.6736e-06,-8.8711e-07,0,0,0.3,0.0004613,4.8297
266.38,79.918,186.46,34.856,258.35,-300.66,-42.308,7.15,1.288,5.1547,122.89,9.0621e-05,7.0047e-08,-1.7062e-06,0,0,0.30005,0.00036767,4.3045
328.84,98.654,230.18,44.243,240.26,-296.75,-56.487,10.457,1.259,9.3527,150.52,6.3014e-05,1.2251e-06,-2.8244e-06,0,0,0.30005,0.0004707,5.2304
345.27,103.59,241.69,46.586,239.9,-299.24,-59.339,18.055,0.82627,5.3285,159.97,-7.2163e-06,5.7962e-07,-1.6292e-06,0,0,0.30007,0.00049673,5.6766
351.17,105.35,245.82,49.111,240.87,-296.11,-55.242,12.927,-0.77729,8.4555,162.07,8.3588e-05,1.3326e-06,-3.452e-07,0,0,0.3,0.00052208,5.7189
348.65,104.59,244.05,48.811,246.19,-296.6,-50.409,19.434,-6.1714,6.3687,164.47,0.00015432,7.8492e-06,-9.719e-09,0,0,0.3,0.00051814,5.8368
350.69,105.21,245.48,49.097,249.36,-297.19,-47.829,13.548,-2.9959,5.604,164.71,0.00013145,3.8177e-06,-1.2008e-08,0,0,0.3,0.00051772,5.8735
332.07,99.622,232.45,46.353,255.02,-297.82,-42.801,12.385,-0.16108,4.5265,160.05,7.3782e-05,2.1764e-06,-1.9718e-06,0,0,0.30001,0.00049041,5.6948
329.74,98.924,230.81,44.391,263.21,-301.22,-38.012,10.83,3.5014,0.54523,163.29,5.8747e-05,0,-4.4478e-06,0,0,0.30006,0.00047497,5.8431
337.15,101.15,236,45.432,261.4,-299.45,-38.043,15.379,-0.18583,3.6326,171.35,0.00013104,1.4007e-06,-1.1646e-06,0,0,0.30007,0.00048467,6.013
245.53,73.658,171.87,34.158,282.75,-307.65,-24.902,11.542,0.91291,-5.4302,119.83,0.00017218,1.3203e-06,-2.48e-06,0,0,0.30001,0.00036167,4.4972
110.08,33.037,77.043,13.262,267.04,-305.59,-38.554,6.5086,4.2095,-0.76007,35.185,6.649e-05,6.713e-08,-5.4144e-06,0,0,0.30016,0.00012908,1.3881
61.606,18.482,43.124,8.6248,329.22,-314.57,14.651,12.167,-18.284,-10.265,32.768,-2.7901e-05,2.3227e-05,-4.519e-10,0,0,0.3,9.2355e-05,1.4572
214.7,64.41,150.28,28.594,238.18,-296.12,-57.942,2.6374,1.2962,14.32,82.003,6.3085e-05,3.2991e-08,-1.6795e-06,0,0,0.30003,0.00028681,2.7159
131.67,39.503,92.171,17.657,296.3,-308.81,-12.511,1.394,0.96507,-4.8448,59.518,3.3668e-05,2.2244e-07,-1.4484e-06,0,0,0.30002,0.00018474,2.3137
35.808,10.742,25.066,5.0122,326.77,-315.59,11.185,0.33567,0.007561,-10.256,21.326,5.6728e-05,6.449e-08,-7.4094e-08,0,0,0.3,5.396e-05,1.0323
150.61,45.183,105.43,21,267.54,-305.51,-37.968,8.4816,-0.64351,4.3974,58.694,6.1679e-05,2.1197e-06,-1.3022e-06,0,0,0.30002,0.00021745,2.1241
225.66,67.701,157.96,30.313,242.15,-297.55,-55.393,7.247,1.9077,12.029,93.436,8.5088e-05,3.0032e-07,-2.7237e-06,0,0,0.30005,0.00031829,3.1516
194.97,58.492,136.48,25.293,243.95,-294.28,-50.325,3.9048,0.63541,12.296,77.7,0.00013025,8.2603e-08,-8.8976e-07,0,0,0.3,0.00025062,2.5585
191.46,57.439,134.02,25.688,248.76,-294.43,-45.67,1.8054,0.48533,9.8187,74.773,0.00012672,1.3961e-07,-7.5611e-07,0,0,0.30004,0.00026369,2.557
141.56,42.468,99.092,19.581,294.61,-306.75,-12.141,3.0493,-0.50551,-6.2646,63.65,1.5995e-05,8.2469e-07,-1.8254e-07,0,0,0.30001,0.00020859,2.5246
194.89,58.468,136.42,25.847,242.05,-295.5,-53.449,8.264,1.7682,10.106,77.261,-1.6336e-06,3.7522e-08,-2.2836e-06,0,0,0.30003,0.00026464,2.6236
148.94,44.684,104.26,20.059,282.12,-303.69,-21.577,2.9079,0.54765,-1.8739,64.204,3.9083e-05,6.1045e-07,-1.3061e-06,0,0,0.30005,0.00020611,2.4299
195.7,58.715,136.99,24.063,242.48,-294.73,-52.253,4.5237,0.75276,10.023,75.973,0.00011731,3.5934e-07,-1.3156e-06,0,0,0.30002,0.00024877,2.5392
311.7,93.512,218.19,42.023,251.55,-297.73,-46.184,11.4,0.33693,4.2161,145.94,0.00010332,1.1725e-06,-1.6005e-06,0,0,0.30003,0.00044858,5.1833
300.02,90.006,210.01,39.136,239.82,-297.41,-57.587,18.612,-0.80373,4.8514,135.95,6.5825e-05,2.1428e-06,-1.1219e-06,0,0,0.30002,0.00041652,4.8022
288.2,86.47,201.73,37.535,241.22,-296.85,-55.625,14.774,2.9644,4.715,131.02,0.00010138,2.9232e-07,-4.0579e-06,0,0,0.30009,0.00039835,4.622
290.4,87.121,203.28,40.64,281.91,-306.48,-24.569,16.405,-2.9673,-6.7108,144.8,4.8375e-05,4.4089e-06,-6.3961e-07,0,0,0.30002,0.00043213,5.4205
281.1,84.334,196.76,36.722,251.1,-296.98,-45.881,7.7505,1.42,7.5201,130.85,0.00011169,2.2561e-07,-2.0294e-06,0,0,0.30005,0.00038198,4.515
285.6,85.68,199.92,39.984,237.53,-294.91,-57.383,21.628,-4.9889,7.8435,127.04,0.0002095,6.4848e-06,-1.4749e-07,0,0,0.30001,0.00042316,4.4903
253.74,76.122,177.62,35.36,240.49,-294.07,-53.575,16.175,-3.6005,7.7805,109.04,0.00011733,5.0032e-06,-4.2949e-07,0,0,0.30001,0.00036369,3.8539
270.54,81.162,189.38,35.553,235.15,-290.75,-55.597,13.794,-0.86521,10.736,121.89,8.9182e-05,1.6937e-06,-5.9461e-07,0,0,0.30001,0.00037621,4.1386
265.53,79.658,185.87,37.157,235.67,-289.7,-54.034,13.049,-0.90614,9.52,116.34,4.243e-05,1.4061e-06,-2.5501e-07,0,0,0.30001,0.00039113,4.0615
264.44,79.331,185.11,37.01,242.9,-293.13,-50.225,17.245,-1.0593,4.2743,118.33,0.0002059,1.8504e-06,-5.0482e-07,0,0,0.3,0.00038929,4.2615
261.08,78.329,182.76,34.201,241.64,-293.48,-51.845,16.031,1.2493,4.676,118.67,2.8691e-05,3.7253e-07,-1.9595e-06,0,0,0.30004,0.00036267,4.1804
262.12,78.636,183.48,36.626,235.36,-291.8,-56.441,19.697,-2.0651,5.9695,114.02,9.4943e-05,4.4454e-06,-1.8222e-06,0,0,0.30003,0.00038585,4.0813
262.44,78.733,183.71,36.642,239.06,-293.71,-54.659,18.677,-1.9136,3.7957,112.97,9.0585e-05,3.4069e-06,-9.7604e-07,0,0,0.30002,0.00037834,4.1134
264.41,79.322,185.09,36.96,239.05,-291.78,-52.733,20.088,-4.8335,5.9924,116.64,0.00011967,6.7988e-06,-6.588e-07,0,0,0.30001,0.00039012,4.164
253.18,75.954,177.23,35.445,244.78,-291.72,-46.94,15.602,-2.3705,5.2963,113.37,0.00017377,3.059e-06,-4.7705e-08,0,0,0.30001,0.00037366,4.0486
251.7,75.511,176.19,35.231,251.19,-291.67,-40.473,8.4081,-0.95364,5.2233,113.17,-4.1018e-06,1.3478e-06,-1.3636e-07,0,0,0.3,0.00037061,4.0389
263.57,79.073,184.5,35.611,252.75,-294.76,-42.017,8.9992,-0.48892,1.0844,116.47,3.3399e-05,1.458e-06,-8.3696e-07,0,0,0.30002,0.00037645,4.2595
247.97,74.391,173.58,32.655,255.17,-292.33,-37.162,6.6893,-0.21738,5.1281,115.36,7.2354e-05,7.121e-07,-4.3596e-07,0,0,0.30002,0.00034611,4.0308
246.37,73.911,172.46,34.492,240.65,-293.81,-53.16,29.155,-9.2284,2.8686,107.6,0.00015222,1.1723e-05,0,0,0,0.3,0.00036333,3.9275
259.24,77.772,181.47,36.293,241.01,-294.4,-53.391,24.301,-9.7163,2.8226,109.19,7.7392e-05,1.2421e-05,-7.8653e-08,0,0,0.3,0.00038051,4.0244
169.83,50.948,118.88,23.771,242.48,-300.06,-57.577,25.935,-7.4872,-3.898,52.079,0.00017475,9.6319e-06,-1.21e-07,0,0,0.3,0.00023739,2.2497
