HOUR,SW,LW,SHF,LHF,T surface,T Air
1,0.032799,-35.294,17.951,0.18011,266.94,279.36
2,0.015876,-34.744,15.892,0.24242,266.63,279.29
3,0.0062225,-36.27,18.715,-0.3798,266.71,279.24
4,0.0067991,-37.306,21.876,-1.9427,266.73,279.21
5,0.0040452,-38.482,23.849,-2.4191,266.76,279.17
6,0.0035759,-37.878,22.543,-3.2068,266.48,279.18
7,0.0021269,-37.587,20.707,-2.969,266.23,279.15
8,0.33305,-38.596,22.299,-3.0307,266.31,279.07
9,8.9655,-41.162,22.334,-2.7928,266.79,279.02
10,27.806,-42.852,16.431,-3.3747,267.39,279.27
11,49.413,-43.178,10.869,-2.7043,267.86,279.78
12,156.88,-47.614,5.4031,-1.7537,269.38,280.42
13,407.29,-57.493,2.0806,-1.5095,272.66,281.52
14,605.18,-55.328,0.94606,-0.4393,273.15,282.29
15,590.14,-53.772,1.6736,-0.8355,273.15,282.5
16,539.06,-53.078,3.7444,-1.5021,273.15,282.56
17,473.23,-52.375,4.873,-1.8582,273.13,282.51
18,367.84,-52.711,4.5748,-1.7436,273.05,282.15
19,215.48,-49.585,4.2901,-1.1117,271.97,281.47
20,95.238,-42.059,6.3913,-0.34315,269.76,280.7
21,22.638,-37.349,10.744,0.49642,268.23,280.01
22,5.7843,-35.231,14.936,1.2429,267.43,279.61
23,0.18013,-34.268,15.412,1.4114,266.93,279.39
24,0.039245,-34.775,15.956,1.3893,266.86,279.32
