SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
0,0,0,0,251.25,-307.04,-55.792,8.4084,4.3659,43.019,0.00071697,0.00049933,0,-5.546e-06,0,0,0.3,0.062708,-1.2135
0,0,0,0,248.9,-303.07,-54.179,25.742,11.085,17.351,0,-0.00012051,0,-1.4081e-05,0,0,0.30002,0,-0.48949
0,0,0,0,248.65,-299.6,-50.947,21.552,7.4089,21.987,0.00064117,0.00058433,0,-9.4114e-06,0,0,0.30008,0,-0.62023
0,0,0,0,245.24,-297.88,-52.641,23.094,5.4992,24.048,0.00072166,0.00059714,0,-6.9856e-06,0,0,0.30012,0,-0.67836
0,0,0,0,245.45,-298.71,-53.256,24.873,5.9652,22.416,0,-0.00012519,0,-7.5776e-06,0,0,0.30015,0,-0.63238
0,0,0,0,246.98,-286.75,-39.766,0.2401,0.070842,39.455,0,-5.3388e-05,0,-8.999e-08,0,0,0.30018,0,-1.113
0,0,0,0,244.37,-295.49,-51.123,21.583,3.6078,25.932,0.00081341,0.0005674,0,-4.5829e-06,0,0,0.30018,0,-0.73152
10.53,3.161,7.369,0.7369,245.65,-294.17,-48.521,11.742,2.7592,27.387,0.00040066,0.0003153,0,-3.505e-06,0,0,0.30019,0,-0.75179
44.31,13.302,31.008,3.1008,246.76,-297.88,-51.125,1.4406,0.23433,21.543,0.00077973,0.00069255,0,-2.9766e-07,0,0,0.30021,0,-0.52024
38.64,11.6,27.04,2.704,247.63,-295.95,-48.314,0,0,23.977,0,-2.0565e-05,-0,-0,0,0,0.30021,0,-0.60012
152.2,45.691,106.51,10.651,246.89,-315.64,-68.747,1.0772,-0.90737,-4.216,23.065,0,1.1526e-06,0,0,0,0.3002,0.00011472,1.07
862,258.6,603.4,120.68,257.55,-315.64,-58.089,0,-0,-4.0858,420.55,0,0,0,0,0,0.3,0.0013007,15.383
1025,307.5,717.5,143.5,254.41,-315.64,-61.225,12.149,-5.9497,-3.9592,515.01,0,7.5578e-06,0,0,0,0.3,0.0015466,18.688
965,289.5,675.5,135.1,257.76,-315.64,-57.878,1.4257,-0.73601,-3.837,479.37,0,9.3494e-07,0,0,0,0.3,0.0014561,17.442
1154,346.2,807.8,161.56,257.54,-315.64,-58.101,3.1301,-1.9322,-3.7193,585.62,0,2.4545e-06,0,0,0,0.3,0.0017413,21.183
1141,342.3,798.7,159.74,258.37,-315.64,-57.267,0.29989,-0.19021,-3.6055,578.2,0,2.4162e-07,0,0,0,0.3,0.0017217,20.919
1097,329.1,767.9,153.58,260.05,-315.64,-55.59,0,-0,-3.4959,555.23,0,0,0,0,0,0.3,0.0016553,20.094
954,286.2,667.8,133.56,258.74,-315.64,-56.896,0,-0,-3.3903,473.95,0,0,0,0,0,0.3,0.0014395,17.233
809.9,242.97,566.93,113.39,259.97,-315.64,-55.663,0,-0,-3.2887,394.59,0,0,0,0,0,0.3,0.001222,14.423
509.3,152.79,356.51,71.302,259.44,-315.64,-56.193,0,-0,-3.191,225.82,0,0,0,0,0,0.3,0.00076844,8.4718
57.93,17.379,40.551,8.1102,252.76,-301.74,-48.977,0.18717,-0.032015,16.381,0,-7.3817e-05,4.0669e-08,0,0,0,0.3,1.0757e-11,-0.23332
11.84,3.552,8.288,1.6576,252.23,-298.31,-46.073,18.144,0.27445,21.024,0,-0.00023617,0,-3.4863e-07,0,0,0.3,7.2901e-13,-0.54633
0,0,0,0,250.31,-299.02,-48.717,24.586,4.4971,19.633,0,-0.00016646,0,-5.7126e-06,0,0,0.3,0,-0.55386
0,0,0,0,250.68,-297.52,-46.838,19.755,5.6196,21.464,0.00081274,0.00054503,0,-7.1385e-06,0,0,0.30002,0,-0.60547
0,0,0,0,247.7,-288.08,-40.375,3.9777,1.5245,34.873,0.00065768,0.00058862,0,-1.9365e-06,0,0,0.30005,0,-0.98375
0,0,0,0,247.29,-292.76,-45.463,14.943,3.1185,27.4,0,-0.00011683,0,-3.9614e-06,0,0,0.30005,0,-0.77298
0,0,0,0,246.55,-296.06,-49.507,26.747,0.62089,22.138,0,-0.00016293,0,-7.8871e-07,0,0,0.30007,0,-0.62453
0,0,0,0,245.23,-295.79,-50.567,32.048,-3.6505,22.17,0.0011114,0.00060043,4.6371e-06,0,0,0,0.30007,0,-0.62539
0,0,0,0,242.09,-296.67,-54.575,42.107,-8.0834,20.552,0.00087521,0.00068541,1.0268e-05,0,0,0,0.30005,0,-0.57974
0,0,0,0,238.99,-296.75,-57.758,50.835,-13.191,20.114,0,-0.00017672,1.6757e-05,0,0,0,0.30002,0,-0.56743
0,0,0,0,237.76,-296.28,-58.515,57.005,-18.973,20.484,0.00092078,0.0007975,2.4101e-05,0,0,0,0.3,0,-0.57781
2.991,0.8973,2.0937,0.41874,239.05,-298.51,-59.458,74.36,-33.531,16.956,0.00123,0.00089956,4.2594e-05,0,0,0,0.3,2.1951e-15,-0.46647
23.68,7.104,16.576,3.3152,239.7,-300.57,-60.864,71.941,-38.103,13.764,0,-0.00040316,4.8402e-05,0,0,0,0.3,7.087e-14,-0.29479
38.05,11.415,26.635,5.327,239.83,-292.66,-52.831,8.2621,-1.7483,25.01,0.0006527,0.00045024,2.2208e-06,0,0,0,0.3,1.749e-13,-0.55523
173.8,52.14,121.66,24.332,242.01,-315.64,-73.628,2.1543,-2.3078,-7.9476,15.599,0,2.9315e-06,0,0,0,0.3,0.00026218,1.3506
886,265.8,620.2,124.04,246.86,-315.64,-68.776,4.146,-3.6478,-7.7143,420.17,0,4.6338e-06,0,0,0,0.3,0.0013369,15.57
1035,310.5,724.5,144.9,250.2,-315.64,-65.44,7.5145,-5.8865,-7.4882,508.3,0,7.4776e-06,0,0,0,0.3,0.0015617,18.638
1144,343.2,800.8,160.16,253.12,-315.64,-62.516,3.4427,-2.3012,-7.2699,572,0,2.9232e-06,0,0,0,0.3,0.0017262,20.859
1208,362.4,845.6,169.12,255.61,-315.64,-60.029,0.13863,-0.08777,-7.0591,609.44,0,1.1149e-07,0,0,0,0.3,0.0018228,22.162
1095,328.5,766.5,153.3,258.26,-315.64,-57.38,0,-0,-6.8556,548.96,0,0,0,0,0,0.3,0.0016523,20.004
968,290.4,677.6,135.52,258.66,-315.64,-56.974,9.7728e-05,-4.5496e-05,-6.6595,478.45,0,5.7793e-11,0,0,0,0.3,0.0014606,17.508
651.1,195.33,455.77,91.154,256.85,-315.64,-58.791,0,-0,-6.4704,299.35,0,0,0,0,0,0.3,0.00098241,11.199
257.8,77.34,180.46,36.092,254.1,-315.64,-61.534,0,-0,-6.2885,76.545,0,0,0,0,0,0.3,0.00038893,3.3549
208.6,62.58,146.02,29.204,252.42,-315.64,-63.212,3.3452,-1.2681,-6.1135,49.567,0,1.6109e-06,0,0,0,0.3,0.00031469,2.3946
70.73,21.219,49.511,9.9022,250.68,-302.69,-52.017,0.21639,0.016744,12.174,0,-0.00019857,0,-2.1269e-08,0,0,0.3,3.4949e-13,-0.064104
14.69,4.407,10.283,1.0283,248.69,-290.39,-41.7,2.1239,0.55096,29.771,0,-1.0884e-05,0,-6.9988e-07,0,0,0.3,0,-0.81081
0,0,0,0,247.26,-287.56,-40.305,5.3033,1.5683,33.434,0.0004138,0.00031416,0,-1.9921e-06,0,0,0.3,0,-0.94314
0,0,0,0,247.58,-297.74,-50.153,26.927,5.2072,18.02,9.6084e-05,0,0,-6.6147e-06,0,0,0.30001,0,-0.50832
0,0,0,0,304.42,-311.6,-7.1819,11.712,-2.6577,-1.8717,0.00071383,0.00054224,3.376e-06,0,0,0,0.30003,0,0.05282
0,0,0,0,303.13,-310.22,-7.0923,9.2386,-2.3006,0.15456,0.00024921,0,2.9224e-06,0,0,0,0.30002,0,-0.004353
0,0,0,0,301.94,-309.68,-7.7434,9.1349,-2.3571,0.96482,0,-0.00021993,2.9942e-06,0,0,0,0.30001,0,-0.027238
0,0,0,0,300.76,-309.15,-8.3893,9.0459,-2.4181,1.7621,0.00059563,0.00051226,3.0717e-06,0,0,0,0.3,0,-0.049692
0,0,0,0,300.09,-308.13,-8.0475,6.5504,-1.7139,3.2117,0.00070504,0.0004815,2.1772e-06,0,0,0,0.3,0,-0.090581
0,0,0,0,299.65,-309.74,-10.091,17.467,-8.3376,0.96244,0.0010253,0.00093374,1.0591e-05,0,0,0,0.3,0,-0.027121
0,0,0,0,299.68,-309.95,-10.269,24.752,-15.205,0.7219,0,-7.1832e-05,1.9315e-05,0,0,0,0.3,0,-0.020382
1.566,0.4698,1.0962,0.21924,299.93,-308.67,-8.742,13.308,-7.9925,2.5492,0,-0.00010532,1.0153e-05,0,0,0,0.3,0,-0.06574
22.18,6.654,15.526,3.1052,299.35,-311.54,-12.188,6.2163,-5.0059,-1.4446,0,-0.0002686,6.3589e-06,0,0,0,0.3,7.8396e-16,0.12832
38.84,11.652,27.188,5.4376,302.27,-315.64,-13.362,8.4757,-9.1834,-7.0258,0.65488,0,1.1666e-05,0,0,0,0.3,5.8525e-05,0.37006
163.2,48.96,114.24,22.848,304.44,-315.64,-11.198,5.3548,-5.118,-6.8362,73.594,0,6.5014e-06,0,0,0,0.3,0.00024618,2.9134
623.4,187.02,436.38,87.276,308.13,-315.64,-7.5078,1.9203,-1.4074,-6.6529,335.46,0,1.7878e-06,0,0,0,0.3,0.00094062,12.113
773.1,231.93,541.17,108.23,311.18,-315.64,-4.4535,2.4734,-1.4259,-6.4751,423.05,0,1.8113e-06,0,0,0,0.3,0.0011665,15.17
1013,303.9,709.1,141.82,315.75,-315.64,0.11332,0.036925,-0.017784,-6.303,561.11,0,2.259e-08,0,0,0,0.3,0.0015285,20.007
