NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
221.22,-48.444,36.498,-3.4164,5.8071,0.40216,7.1102,48.645,473.55,527.9,1.9742,-2.1617
193.88,-45.578,47.426,-12.622,5.1653,0.40548,7.4822,39.757,406.79,525.12,2.3697,-2.211
103.88,-31.6,35.602,-5.4769,2.8887,0.42154,6.2303,45.852,433.95,504.42,1.9531,-2.7031
49.968,-13.391,25.211,-3.2513,1.6513,0.46275,4.2464,55.858,452.12,506.2,1.8123,-2.5835
34.796,-6.2966,23.257,-1.7944,1.4094,0.58796,4.5675,60.362,504.07,509.79,1.5568,-2.4882
71.749,-13.556,30.749,-4.3756,2.3856,0.42116,6.0495,51.439,479.79,531.44,1.8849,-1.923
106.37,-20.698,28.567,-4.6803,3.0907,0.41196,6.4747,50.159,478.39,527.21,1.6206,-2.0498
38.065,-14.828,15.624,4.5057,1.2234,0.44122,3.6782,77.634,611.21,507.15,1.1956,-2.5521
79.43,-13.611,19.42,2.8298,2.4844,0.41464,4.8937,65.601,567.11,520.32,1.3551,-2.2167
205.06,-52.953,29.89,0.28297,5.142,0.39992,6.5912,53.803,518.86,516.66,1.6223,-2.5152
193.09,-48.857,44.371,-6.5523,5.1357,0.39726,8.3179,46.929,502.07,547.79,2.1261,-1.5952
46.811,-33.307,20.826,4.664,1.1,0.44819,3.8334,68.245,548.45,480.84,1.3721,-3.313
192.82,-51.774,40.865,-12.739,4.7723,0.39083,5.9967,40.044,371.45,501.73,2.1739,-2.9253
162.75,-45.559,29.99,1.2857,4.1881,0.39444,5.8573,55.136,511.18,500.44,1.684,-2.9012
203.25,-53.004,34.329,-4.3718,5.0835,0.38623,6.5409,47.404,447.92,506.5,1.7927,-2.8286
213.08,-55.764,45.678,-9.3994,5.4611,0.38683,7.4938,39.375,397.12,512.7,2.2504,-2.6364
217.24,-54.104,51.166,-17.096,5.5632,0.38554,8.9941,29.562,333.54,517.77,2.2234,-2.5261
215.8,-53.276,69.751,-30.391,5.6949,0.38587,11.394,21.396,282.14,536.99,2.6029,-1.9759
218.36,-51.73,76.591,-32.408,5.9469,0.38238,13.129,19.398,285.25,564.54,2.6386,-1.2267
208.57,-46.386,62.593,-10.668,6.0399,0.37599,11.862,32.827,452.88,563.4,2.3682,-1.2336
208.57,-37.726,57.014,4.2348,6.5474,0.37113,11.607,45.579,618.41,594.7,2.3531,-0.41725
