NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-54.104,32.697,16.056,-0.15096,NaN,5.052,76.27,667.6,484.5,1.975,-3.1596
0,-55.723,45.098,17.61,0.19705,NaN,4.767,72.3,620.4,475.33,2.734,-3.4161
0,-56.199,43.132,12.6,-0.013178,NaN,5.039,66.42,580.86,464.78,2.445,-3.7162
0,-56.199,43.063,9.183,-0.11152,NaN,4.517,63.06,531.74,447.11,2.444,-4.233
0,-55.532,45.889,10.905,0.035597,NaN,4.527,63.65,537.09,440.62,2.546,-4.4276
0,-54.77,28.999,5.0543,-0.58442,NaN,5.269,56.99,506.43,426.43,1.423,-4.8615
0,-51.722,45.569,7.7884,0.046114,NaN,4.636,58.18,494.69,419.47,2.332,-5.0792
2.23,-49.341,38.243,7.6943,-0.033095,0.78822,4.823,59.52,512.73,423.64,1.945,-4.9485
20.87,-47.436,28.788,4.2471,0.18248,0.529,5.158,57.96,511.09,448.57,1.53,-4.1898
16.02,-54.675,27.09,3.4995,-0.22753,0.5854,5.538,55.05,498.42,439.9,1.347,-4.4492
83.14,-53.532,35.597,-4.1086,1.7235,0.45375,6.432,41.68,401.42,455.89,1.699,-3.9742
527.2,-51.817,17.806,-7.5193,13.701,0.3884,8.99,38.32,439.38,611.49,0.984,0.0065527
628.9,-48.198,39.187,-16.608,17.018,0.38644,7.873,43.29,460.17,611.49,2.472,0.0065527
595,-43.054,35.623,-17.895,16.07,0.38342,9.22,36.5,425.06,627.18,1.994,0.35619
708.4,-40.197,39.995,-25.024,19.272,0.38614,9.79,31.07,375.95,637.49,2.155,0.58171
696.5,-40.482,37.977,-25.086,18.87,0.38957,10.28,28.6,357.6,644.11,1.972,0.72493
663.7,-39.816,32.548,-22.24,17.89,0.39499,10.72,27.92,359.5,659.44,1.67,1.0515
566.9,-35.815,34.832,-21.892,15.347,0.40577,10.13,30.35,375.7,644.11,1.837,0.72493
473.4,-29.528,33.135,-19.376,12.91,0.41548,10.49,29.53,374.45,637.49,1.659,0.58171
290.4,-40.006,22.253,-12.184,7.3476,0.42981,10.4,29.38,370.31,622.54,1.088,0.25349
34.03,-48.865,33.067,-10.391,0.22122,0.41257,7.976,38.49,412.03,547.38,1.729,-1.5103
2.49,-50.96,47.003,-5.4109,-0.19402,0.7897,7.222,45.58,463.45,513.62,2.429,-2.3735
0,-51.913,45.7,3.6156,-0.073269,NaN,5.977,56.86,530.69,499.3,2.594,-2.7551
0,-52.77,42.669,7.4866,-0.073756,NaN,5.819,60.5,558.53,487.59,2.377,-3.0743
0,-53.341,31.304,6.2143,-0.44638,NaN,5.684,60.89,556.9,474.57,1.7,-3.4375
0,-53.484,42.343,3.445,-0.2171,NaN,6.091,53.69,505.07,469.28,2.168,-3.5874
0,-53.627,54.428,-1.668,-0.024462,NaN,6.498,46.49,449.79,464.04,2.636,-3.7376
0,-53.341,59.962,-9.788,-0.089349,NaN,6.886,39.14,388.91,467.03,2.822,-3.6518
0,-53.484,66.093,-11.889,0.020299,NaN,6.259,38.69,368.21,452.58,3.1735,-4.0712
0,-53.627,71.941,-14.084,0.11933,NaN,5.632,38.24,348.48,438.47,3.525,-4.4925
0,-53.056,79.968,-18.913,0.22568,NaN,5.819,33.97,313.61,427.84,3.729,-4.818
0,-55.247,100.41,-32.129,0.36778,NaN,6.886,27.69,275.14,439.9,4.392,-4.4492
9,-57.437,100.92,-37.56,0.42088,0.61993,7.423,24.99,257.61,452.22,4.347,-4.0819
15.68,-54.675,43.514,-9.2872,-0.13451,0.58791,6.28,33.88,322.9,429.95,1.954,-4.7528
93.95,-52.008,39.76,-10.927,1.9965,0.45944,6.87,32.88,326.35,460.32,1.837,-3.8451
532.6,-52.008,36.726,-24.017,13.916,0.39887,8.22,30.38,330.65,589.83,2.087,-0.48935
628.8,-49.817,42.059,-29.773,16.679,0.39246,9.15,28.71,332.77,620.68,2.329,0.21238
702.5,-43.721,39.298,-25.741,18.966,0.38593,9.52,30.57,363.26,632.79,2.151,0.47927
741.3,-37.339,36.526,-26.231,20.149,0.38634,10.33,28.39,356.17,659.44,1.948,1.0515
661.1,-28.862,28.795,-18.14,18.136,0.39626,10.27,33.12,413.84,671.12,1.588,1.2956
577.8,-32.291,35.946,-18.878,15.87,0.4031,10.26,33.91,423.43,648.88,1.886,0.8271
380.2,-31.624,29.862,-14.122,10.277,0.41607,9.92,33.62,410.37,619.76,1.519,0.19182
