SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
255.23,-130.17,125.06,-35.015,55.054,13.941,4.4865
344.38,-175.63,168.75,-42.518,57.933,7.1303,5.3962
167.96,-85.658,82.299,-22.553,50.552,5.8641,3.2769
291.49,-148.66,142.83,-36.951,58.223,-8.4426,4.3911
245.73,-125.32,120.41,-41.319,45.792,-18.122,3.0116
111.73,-56.985,54.75,-42.197,25.908,9.5141,1.3533
207.27,-105.71,101.56,-39.569,34.416,5.8361,2.8843
179.56,-91.577,87.985,-30.96,28.339,8.2851,2.6418
260.17,-132.69,127.48,-39.361,42.298,4.2309,3.7984
146.42,-74.673,71.745,-49.653,4.7547,-4.1707,0.63968
139.29,-71.039,68.253,-45.911,12.982,-7.7415,0.77809
269.63,-137.51,132.12,-51.167,17.376,-1.6314,2.7278
200.97,-102.5,98.476,-45.003,27.188,-8.8538,2.0256
312.16,-159.2,152.96,-45.438,37.599,-9.2438,3.833
242.24,-123.54,118.7,-23.538,119.36,94.422,8.715
383.57,-195.62,187.95,-50.977,30.914,-6.6709,4.5479
265.21,-135.26,129.95,-34.655,34.056,5.0326,3.791
381.37,-194.5,186.87,-48.24,22.523,-2.6309,4.4719
360.42,-183.81,176.61,-32.352,52.573,-6.1133,5.3799
337.08,-171.91,165.17,-36.849,55.518,13.588,5.5694
380.17,-193.89,186.28,-28.578,50.812,-5.6911,5.7216
170.39,-86.898,83.49,-11.888,71.297,-5.0592,3.8884
329.35,-167.97,161.38,-32.065,42.104,2.0698,4.8941
288.1,-146.93,141.17,-29.881,31.288,5.8979,4.1885
172.59,-88.02,84.569,-35.991,16.718,-4.5184,1.7145
318.9,-162.64,156.26,-40.161,32.312,2.0715,4.2451
268.24,-136.8,131.44,-40.962,31.017,3.2625,3.5193
265.14,-135.22,129.92,-37.02,57.491,2.1535,4.3032
266.24,-135.78,130.46,-31.118,43.583,-1.0025,4.0036
203.42,-103.75,99.678,-18.39,58.929,12.09,4.2965
222.08,-113.26,108.82,-24.82,63.692,6.8507,4.3596
123.27,-62.87,60.404,-23.505,51.975,-0.90529,2.4816
263.92,-134.6,129.32,-25.644,57.887,7.9421,4.7818
362.01,-184.63,177.39,-31.968,69.701,4.893,6.2065
222.12,-113.28,108.84,-10.468,63.941,-1.6526,4.5321
205.98,-105.05,100.93,-18.21,84.501,3.2102,4.8078
267.96,-136.66,131.3,-40.522,42.305,-18.483,3.2328
142.74,-72.796,69.941,-25.621,53.976,-3.1588,2.6838
223.19,-113.83,109.36,-39.92,26.406,-6.9128,2.5089
174.15,-88.817,85.334,-34.314,49.64,-5.0818,2.6962
203.15,-103.61,99.543,-37.698,84.307,17.555,4.6181
132.59,-67.619,64.968,-38.743,49.449,14.099,2.5324
184.12,-93.9,90.218,-36.02,43.038,-1.3754,2.7042
302.12,-154.08,148.04,-39.419,50.109,2.229,4.5406
234.66,-119.67,114.98,-18.184,74.947,17.365,5.3347
191.06,-97.439,93.618,-19.413,94.569,4.5874,4.8904
110.17,-56.187,53.984,-36.838,39.003,-13.317,1.2083
138.21,-70.486,67.722,-41.844,42.714,-11.053,1.6232
109.16,-55.671,53.487,-35.36,35.822,-7.0773,1.3222
174.13,-88.805,85.323,-29.283,58.53,10.721,3.5344
96.312,-49.119,47.193,-24.957,51.232,14.352,2.4774
256.06,-130.59,125.47,-39.505,30.719,0.10106,3.2944
158.24,-80.702,77.537,-29.617,74.602,2.4695,3.526
144.33,-73.609,70.722,-26.712,103.1,42.028,5.3355
225.08,-114.79,110.29,-40.266,52.153,1.3124,3.4836
121.24,-61.834,59.409,-27.424,68.572,10.932,3.145
279.8,-142.7,137.1,-30.306,84.837,16.023,5.8578
169.52,-86.453,83.063,-15.371,63.059,28.752,4.4995
256.42,-130.78,125.65,-20.691,119.17,20.248,6.8938
145.47,-74.191,71.282,-26.06,59.369,8.2107,3.1821
100.4,-51.204,49.196,-38.603,38.402,-10.882,1.0751
161.68,-82.459,79.226,-28.106,99.403,58.342,5.892
110.41,-56.31,54.102,-14.554,97.38,28.774,4.6744
112.91,-57.586,55.327,-30.231,74.784,6.1257,2.9904
154.63,-78.863,75.77,-29.668,52.997,-1.5946,2.7506
90.832,-46.324,44.507,-30.218,42.896,-2.1314,1.5531
65.72,-33.517,32.203,-32.957,64.764,12.354,2.1542
38.439,-19.604,18.835,-21.627,68.155,11.519,2.1688
121.55,-61.99,59.559,-25.094,100.64,27.786,4.5952
140.33,-71.567,68.761,-23.052,78.223,5.6349,3.655
144.88,-73.889,70.991,-29.094,63.697,-3.8556,2.87
151.29,-77.158,74.132,-52.449,12.572,-17.761,0.46531
61.398,-31.313,30.085,-25.419,68.591,13.033,2.4342
150.62,-76.817,73.805,-20.208,72.315,21.312,4.1531
137.83,-70.293,67.537,-42.514,34.838,-8.9135,1.4372
25.234,-12.869,12.365,-26.823,54.969,10.527,1.4397
44.913,-22.906,22.007,-30.603,56.08,-5.7889,1.1762
143.92,-73.398,70.52,-52.894,6.352,-13.537,0.29454
103.06,-52.562,50.501,-47.428,14.493,-25.585,-0.22621
136.89,-69.815,67.077,-38.658,49.631,-0.1022,2.1989
156.93,-80.036,76.897,-30.119,57.853,13.96,3.3454
197.57,-100.76,96.812,-38.716,21.421,6.1174,2.4157
189.39,-96.591,92.803,-28.75,21.381,0.3722,2.4205
124.34,-63.411,60.925,-33.921,20.097,5.4051,1.4812
85.369,-43.538,41.831,-32.633,10.695,5.7565,0.72354
53.001,-27.03,25.97,-4.6793,105.83,18.362,4.1039
41.506,-21.168,20.338,-16.455,17.773,3.4344,0.70778
92.26,-47.053,45.207,-25.514,51.508,7.1167,2.2093
59.475,-30.332,29.143,-29.357,51.699,-7.7862,1.2327
69.971,-35.685,34.286,-38.953,37.233,-12.827,0.55682
