HOUR,SW,LW,SHF,LHF
1,-0.86658,-32.716,53.585,6.1778
2,-0.87091,-33.678,53.248,6.9935
3,-0.80557,-33.681,54.507,4.6075
4,-0.85611,-33.602,50.566,0.90049
5,-0.90525,-30.238,45.735,0.63351
6,-0.9742,-18.008,46.13,1.7756
7,-0.1851,-5.7659,47.693,3.5812
8,6.9005,-3.9365,49.98,4.9741
9,33.086,-9.2213,48.852,2.8709
10,73.016,-16.101,47.562,3.8641
11,123.21,-23.079,51.609,4.9795
12,173.23,-29.893,51.274,6.0003
13,210.07,-34.116,50.354,5.7484
14,240.72,-38.905,48.545,3.5349
15,263.89,-43.048,49.746,3.7743
16,255.7,-45.278,44.686,4.4664
17,272.79,-51.6,55.897,8.0529
18,209.95,-54.931,57.952,6.1307
19,163.76,-57.371,56.338,4.7135
20,108.2,-48.963,56.069,4.7969
21,59.245,-35.327,54.472,7.0797
22,16.524,-32.002,54.37,6.6101
23,0.40768,-32.302,53.618,5.1832
24,-0.83139,-31.778,54.253,3.3584
