SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-1.743,0.74949,-0.99351,-22.039,86.256,8.2201,2.0154
-2.257,0.97051,-1.2865,-29.164,65.215,2.4937,1.051
-1.81,0.7783,-1.0317,-31.438,41.919,1.1334,0.29854
-2.496,1.0733,-1.4227,-27.499,40.6,2.05,0.38727
-2.528,1.087,-1.441,5.5695,39.743,1.2069,1.2716
-2.327,1.0006,-1.3264,8.6155,25.506,0.53903,0.94034
4.106,-1.7656,2.3404,-3.1042,29.091,0.72121,0.81946
66.8,-28.724,38.076,-11.046,25.29,0.16731,1.4806
108.4,-46.612,61.788,-16.22,24.555,-0.76018,1.9567
237.7,-102.21,135.49,-21.379,25.748,0.054505,3.9469
686.6,-295.24,391.36,-52.257,25.686,-0.097898,10.288
568.2,-244.33,323.87,-43.397,29.282,0.98863,8.7661
544.4,-234.09,310.31,-35.674,30.711,2.9141,8.6959
525,-225.75,299.25,-34.589,28.92,0.99255,8.3098
200.6,-86.258,114.34,-8.4647,28.432,-0.093138,3.7862
137.8,-59.254,78.546,3.0856,46.941,3.9051,3.7372
192.8,-82.904,109.9,-11.323,62.569,6.2316,4.7216
373.7,-160.69,213.01,-43.272,87.094,10.93,7.5535
464.5,-199.73,264.77,-55.105,109.92,14.109,9.4132
205.4,-88.322,117.08,-58.452,89.697,12.936,4.549
70.98,-30.521,40.459,-58.884,78.13,13.707,2.0709
17.76,-7.6368,10.123,-24.183,74.256,12.842,2.0604
5.044,-2.1689,2.8751,-26.265,45.121,6.9485,0.80906
1.789,-0.76927,1.0197,-19.488,11.404,1.9531,-0.1442
-1.807,0.77701,-1.03,-19.518,44.533,9.7372,0.95129
-1.737,0.74691,-0.99009,-33.571,43.577,9.6832,0.52749
-0.766,0.32938,-0.43662,-29.996,53.475,10.157,0.93657
-2.225,0.95675,-1.2683,-27.108,71.793,20.603,1.806
-1.167,0.50181,-0.66519,0.97184,19.777,4.2286,0.68583
-1.403,0.60329,-0.79971,0.80276,35.853,6.0133,1.1811
-1.199,0.51557,-0.68343,4.1649,95.01,30.26,3.632
25.97,-11.167,14.803,-7.4345,66.339,19.395,2.6264
53.99,-23.216,30.774,-12.433,47.455,1.3467,1.8941
135.7,-58.351,77.349,-17.816,46.334,-14.263,2.5841
613.8,-263.93,349.87,-49.351,109.87,-58.308,9.932
812.9,-349.55,463.35,-65.813,70.122,-28.281,12.395
916,-393.88,522.12,-70.97,82.541,-42.041,13.869
908,-390.44,517.56,-70.779,76.808,-41.178,13.609
983,-422.69,560.31,-69.844,88.322,-50.086,14.915
957,-411.51,545.49,-71.287,69.451,-36.471,14.307
730.4,-314.07,416.33,-71.812,68.359,-27.522,10.871
256.4,-110.25,146.15,-47.393,43.385,8.656,4.2539
243.4,-104.66,138.74,-59.26,55.807,2.5792,3.8891
229.6,-98.728,130.87,-72.893,52.391,-2.4704,3.0438
95.7,-41.151,54.549,-73.537,42.737,-9.2554,0.40885
42.02,-18.069,23.951,-41.146,50.499,-15.243,0.5095
13.81,-5.9383,7.8717,-40.765,54.832,-30.351,-0.23729
-0.57,0.2451,-0.3249,-42.021,39.552,-19.434,-0.62704
-1.937,0.83291,-1.1041,-43.169,53.65,-37.349,-0.78907
-1.976,0.84968,-1.1263,-42.192,57.328,-39.815,-0.72799
-2.254,0.96922,-1.2848,-43.292,43.059,-33.145,-0.97784
-2.025,0.87075,-1.1543,-43.406,48.106,-34.255,-0.8663
-2.806,1.2066,-1.5994,-12.968,32.418,-21.747,-0.10991
-3.639,1.5648,-2.0742,-13.499,31.594,-21.338,-0.15002
1.371,-0.58953,0.78147,-13.391,21.489,-15.518,-0.18725
56.49,-24.291,32.199,-19.941,23.093,-14.096,0.59961
135.2,-58.136,77.064,-22.881,3.3839,-1.7172,1.5755
256.4,-110.25,146.15,-29.18,13.008,-6.4739,3.484
175.5,-75.465,100.04,-23.73,20.448,-8.5141,2.4892
336.6,-144.74,191.86,-30.609,27.276,-10.194,5.0308
681.7,-293.13,388.57,-52.866,48.929,-20.602,10.269
805.1,-346.19,458.91,-62.337,57.031,-20.668,12.213
447.9,-192.6,255.3,-36.912,68.583,-24.349,7.4085
278.1,-119.58,158.52,-27.108,67.015,-22.457,4.964
183.9,-79.077,104.82,-21.472,51.262,-14.804,3.3797
176.6,-75.938,100.66,-21.678,15.495,-3.9707,2.5532
173.6,-74.648,98.952,-30.797,11.374,-2.2774,2.1792
130.1,-55.943,74.157,-52.438,40.556,-6.1132,1.5843
97.1,-41.753,55.347,-65.886,32.428,-3.951,0.50602
54.12,-23.272,30.848,-32.86,26.398,-1.983,0.63201
32.85,-14.125,18.725,-32.015,44.417,-3.9443,0.76681
1.849,-0.79507,1.0539,-34.505,36.444,-3.8624,-0.024512
-0.714,0.30702,-0.40698,-35.895,16.791,-1.9234,-0.60468
0.077,-0.03311,0.04389,-32.606,24.27,-0.59243,-0.25063
-0.373,0.16039,-0.21261,-33.328,16.94,0.93244,-0.44199
-0.408,0.17544,-0.23256,-35.358,11.239,0.88425,-0.66201
-0.482,0.20726,-0.27474,-3.0123,11.197,1.5429,0.26665
-1.48,0.6364,-0.8436,-3.9186,7.9304,1.1449,0.12167
0.169,-0.07267,0.09633,-5.0287,30.595,4.0419,0.83795
46.85,-20.145,26.705,-9.4334,66.683,10.812,2.6733
131.6,-56.588,75.012,-15.843,68.562,12.444,3.9543
219.8,-94.514,125.29,-21.114,73.45,7.349,5.218
454.6,-195.48,259.12,-35.819,76.572,-5.4362,8.306
870,-374.1,495.9,-62.752,72.289,-2.8274,14.178
957,-411.51,545.49,-64.582,39.517,-2.0046,14.624
786.2,-338.07,448.13,-56.672,39.423,1.8029,12.206
1004,-431.72,572.28,-64.413,68.829,8.6727,16.513
632.4,-271.93,360.47,-55.111,72.891,9.5551,10.94
520,-223.6,296.4,-55.13,92.794,12.326,9.7716
212.7,-91.461,121.24,-29.401,103.19,20.394,6.0769
192.2,-82.646,109.55,-38.194,89.086,16.166,4.9822
143.1,-61.533,81.567,-58.21,53.881,11.469,2.5024
452.1,-194.4,257.7,-59.764,14.335,3.0777,6.0748
306.7,-131.88,174.82,-27.381,21.154,3.5522,4.8561
73.05,-31.411,41.639,-28.35,22.143,3.0455,1.0854
7.536,-3.2405,4.2955,-27.989,15.234,0.74278,-0.2177
-0.837,0.35991,-0.47709,-29.474,35.978,4.3047,0.29145
-0.408,0.17544,-0.23256,-29.144,40.781,3.6998,0.42609
-1.139,0.48977,-0.64923,-30.811,67.188,6.737,1.1979
-1.557,0.66951,-0.88749,-31.325,94.926,12.209,2.1135
-2.025,0.87075,-1.1543,1.1683,114.48,14.301,3.6333
-1.754,0.75422,-0.99978,1.6598,95.98,10.242,3.0151
0.07,-0.0301,0.0399,1.0502,76.476,8.0732,2.4159
44.16,-18.989,25.171,-4.6671,63.389,2.4798,2.4365
182.6,-78.518,104.08,-19.452,65.996,0.27985,4.257
424.6,-182.58,242.02,-34.496,45.409,1.4326,7.1756
480.7,-206.7,274,-33.274,71.131,3.8194,8.9051
175.9,-75.637,100.26,-4.893,22.647,1.2438,3.3643
414,-178.02,235.98,-19.589,24.099,1.1857,6.8176
929,-399.47,529.53,-56.847,65.555,5.9155,15.35
945,-406.35,538.65,-61.538,92.693,7.6155,16.289
549.7,-236.37,313.33,-46.247,114.53,52.799,12.255
367.4,-157.98,209.42,-40.851,95.518,78.331,9.6595
488.3,-209.97,278.33,-67.567,84.481,68.746,10.268
439.3,-188.9,250.4,-66.506,78.062,42.624,8.5921
296.3,-127.41,168.89,-67.245,69.752,22.284,5.4637
221.8,-95.374,126.43,-68.004,70.372,12.665,3.9905
118.2,-50.826,67.374,-36.866,71.546,5.0885,3.0225
24.35,-10.47,13.88,-38.871,75.285,-16.348,0.95759
-0.773,0.33239,-0.44061,-38.228,78.439,-28.504,0.31782
-1.28,0.5504,-0.7296,-38.804,52.582,-15.687,-0.074429
-2.658,1.1429,-1.5151,-41.917,38.829,-12.474,-0.48173
-4.198,1.8051,-2.3929,-43.784,35.695,-10.043,-0.57903
-2.728,1.173,-1.555,-42.932,29.708,-12.629,-0.7732
-4.56,1.9608,-2.5992,-13.983,33.838,-12.906,0.12271
-2.693,1.158,-1.535,-12.915,25.877,-12.542,-0.031472
-1.132,0.48676,-0.64524,-14.345,35.546,-16.149,0.12433
23.21,-9.9803,13.23,-17.013,40.452,-18.442,0.51418
65.76,-28.277,37.483,-20.953,31.701,-17.2,0.87539
136.5,-58.695,77.805,-24.99,40.022,-17.697,2.1197
224.8,-96.664,128.14,-29.716,51.945,-25.166,3.5318
360.3,-154.93,205.37,-37.096,56.138,-22.714,5.6899
475,-204.25,270.75,-43.508,56.545,-17.281,7.518
778.7,-334.84,443.86,-65.131,49.886,-18.26,11.576
977,-420.11,556.89,-73.877,55.787,-18.385,14.681
597.3,-256.84,340.46,-60.708,74.149,-22.993,9.3348
558,-239.94,318.06,-64.916,71.423,-22.377,8.5247
476.4,-204.85,271.55,-68.299,65.379,-13.687,7.1918
412.2,-177.25,234.95,-66.554,96.942,-16.41,7.0223
