NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
103.41,-3.6974,75.131,8.0105,5.1582,0.43888,5.8925,68.824,638.19,598.98,4.3022,-0.2805
171.12,-11.966,97.819,-3.7774,7.1426,0.4183,4.0229,72.463,592.1,583.22,7.875,-0.64569
94.967,-15.06,65.124,-12.269,3.7452,0.43772,3.7818,66.081,528.91,577.25,5.2763,-0.78895
172.41,-11.148,74.74,10.523,6.9543,0.41066,4.9004,73.868,639.65,593.95,5.0685,-0.39706
148.94,-18.567,110.06,22.914,7.4291,0.41488,5.0869,75.17,658.18,597.36,7.4409,-0.31963
146.56,-38.884,108.49,-5.3545,5.9469,0.42333,3.2648,72.165,556.43,569.87,8.9052,-0.963
47.048,-13.709,93.439,7.56,3.7896,0.47114,4.8755,73.542,636.23,589,6.1645,-0.51086
237.35,-64.707,78.472,-12.177,6.7405,0.42281,3.7362,64.643,509.95,580.12,6.6339,-0.72876
144.52,-21.958,112.16,18.85,7.1531,0.41537,6.2177,69.491,659.16,605.88,6.3066,-0.12398
209.66,-41.47,109.68,11.418,8.1605,0.39357,4.937,71.927,622.94,591.91,7.467,-0.44559
145.35,-9.7817,90.616,19.454,6.9294,0.40019,3.3727,80.506,627.33,581.38,8.3667,-0.69312
100.28,-18.03,52.212,-13.628,3.4088,0.53472,1.938,73.182,512.3,561.4,6.0511,-1.1683
73.775,2.5894,77.456,19.33,4.8845,0.42357,5.4504,77.644,707.11,600.13,4.8594,-0.26307
238.73,-23.304,72.64,31.22,9.0069,0.37921,5.9726,83.112,775.62,608.64,4.2682,-0.062202
222.41,-28.511,60.39,15.726,7.6169,0.38431,5.9288,75.547,703,603.97,3.4461,-0.18354
155.17,4.6188,70.15,37.462,7.5434,0.38874,5.4937,87.81,791.92,602.37,4.4205,-0.20195
150.64,-30.628,86.554,12.54,6.181,0.37909,5.4051,73.971,661.83,594,5.3083,-0.39418
241.24,-34.476,78.512,22.677,8.6874,0.37242,6.001,77.215,720.71,605.88,4.5898,-0.12291
192.04,-30.457,51.676,10.314,6.307,0.38178,7.303,69.651,712.27,618.81,2.6318,0.16415
236.23,-39.27,54.784,17.085,7.5836,0.35889,7.8691,72.757,772.12,629.7,2.6704,0.39654
118.67,-8.8325,62.474,27.368,5.633,0.38982,8.0947,76.867,827.59,626.9,3.0058,0.33904
249.03,-37.224,75.751,9.5684,8.3818,0.35418,5.2888,70.46,628.93,595.08,4.9596,-0.3712
98.045,7.2201,98.98,19.531,6.3126,0.38776,5.937,72.274,671.91,601.97,5.919,-0.21462
62.01,-1.9579,95.805,0.20354,4.4024,0.41131,2.742,77.397,574.45,571.75,9.2218,-0.91784
97.297,-2.9587,78.515,6.5825,5.0618,0.42127,3.5104,76.522,599.51,577.4,6.5034,-0.78447
65.197,-0.67118,55.745,6.3594,3.5722,0.41027,5.1633,72.21,633.66,589.71,3.5194,-0.4955
95.128,8.0263,46.392,17.643,4.7163,0.39511,6.7233,80.397,784.68,612.5,2.5488,0.010045
127.39,-10.099,93.299,18.926,6.4746,0.39239,6.3889,72.205,692.46,603.13,5.0475,-0.18581
206.62,-23.491,66.015,3.1422,7.117,0.34772,4.8965,69.672,603.2,592.6,4.4528,-0.42913
212.05,-35.533,55.634,-12.043,6.2092,0.35624,6.4396,53.234,506.84,606.14,3.0015,-0.13036
101.31,-10.89,63.266,5.9932,4.5046,0.40176,7.1489,65.518,663.44,614.37,3.239,0.057368
111.87,1.9659,85.929,0.44201,5.6478,0.37551,8.0638,58.027,621.57,622.48,3.936,0.24659
161.62,5.4369,69.124,17.143,7.1462,0.34927,6.035,77.088,719.67,606.14,3.9598,-0.12104
106.02,4.7618,63.469,20.196,5.4852,0.37459,4.9564,80.302,696.82,593.14,4.3391,-0.41713
244.19,-56.375,49.974,-10.6,6.409,0.35431,3.6002,63.284,498.5,570.32,3.7615,-0.97571
186.78,-46.883,51.11,1.8016,5.4389,0.44986,5.2992,68.377,608.07,592.72,3.2012,-0.42657
183.32,-41.684,59.336,1.1451,5.7017,0.45605,5.5839,66.591,602.31,594.83,3.5202,-0.38873
53.395,-13.527,89.577,12.662,4.0088,0.50171,6.4706,68.635,663.52,605.05,4.8444,-0.14086
81.232,3.1494,79.306,10.768,4.9213,0.4585,5.4685,71.638,643.53,601.3,4.9805,-0.22704
185.79,-34.603,156.37,1.4743,8.7179,0.42711,4.8893,69.64,605.7,595.8,10.839,-0.35488
71.072,-8.3202,100.03,12.444,4.9429,0.46287,6.883,65.29,654.81,613.63,4.9771,0.044181
55.222,-11.247,147.06,33.304,6.3286,0.46792,6.5693,71.212,695.54,614.92,7.5922,0.069284
125.16,-25.469,61.204,-6.8843,4.3446,0.44919,3.8856,67.821,546.55,582.04,4.8731,-0.67542
60.69,0.84592,64.01,1.155,3.5742,0.47446,2.5531,79.5,583.9,570.77,6.7312,-0.94229
79.758,3.6418,102.02,23.242,5.8862,0.44718,4.7269,79.41,676.49,597.46,6.9436,-0.32115
91.951,14.436,190.3,102.03,11.247,0.43518,8.1282,82.165,888.29,650.9,9.4708,0.86283
8.4892,-10.433,49.437,-6.8538,1.1464,0.98411,1.2917,81.319,543.68,561.82,7.3043,-1.1578
27.705,-7.1049,35.115,0.17618,1.5767,0.86934,2.245,79.825,571.69,570.28,4.1359,-0.95975
144.92,-29.051,52.469,-1.6617,4.7018,0.46738,3.6257,73.316,577.43,578.56,4.1783,-0.75979
75.91,-0.0556,131.17,19.615,6.3936,0.44273,6.1049,70.059,662.48,607.74,7.6055,-0.082887
49.977,4.1541,140.52,25.549,6.2117,0.48802,5.6617,73.653,676.77,609.23,9.1976,-0.048324
76.308,4.309,117.26,4.8226,5.718,0.45377,5.4195,69.769,624.17,603.04,7.3905,-0.19159
130.24,-15.965,105.18,-11.457,5.8675,0.43866,3.0231,72.503,548.89,575.46,9.883,-0.82831
122.72,-24.913,80.684,-12.225,4.6903,0.43751,4.3689,65.606,549,583.79,5.8068,-0.63692
92.927,0.139,81.616,3.8012,5.0349,0.43795,4.0518,72.798,594.01,585.19,6.1841,-0.59884
92.236,-10.155,80.424,1.3656,4.6227,0.43738,4.3452,71.775,594.07,585.65,5.2446,-0.59274
129.44,-43.074,48.315,1.0797,3.8299,0.44072,3.5887,73.403,578.82,573.13,3.9021,-0.8953
67.496,-5.9532,70.967,3.1425,3.8267,0.46294,4.2511,72.83,602.31,585.06,5.2977,-0.6024
82.902,-6.5092,63.245,5.7617,4.1017,0.44422,3.5558,76.842,606.2,577.93,5.2156,-0.77032
131.82,-38.325,56.649,2.9726,4.3193,0.44069,5.1712,70.079,615.32,590.05,3.302,-0.50753
57.25,18.519,58.824,28.132,4.5904,0.46274,6.7055,83.307,817.65,615.58,3.1676,0.096272
146.31,-28.221,74.688,16.633,5.9075,0.43927,7.014,72.473,720.97,615.17,3.6414,0.073304
105.22,-7.8992,77.604,7.3395,5.1417,0.42696,4.926,71.67,622.98,593.83,5.1578,-0.39854
114.22,-3.761,60.686,7.958,5.0525,0.43751,4.929,73.805,639.63,595.95,4.0193,-0.35348
