NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-24.21,124.41,12.988,3.1931,0.20941,6.999,64.98,650.69,603.44,6.191,-0.17586
0,-36.696,98.734,9.0851,2.0063,0.10323,5.567,68.73,623.53,588.19,5.79,-0.52778
0,-19.73,67.251,6.4302,1.5219,0.57182,5.104,70.47,619.07,584.64,4.206,-0.61078
0,-39.27,66.891,6.0459,0.94974,NaN,5.904,67.7,628.69,592.64,3.778,-0.42413
0,-44.321,66.84,5.5217,0.79101,NaN,5.882,67.03,621.52,588.19,3.731,-0.52778
0,-36.601,54.843,3.3476,0.60902,NaN,6.432,64.27,618.99,592.64,2.862,-0.42413
2.691,-14.488,50.572,6.1357,1.2669,0.34462,4.443,73.6,617.41,577.59,3.47,-0.77701
40.87,5.6236,45.253,4.2731,2.7087,0.38817,4.479,72.84,612.58,581.99,3.146,-0.67308
63.98,10.485,42.368,3.2799,3.3883,0.40978,3.913,74.67,603.53,581.1,3.294,-0.69386
139.1,-22.971,46.632,3.9442,4.7027,0.41481,4.717,71.5,611.4,582.87,3.114,-0.65231
407.8,-32.693,43.823,0.71555,11.838,0.40606,5.019,69.81,609.65,604.35,3.04,-0.1552
326.5,-13.439,45.728,3.3792,10.217,0.42538,4.359,74.3,619.63,598.03,3.523,-0.29991
305.4,-3.1454,51.497,5.7233,10.141,0.43902,5.457,71.3,641.92,602.54,3.273,-0.19652
298,-9.7221,50.52,2.7565,9.6351,0.43238,5.592,68.48,622.34,602.54,3.136,-0.19652
98.2,18.11,54.05,0.9433,4.8324,0.51047,6.239,64.14,609.57,602.54,3.021,-0.19652
64.41,22.59,78.936,5.9058,4.8476,0.53258,7.723,61.72,649.41,613.47,3.701,0.051128
98.5,23.162,90.803,9.1758,6.2524,0.48911,6.651,66.53,650.48,607.99,4.863,-0.072614
207.2,19.921,118.95,12.974,10.129,0.44554,6.816,66.94,661.95,616.23,6.39,0.11294
265.5,14.011,147.61,14.981,12.471,0.42842,7.168,65.72,665.77,621.77,7.668,0.23643
114.8,9.6268,124.29,17.35,7.5057,0.44109,6.413,69.25,666.08,609.81,6.945,-0.031348
37.63,20.493,111.24,20.378,5.3525,0.46985,6.315,70.87,677.07,602.54,6.158,-0.19652
7.2,21.16,103.44,16.948,4.1961,0.59459,6.571,69.81,678.81,611.64,5.683,0.0098991
1.653,21.541,70.223,11.661,2.9642,0.67228,6.153,70.67,667.66,601.63,3.978,-0.21719
2.348,21.827,48.24,8.3082,2.2772,NaN,7.505,66.44,688.75,607.08,2.291,-0.093254
0,23.352,77.141,17.063,3.3162,NaN,7.499,68.46,709.4,603.44,3.627,-0.17586
0,17.061,67.098,17.78,2.8757,NaN,4.667,78.97,672.92,586.41,4.629,-0.56927
0,17.919,79.741,17.496,3.2485,NaN,5.398,74.97,672.2,592.64,4.953,-0.42413
0,17.061,101.06,28.868,4.1465,NaN,5.983,76.42,713.55,604.35,5.954,-0.1552
0,9.3409,41.09,10.441,1.7172,NaN,5.044,77.25,675.8,587.3,2.657,-0.54852
0,5.147,57.808,12.24,2.1212,NaN,5.013,75.75,661.25,588.19,3.773,-0.52778
0,6.672,134.31,42.521,5.1765,NaN,5.627,78.8,717.86,603.44,8.37,-0.17586
8.91,4.8611,101.62,33.311,4.195,0.65691,4.134,83.2,682.99,587.3,7.84,-0.54852
25.58,3.1454,76.912,11.11,3.2934,0.52621,3.58,78.13,616.87,577.59,6.37,-0.77701
71.78,-14.393,75.099,-9.0921,3.4809,0.47104,3.708,68.11,542.63,576.71,6.008,-0.79782
384.3,-66.434,181.68,-62.012,12.343,0.3739,4.445,56.07,470.42,580.22,12.72,-0.71464
498.3,-35.838,117.93,-23.722,15.703,0.38701,3.249,69.07,532.74,581.99,10.85,-0.67308
556.1,-50.803,139.87,-41.065,17.041,0.3929,3.436,64.82,506.61,581.99,12.27,-0.67308
541.3,-42.892,125.66,-42.215,16.414,0.40385,3.564,63.02,497.01,584.64,10.85,-0.61078
588.6,-50.898,144.28,-54.091,17.712,0.40122,3.784,60.31,483.06,585.52,11.89,-0.59002
561.4,-39.174,114.44,-35.646,16.955,0.41338,3.444,64.33,503.06,582.87,10.06,-0.65231
414.9,-12.868,114.11,-23.222,13.905,0.43196,3.32,68.52,531.16,581.99,10.29,-0.67308
135.1,3.336,80.261,25.725,6.8951,0.47309,2.43,87.9,639.73,573.21,8.71,-0.88107
130,0.19063,95.653,16.51,6.8367,0.4659,3.072,81.3,619.27,577.59,8.92,-0.77701
123.2,-5.147,88.859,8.78,6.0846,0.46341,3.064,79.1,602.18,578.46,8.34,-0.75622
46.74,-10.771,73.732,-0.56035,3.0788,0.5116,2.911,76.11,573.17,574.96,7.049,-0.83943
17.01,-25.544,89.369,-5.4604,2.1263,0.59519,3.094,72.76,555.09,570.6,7.928,-0.94355
3.71,-36.124,99.214,-22.91,1.2381,0.73135,3.174,65.96,506.07,567.13,8.45,-1.0269
0,-4.3845,70.742,-12.508,1.5191,NaN,2.91,69.78,525.46,568.86,6.491,-0.98524
0,-18.872,104.44,-28.938,1.5976,NaN,2.668,67.57,500.16,565.4,9.99,-1.0687
0,-30.215,112.21,-30.446,1.4543,NaN,2.874,65.49,491.9,561.09,9.91,-1.173
0,-31.835,84.69,-24.762,0.79248,NaN,2.642,66.26,489.56,560.24,7.891,-1.1939
0,-35.648,97.784,-23.209,1.0981,NaN,2.618,67.75,499.71,557.67,9.02,-1.2566
0,-31.454,65.098,-12.476,0.59716,NaN,2.443,70.42,512.99,557.67,6.289,-1.2566
0,-17.633,63.621,-12.199,0.95316,NaN,2.342,71.4,516.4,559.38,6.393,-1.2148
0,-30.501,43.197,-9.3191,0.095266,NaN,2.413,69.69,506.59,556.81,4.179,-1.2775
32.63,-44.417,46.084,-7.1078,0.76702,0.42238,2.52,70.83,518.81,555.96,4.309,-1.2985
80.65,-28.404,17.675,-3.7363,1.8671,0.40348,3.161,67,513.57,568.86,1.522,-0.98524
152.9,-16.394,28.146,-7.4711,4.434,0.40367,3.501,64.44,505.95,577.59,2.349,-0.77701
98.92,-5.9095,36.967,-5.0307,3.5247,0.43635,2.89,71.64,538.7,571.47,3.458,-0.92272
195.4,-9.5315,45.316,-8.5187,6.2813,0.41949,3.608,67,530.04,581.1,3.757,-0.69386
403,-24.401,74.736,-20.449,12.212,0.40883,3.868,63.74,513.56,589.07,6.099,-0.50704
469.6,-25.544,85.314,-21.238,14.334,0.41672,3.985,64.58,524.62,593.54,6.941,-0.40342
247.5,-8.6737,104.14,-24.584,8.9814,0.44742,4.454,61.52,516.47,589.97,7.534,-0.48631
147.7,-1.9063,103.64,-20.924,6.4462,0.4689,4.352,62.84,523.8,586.41,7.527,-0.56927
