HOUR,SW,LW,SHF,LHF,T surface,T Air
1,0.080382,-20.525,74.939,12.494,272.72,277.96
2,0.048966,-21.363,74.602,13.664,272.74,277.76
3,0.071368,-21.089,77.094,10.251,272.66,277.76
4,0.054109,-20.942,72.044,4.3702,272.65,277.78
5,0.047622,-20.763,64.886,4.0179,272.56,277.74
6,0.05579,-21.098,65.628,6.1907,272.56,277.66
7,0.69403,-21.535,67.086,8.9282,272.68,277.69
8,10.437,-21.755,70.157,10.658,272.68,277.65
9,47.337,-23.159,67.095,6.4335,272.98,277.69
10,104.31,-23.517,65.664,7.5944,273.04,277.64
11,176.01,-23.951,69.315,8.23,273.14,277.64
12,247.47,-24.084,69.11,10.144,273.15,277.64
13,300.1,-23.171,67.466,9.5356,273.15,277.84
14,343.88,-22.993,64.511,6.0053,273.15,277.93
15,376.99,-22.832,65.3,6.0363,273.15,277.98
16,365.28,-22.096,57.915,6.6891,273.15,278.13
17,389.7,-21.059,74.609,13.234,273.15,278.36
18,299.93,-21.233,76.803,10.074,273.15,278.33
19,233.95,-21.232,75.12,7.7106,273.15,278.31
20,154.57,-21.443,75.125,7.519,273.14,278.23
21,84.636,-21.346,73.039,11.422,273.12,278.23
22,23.709,-21.074,73.801,11.66,272.96,278.11
23,1.2662,-20.233,73.971,10.5,272.73,278.04
24,0.076739,-19.922,74.944,7.5565,272.71,278.15
