SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
183.82,55.145,128.67,25.734,319.31,-315.64,3.6714,59.102,6.556,1.793,174.06,0,4.7059e-08,-8.3751e-06,0,0,0.3,0.0038977,5.5855
292.4,87.721,204.68,40.937,265.98,-315.27,-49.288,83.545,-16.728,0.44001,181.71,0.00025981,3.1217e-05,-9.9675e-06,0,0,0.3,0.00044031,6.2685
167.69,50.306,117.38,23.476,315.79,-315.64,0.14904,48.474,-23.738,-0.11889,118.67,0,3.0154e-05,0,0,0,0.3,0.00025297,4.0133
292.09,87.626,204.46,40.755,270.17,-313.18,-43.006,64.217,9.1963,2.4918,196.6,5.4092e-05,7.8023e-07,-1.2462e-05,0,0,0.30002,0.00043874,6.6255
254.22,76.267,177.96,35.591,285.79,-315.64,-29.85,100.51,21.852,-0.70506,234.18,0,3.832e-06,-3.159e-05,0,0,0.3,0.00038356,7.6299
253.01,75.904,177.11,35.422,277.45,-315.24,-37.792,89.447,-24.168,0.0095224,169.18,0.00014857,3.07e-05,0,0,0,0.3,0.00038131,5.7716
88.355,26.506,61.848,12.37,333.37,-315.64,17.737,81.05,-0.52255,-0.33763,147.41,0,1.265e-05,-1.1986e-05,0,0,0.3,0.00013327,4.5167
410.44,123.13,287.31,57.462,232.33,-314.07,-81.741,61.999,-21.246,1.6859,190.54,0.00063123,2.6989e-05,0,0,0,0.3,0.00061399,6.9486
246.25,73.875,172.38,34.475,292.68,-315.17,-22.492,104.43,22.192,-0.21994,241.82,5.1883e-06,1.3766e-05,-4.1956e-05,0,0,0.3,0.00037153,7.8003
345.02,103.51,241.51,48.303,249.93,-315.64,-65.709,95.702,4.5841,-0.51686,227.27,0,1.3863e-06,-7.2095e-06,0,0,0.3,0.00052057,7.7884
240.54,72.162,168.38,33.676,282.48,-315.28,-32.793,77.492,12.198,0.15309,191.75,-8.8061e-05,7.3269e-06,-2.2822e-05,0,0,0.3,0.00035839,6.3549
214.65,64.395,150.25,30.051,285.28,-313.57,-28.286,39.933,-27.3,1.8003,106.35,0.00025017,3.4679e-05,0,0,0,0.3,0.00031726,3.7971
127.56,38.269,89.294,17.859,336.2,-315.64,20.56,62.232,14.077,-0.78734,167.52,0,1.186e-05,-2.9742e-05,0,0,0.3,0.00019243,5.2516
384.04,115.21,268.83,53.762,248.48,-314.26,-65.782,59.351,30.621,1.0257,240.28,0.00013124,0,-3.8898e-05,0,0,0.30003,0.00057937,8.266
360.11,108.04,252.08,49.758,250.03,-312.36,-62.337,45.837,16.373,2.6017,204.79,-2.5414e-05,0,-2.0798e-05,0,0,0.30009,0.00053575,7.1074
253.89,76.167,177.72,35.545,286.46,-315.64,-29.173,56.347,35.858,-1.301,203.91,0,0,-4.555e-05,0,0,0.3,0.00038305,6.7916
242.08,72.624,169.46,33.891,288.7,-315.64,-26.934,74.292,8.611,-0.77802,190.75,0,3.8226e-06,-1.4761e-05,0,0,0.3,0.00036523,6.3591
383.45,115.04,268.42,53.682,247.01,-314.79,-67.787,65.409,22.695,0.36583,235.42,0.0001275,0,-2.8829e-05,0,0,0.30005,0.00057854,8.1451
309.8,92.943,216.86,42.98,251.44,-309.78,-58.345,25.567,7.5086,6.0476,154.66,8.9748e-05,0,-9.538e-06,0,0,0.30006,0.00046167,5.4047
367.19,110.16,257.03,50.772,255.51,-310.31,-54.803,26.313,11.079,3.2267,192.07,3.521e-05,0,-1.4074e-05,0,0,0.30005,0.00054675,6.7596
194.16,58.248,135.91,27.182,321.37,-315.64,5.7319,34.136,19.189,-2.7541,165.03,0,0,-2.4376e-05,0,0,0.3,0.00029292,5.5
385.79,115.74,270.05,54.008,241.42,-312.07,-70.652,60.396,7.2977,2.5964,215.68,3.3915e-05,8.3444e-06,-1.7615e-05,0,0,0.30001,0.00057582,7.5347
159.56,47.869,111.69,22.337,324.25,-315.64,8.6084,88.638,20.919,-2.3157,205.21,0,1.0358e-06,-2.7609e-05,0,0,0.3,0.00024068,6.4842
104.97,31.49,73.477,14.695,323.27,-315.64,7.6334,76.628,-18.03,-1.4317,123.58,0,2.3085e-05,-1.8208e-07,0,0,0.3,0.00015834,3.9411
167.22,50.166,117.05,23.411,308.92,-315.64,-6.7133,66.098,-3.0424,-0.97708,149.01,0,6.4332e-06,-2.5685e-06,0,0,0.3,0.00025227,4.8915
110.08,33.023,77.053,15.411,334.78,-315.64,19.142,37.502,2.5309,-0.717,120.1,0,1.2904e-06,-4.5053e-06,0,0,0.3,0.00016604,3.843
157.09,47.127,109.96,21.992,328.37,-315.64,12.736,19.14,7.8215,-0.55631,127.11,0,0,-9.9356e-06,0,0,0.3,0.00023697,4.2218
208.89,62.666,146.22,29.244,301.84,-315.64,-13.8,78.146,18.007,-0.44673,198.88,0,0,-2.2874e-05,0,0,0.3,0.00031515,6.448
315.54,94.663,220.88,44.146,249.54,-314.15,-64.61,52.745,1.0313,1.4547,167.35,0.00017093,4.3765e-06,-5.6865e-06,0,0,0.30001,0.00047144,5.9253
328.79,98.638,230.15,44.749,246.44,-309.86,-63.417,35.585,-4.3445,5.143,158.37,3.3135e-05,7.7064e-06,-2.1876e-06,0,0,0.30004,0.00047924,5.5847
166.24,49.871,116.37,23.273,323.63,-315.64,7.9981,39.139,2.9304,-2.132,141.03,0,1.2046e-07,-3.8429e-06,0,0,0.3,0.00025079,4.695
178.91,53.672,125.24,25.047,320.91,-315.64,5.2755,59.042,2.3574,-1.282,165.58,0,1.8147e-06,-4.8093e-06,0,0,0.3,0.00026991,5.4137
248.46,74.537,173.92,34.673,280.09,-315.44,-35.35,51.492,13.623,-0.65977,168.35,8.2881e-05,0,-1.7305e-05,0,0,0.3,0.00037338,5.7459
169.4,50.82,118.58,23.715,310.89,-315.5,-4.6081,47.915,16.681,-0.5358,154.32,-2.1845e-06,0,-2.119e-05,0,0,0.3,0.00025552,5.0374
376.99,113.1,263.89,52.541,231.46,-309.36,-77.902,44.523,-9.3551,6.2842,174.9,0.00014942,1.2999e-05,-1.115e-06,0,0,0.30001,0.00056317,6.2388
337.54,101.26,236.28,46.356,241.56,-307.71,-66.159,35.844,2.3848,5.9106,167.9,0.00018553,1.0566e-06,-4.0859e-06,0,0,0.30002,0.00049643,5.8774
335.02,100.51,234.51,45.732,242.41,-310.47,-68.06,44.855,3.3063,1.7964,170.67,5.7591e-05,1.7346e-06,-5.9346e-06,0,0,0.30007,0.00048968,6.0541
104.21,31.262,72.945,14.589,341.09,-315.64,25.449,74.248,12.176,-3.5105,166.72,0,6.6304e-08,-1.5533e-05,0,0,0.3,0.00015719,5.2137
146.39,43.916,102.47,20.494,322.19,-315.64,6.5493,68.179,10.611,-2.1927,165.12,0,4.7566e-08,-1.3527e-05,0,0,0.3,0.00022085,5.2981
321.97,96.591,225.38,45.076,241.01,-315.5,-74.487,149.51,-6.6541,-1.3129,247.36,-1.9495e-05,4.0295e-05,-3.1842e-05,0,0,0.3,0.00048579,8.2865
