SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
0,0,0,0,324.45,-315.64,8.8158,109.14,12.326,43.024,173.31,0,0,-1.5657e-05,0,0,0.3,0.086887,3.6752
0,0,0,0,317.72,-315.64,2.087,82.515,4.0049,0.00037949,88.608,0,0,-5.0874e-06,0,0,0.3,0,2.4996
0,0,0,0,315.56,-315.64,-0.075105,50.052,1.7403,0.00037245,51.718,0,0,-2.2107e-06,0,0,0.3,0,1.4589
0,0,0,0,319.26,-315.64,3.6217,46.94,2.8979,0.00036563,53.46,0,0,-3.6812e-06,0,0,0.3,0,1.5081
0,0,0,0,319.12,-315.64,3.4835,45.811,1.8022,0.00035902,51.097,0,0,-2.2893e-06,0,0,0.3,9.1724e-15,1.4414
0,0,0,0,321.62,-315.64,5.9818,27.77,0.81286,0.00035262,34.565,0,0,-1.0326e-06,0,0,0.3,0,0.97505
4.106,1.2318,2.8742,0.57484,312.58,-315.64,-3.0594,33.7,1.0812,0.00034641,34.022,0,0,-1.3734e-06,0,0,0.3,6.1123e-06,0.97595
66.8,20.04,46.76,9.352,312.73,-315.64,-2.9106,28.76,0.35334,0.00035459,63.611,0,0,-4.4884e-07,0,0,0.3,0.00010074,2.0583
108.4,32.52,75.88,15.176,310.11,-315.64,-5.5236,28.405,-0.88911,0.00038676,82.696,0,1.1294e-06,0,0,0,0.3,0.00016354,2.7609
237.7,71.31,166.39,33.278,313.8,-315.64,-1.8387,29.093,0.22334,0.00038676,160.59,0,0,-2.8371e-07,0,0,0.3,0.0003587,5.4689
686.6,205.98,480.62,96.124,315.14,-315.64,-0.49796,28.724,0.023176,0.00038676,412.75,0,0,-2.9441e-08,0,0,0.3,0.0010363,14.355
568.2,170.46,397.74,79.548,312.23,-315.64,-3.4028,34.011,1.461,0.00038676,350.26,0,0,-1.8559e-06,0,0,0.3,0.00085756,12.125
544.4,163.32,381.08,76.216,317.34,-315.64,1.7075,34.554,3.9151,0.00038676,345.04,0,0,-4.9734e-06,0,0,0.3,0.00082163,11.884
525,157.5,367.5,73.5,317.81,-315.64,2.1686,32.204,1.4149,0.00038676,329.79,0,0,-1.7973e-06,0,0,0.3,0.00079235,11.377
200.6,60.18,140.42,28.084,320.69,-315.64,5.0483,31.148,0.06074,0.00038676,148.59,0,0,-7.7157e-08,0,0,0.3,0.0003027,4.984
137.8,41.34,96.46,19.292,327.78,-315.64,12.144,52.445,5.2715,0.00038676,147.03,0,0,-6.6963e-06,0,0,0.3,0.00020791,4.6918
192.8,57.84,134.96,26.992,322.84,-315.64,7.2008,74.979,8.8957,0.00038676,199.04,0,0,-1.13e-05,0,0,0.3,0.00029093,6.3764
373.7,112.11,261.59,52.318,323.7,-315.64,8.0589,110.15,16.347,0.00038676,343.83,0,0,-2.0765e-05,0,0,0.3,0.00056398,11.175
464.5,139.35,325.15,65.03,325.34,-315.64,9.6992,156.58,23.715,0.00038676,450.11,0,0,-3.0124e-05,0,0,0.3,0.00070103,14.532
205.4,61.62,143.78,28.756,321.83,-315.64,6.1972,127.13,21.428,0.00038676,269.78,0,0,-2.722e-05,0,0,0.3,0.00030995,8.4215
70.98,21.294,49.686,9.9372,321.44,-315.64,5.8069,98.305,20.056,0.00038676,163.92,0,0,-2.5477e-05,0,0,0.3,0.00010705,4.9044
